ep_reward_mean,policy_loss,approxkl,clipfrac,ep_len_mean,value_loss,fps,true_reward,n_updates,time_elapsed,total_timesteps,policy_entropy,serial_timesteps,explained_variance
5.050260459926503,-0.006304592,0.021543335,0.26448804,55.54,0.0358949,7885,0.1348169,2658,17726.103654384613,132900000,-4.158865,1329000,0.9943443066440523
4.775689792436752,-0.004877947,0.023960708,0.28410798,57.24,0.03688472,7876,0.13428412,2659,17732.999613046646,132950000,-4.159177,1329500,0.9941535275429487
4.078045306684216,-0.0066677155,0.022939196,0.27345002,51.54,0.04664615,8217,0.13467158,2660,17739.761360883713,133000000,-4.160669,1330000,0.9930269829928875
4.597871814544196,-0.0065644397,0.023150496,0.27239197,53.03,0.044949345,8138,0.13132828,2661,17746.399901628494,133050000,-4.168064,1330500,0.9930572626180947
4.584974178931007,-0.00543339,0.024334585,0.28645,52.91,0.062369887,8087,0.13668008,2662,17753.08132123947,133100000,-4.1632442,1331000,0.9902258599177003
4.981424651179987,-0.0061763986,0.022252506,0.27103803,57.2,0.029978702,8139,0.14190291,2663,17759.79380750656,133150000,-4.1550684,1331500,0.995117403101176
5.310048688733295,-0.0062775435,0.02161842,0.268136,53.1,0.02753275,8104,0.13746479,2664,17766.396152973175,133200000,-4.1541634,1332000,0.9956522211432457
4.909515112904119,-0.0056211567,0.025757903,0.29576397,56.31,0.06815368,8157,0.13351475,2665,17773.0824239254,133250000,-4.151745,1332500,0.9898080695420504
4.723227066542604,-0.0044844477,0.022221647,0.27238196,55.83,0.05853861,8246,0.13151534,2666,17779.452489852905,133300000,-4.146608,1333000,0.991357883438468
6.427210800182947,-0.006228863,0.024430478,0.28624594,59.93,0.048178185,8033,0.1369289,2667,17785.983238697052,133350000,-4.1512656,1333500,0.9928564564324915
4.969606452983134,-0.003945227,0.026329052,0.29889205,53.15,0.07644758,7849,0.13329831,2668,17792.78272128105,133400000,-4.1548505,1334000,0.9889175174757838
4.0106553851092395,-0.006286808,0.023107952,0.27364397,48.15,0.04650103,8156,0.13467085,2669,17799.724346637726,133450000,-4.1560154,1334500,0.9930195077322423
4.777949263932678,-0.0065756384,0.024912832,0.29211798,50.73,0.049435925,8008,0.14100377,2670,17806.39603662491,133500000,-4.1575694,1335000,0.9923820784315467
5.167899435486761,-0.0038417394,0.026706388,0.30125797,56.83,0.045562245,8280,0.13446338,2671,17813.164596796036,133550000,-4.175056,1335500,0.992886861320585
5.292797831592034,-0.004805951,0.023646511,0.27998,56.71,0.05344507,8031,0.13795842,2672,17819.569767475128,133600000,-4.176026,1336000,0.9915929837152362
4.5590199779733664,-0.0048272735,0.023888247,0.28020787,52.04,0.03908167,8408,0.13532792,2673,17826.31596302986,133650000,-4.177608,1336500,0.993723114952445
4.5917383283743405,-0.0057157762,0.02661797,0.300878,54.61,0.059315328,8369,0.13415302,2674,17832.8471493721,133700000,-4.1749816,1337000,0.990742739289999
5.278776558297177,-0.00559095,0.02255144,0.27541602,56.81,0.039296616,8236,0.13567778,2675,17839.34722018242,133750000,-4.1671743,1337500,0.9937305469065905
4.879285953269354,-0.004629665,0.02690443,0.302634,57.13,0.05724294,8302,0.1354026,2676,17846.049382925034,133800000,-4.1706486,1338000,0.990909568965435
3.834562036520365,-0.004642919,0.024366427,0.29044598,54.74,0.049692582,7957,0.12993245,2677,17852.538466453552,133850000,-4.174633,1338500,0.9923597499728203
