serial_timesteps,ep_len_mean,value_loss,clipfrac,ep_reward_mean,policy_loss,policy_entropy,total_timesteps,n_updates,true_reward,time_elapsed,approxkl,fps,explained_variance
85500,29.04,0.0002129068,0.08233799,2.017550077289343,-0.00585325,1.1817102,8550000,171,0.06953962,576.6241703033447,0.0067054867,18102,0.9997531961707864
86000,30.46,0.0010283806,0.101803996,2.2044461422413586,-0.0058854204,1.1541234,8600000,172,0.070221476,579.9782960414886,0.007916926,19879,0.9986511011375114
86500,30.1,0.00023585465,0.08987797,1.9536076436936856,-0.004736774,1.1242747,8650000,173,0.06957244,582.8276896476746,0.00707721,16713,0.999727146117948
87000,31.97,0.00018943212,0.092104,2.1996875922381878,-0.0056747454,1.0995402,8700000,174,0.069992624,586.2916071414948,0.007271027,16153,0.9997821376164211
87500,32.62,0.00027160617,0.09838199,2.1585114381462334,-0.005747981,1.075739,8750000,175,0.06900503,589.8214585781097,0.0076155826,14914,0.9996958225092385
88000,29.43,0.001671004,0.10159002,1.909176491200924,-0.004208823,1.0625212,8800000,176,0.06975856,593.6879723072052,0.007960346,19930,0.9979399014264345
88500,32.23,0.0003454568,0.08950799,2.0784860461950303,-0.0045822863,1.0465972,8850000,177,0.0687056,596.7689595222473,0.0070920666,16896,0.9996193029219285
89000,30.64,0.00029086668,0.09285798,1.9767146810889245,-0.0050833807,1.0278915,8900000,178,0.06862983,600.3004996776581,0.0073126038,13848,0.9996521681605373
89500,29.81,0.00018598,0.08883401,2.008965105935931,-0.0055091293,1.000497,8950000,179,0.070024036,604.4204037189484,0.0070592137,18370,0.9997845851030434
90000,29.47,0.00023605174,0.095286004,1.9400577729940414,-0.005398223,0.9747424,9000000,180,0.0700761,607.5655062198639,0.0074354364,16819,0.9997258282091934
90500,30.87,0.00029610214,0.09322399,1.9042701709270478,-0.0060338336,0.960046,9050000,181,0.06984742,610.9833207130432,0.0072779697,15133,0.9996483562281355
91000,28.64,0.0001990217,0.08921999,1.9306415866315365,-0.005362554,0.93576026,9100000,182,0.0707301,614.8080179691315,0.0070303767,19304,0.9997773491922999
91500,29.83,0.00016243257,0.09483001,1.9645893947035074,-0.0059621143,0.89884794,9150000,183,0.07060827,617.9095892906189,0.007442917,17533,0.9998150174069451
92000,28.76,0.0028054158,0.12206002,1.803143567442894,-0.004035582,0.8811324,9200000,184,0.07041076,621.3321185112,0.009357786,15067,0.9967800118029118
92500,27.05,0.00018965664,0.08839001,1.7746874325722457,-0.0052724928,0.85724187,9250000,185,0.07093916,625.057210445404,0.0069931434,16165,0.9997178984922357
93000,31.92,0.00024360664,0.09318,2.2195085760205986,-0.0060818363,0.82716227,9300000,186,0.07095218,628.5516293048859,0.0073609147,15739,0.9997152619471308
93500,27.09,0.00014099646,0.092490025,1.8206496489793063,-0.005555123,0.8029034,9350000,187,0.07152352,632.2535457611084,0.007235746,15562,0.999830826811376
94000,27.58,0.00023635046,0.094056,1.8646926572918892,-0.0051367087,0.78118926,9400000,188,0.07085274,635.8047246932983,0.0073675634,14873,0.999731038173195
94500,30.11,0.0007159209,0.108445995,1.9318418861180544,-0.0059084804,0.76673007,9450000,189,0.07079352,639.7536857128143,0.008304451,14378,0.9989542909897864
95000,28.7,0.00015840898,0.089935996,1.8254624916613102,-0.004621045,0.7474022,9500000,190,0.07105405,643.950382232666,0.0070748185,14547,0.9998181728587952
95500,31.52,0.0007493116,0.12307798,2.0091234412789345,-0.004618639,0.7331343,9550000,191,0.071646,647.9865462779999,0.0092247985,15309,0.9989680572180077
96000,24.58,0.00063306035,0.10400201,1.5068753910809756,-0.0050123944,0.7238329,9600000,192,0.07020341,651.9808702468872,0.008025205,17873,0.9990934579982422
96500,23.9,0.0001501579,0.095548004,1.433211308196187,-0.005905084,0.69630593,9650000,193,0.07202761,655.3007457256317,0.0074807922,16410,0.9998262352164602
97000,28.43,0.00022882962,0.09926198,1.8335615392029285,-0.005993017,0.67627937,9700000,194,0.07135287,659.0115084648132,0.0076939627,14215,0.9997200990910642
97500,30.43,0.0023993303,0.12399197,2.2049521002173424,-0.005563817,0.66329485,9750000,195,0.07016991,663.1305875778198,0.009533628,16754,0.9969918862916529
98000,32.09,0.0003881312,0.10503799,2.126967320069671,-0.0057826294,0.63474345,9800000,196,0.07059104,666.4999141693115,0.008022158,15536,0.999516882468015
98500,26.76,0.00016831454,0.09833802,1.8046300645172595,-0.004615074,0.6172504,9850000,197,0.07177084,670.2436294555664,0.00758506,16653,0.9997985885565868
99000,27.56,0.00015917745,0.09725401,1.7314175659418105,-0.00557415,0.60335153,9900000,198,0.0718216,673.4662306308746,0.007524822,19120,0.9998193891224219
99500,24.85,0.00015560415,0.092817985,1.4737873013317584,-0.0046222247,0.58321565,9950000,199,0.07106903,676.6837224960327,0.0072753783,18245,0.9998243858717615
100000,26.79,0.0012268601,0.13418402,1.7974711894989013,-0.0041549513,0.56486845,10000000,200,0.07136259,679.824098110199,0.010449805,14740,0.9985249325400218
100500,29.97,0.0008398408,0.11096198,1.919245838522911,-0.0056853862,0.5489543,10050000,201,0.07310708,683.7556617259979,0.008703665,17954,0.9988452770048752
101000,26.2,0.0004188216,0.10481398,1.6095495311915875,-0.0047298684,0.53047264,10100000,202,0.072611265,687.0312743186951,0.0080447635,19444,0.9995081480592489
101500,27.03,0.00016690324,0.10463399,1.813676853105426,-0.0058593894,0.5054063,10150000,203,0.07286766,690.2428562641144,0.0079443315,17965,0.9998069965222385
102000,30.15,0.00013298682,0.08862199,2.132173765078187,-0.005276154,0.47072995,10200000,204,0.073568724,693.5199930667877,0.0071025933,16497,0.9998461028444581
102500,27.53,0.0009305233,0.11657396,1.8962114107608796,-0.005111396,0.44299117,10250000,205,0.07364119,697.1180984973907,0.00892137,18552,0.9987544864416122
103000,29.79,0.001128465,0.12387201,1.8989439874887466,-0.004429703,0.42440015,10300000,206,0.07279917,700.4014775753021,0.009439082,17572,0.9985758078983054
103500,30.16,0.002551226,0.12778798,2.100857934132218,-0.0052222977,0.4100573,10350000,207,0.072143406,703.9671838283539,0.009694802,16195,0.996870786184445
104000,28.11,0.003117882,0.14187202,1.8678573934733869,-0.005436303,0.40529412,10400000,208,0.071840525,707.5483911037445,0.010783864,18150,0.9961237914394587
104500,25.69,0.0001808544,0.09778601,1.6711450089514255,-0.0053610425,0.39455682,10450000,209,0.07445663,710.9608199596405,0.007542804,17226,0.9997764726140304
105000,24.83,0.0001604525,0.102405995,1.6013485009223223,-0.0058184727,0.36920902,10500000,210,0.07377528,714.3108532428741,0.007868915,18927,0.9998109836742515
105500,26.53,0.00015387732,0.10343799,1.766640902608633,-0.004928146,0.34702605,10550000,211,0.07411149,717.2293577194214,0.007874713,18882,0.9998209800251061
106000,27.86,0.00016105415,0.10679202,1.8919674452394246,-0.0054386025,0.3252595,10600000,212,0.07423811,720.3904972076416,0.008181568,16947,0.9998182934214128
106500,34.26,0.00015157567,0.11161001,2.3322316678613424,-0.00551205,0.3084781,10650000,213,0.07480802,723.7096061706543,0.008356115,18522,0.9998239448468667
107000,27.47,0.00013719966,0.09660801,1.8774229719489812,-0.0053172503,0.29442084,10700000,214,0.073538974,726.9957377910614,0.007481166,16760,0.9998418127506739
107500,25.9,0.00013722826,0.093566015,1.6984040636569262,-0.0053103743,0.2726409,10750000,215,0.07433377,730.3415133953094,0.0073308703,17453,0.999841098106117
108000,29.35,0.00013894294,0.103598006,2.0383417274802924,-0.004988749,0.24036612,10800000,216,0.074785836,733.8250608444214,0.007973509,17411,0.9998414956498891
108500,27.2,0.00020307764,0.11538798,1.762779843211174,-0.005140467,0.21213311,10850000,217,0.07353176,737.3536143302917,0.008684661,17105,0.9997637018823298
109000,27.87,0.0027472358,0.17058605,1.832427715137601,-0.004843985,0.20015697,10900000,218,0.07573984,740.892706155777,0.0130431745,16336,0.996523239184171
109500,26.59,0.0010924513,0.118588,1.794807968363166,-0.005945048,0.2008155,10950000,219,0.07453388,744.4449999332428,0.008944487,17200,0.998631922295317
110000,25.55,0.00015847298,0.103596,1.7262163818627596,-0.005246562,0.18161947,11000000,220,0.07644455,747.825733423233,0.007979134,14896,0.9997890584199922
110500,27.44,0.0001619314,0.108848,1.8630819403380157,-0.0053647435,0.1466765,11050000,221,0.075546496,751.7832510471344,0.008357776,16229,0.9998149223101791
111000,29.84,0.0005483794,0.12508802,2.0094556737691165,-0.0053245546,0.12671304,11100000,222,0.07559274,755.4301509857178,0.009404236,15527,0.9991708932793699
111500,29.49,0.00016349395,0.106453985,2.0366773277521135,-0.005246603,0.107082866,11150000,223,0.07381791,759.2916548252106,0.0080974195,16492,0.9998063821985852
112000,24.42,0.00018957163,0.11443403,1.5984234591573476,-0.004878465,0.078657106,11200000,224,0.07584903,762.9516868591309,0.008647697,15443,0.9997617867338704
112500,26.61,0.00026935776,0.122233994,1.8036290664225816,-0.005539091,0.05705401,11250000,225,0.07534252,766.7753977775574,0.009044853,17352,0.999665635812562
113000,25.98,0.00020899599,0.114319995,1.6773289645463227,-0.0052495063,0.041931435,11300000,226,0.075834356,769.9684021472931,0.008499894,17248,0.9997508138476405
113500,27.28,0.0011438004,0.13029999,1.807437112852931,-0.004508973,0.028990133,11350000,227,0.07670825,773.4885630607605,0.009765777,18608,0.9985245437128469
114000,28.64,0.00028482807,0.113240026,1.8639541643112898,-0.004234919,0.0010449672,11400000,228,0.07494469,776.462522983551,0.008498798,15245,0.9996690537664108
114500,28.47,0.0001407319,0.10096199,1.8856467625498772,-0.0051529515,-0.02916995,11450000,229,0.075243704,780.3410317897797,0.007772432,17671,0.999837763956748
115000,28.87,0.0001349068,0.103085995,2.1389211274683477,-0.0049949554,-0.05424995,11500000,230,0.07702126,783.7167453765869,0.007898107,16751,0.99984155317361
115500,27.77,0.00014663687,0.10752197,1.8360148149728774,-0.004584261,-0.080715545,11550000,231,0.0758132,787.3013546466827,0.008105099,16576,0.9998333611583803
116000,24.19,0.000119935015,0.11338201,1.6616092851012945,-0.005486639,-0.110367805,11600000,232,0.07665925,790.6789605617523,0.008534157,20507,0.999861016694922
116500,23.93,0.0007138012,0.12637399,1.5198148817569017,-0.0062163197,-0.117678165,11650000,233,0.07588446,793.7154641151428,0.009506529,18777,0.9989434976596385
117000,30.16,0.001818698,0.16148198,2.095448822975159,-0.0048901946,-0.124919765,11700000,234,0.07602406,797.002247095108,0.012148853,18345,0.9976093582808971
117500,24.41,0.0023340601,0.14399801,1.5736846850067376,-0.005317616,-0.13972563,11750000,235,0.07522312,800.0890555381775,0.011033957,17503,0.9969578101299703
118000,28.0,0.00031759246,0.11447201,1.8927605058252812,-0.0041766064,-0.16393267,11800000,236,0.07719482,803.4596571922302,0.008699434,18817,0.9995812167762779
118500,30.09,0.0004119741,0.12946798,1.9873292171955108,-0.0040556025,-0.18784405,11850000,237,0.07605802,806.7096376419067,0.009755099,14910,0.9994987238897011
119000,23.86,0.0008840633,0.12802403,1.4774708177149296,-0.0036495326,-0.20822664,11900000,238,0.07593186,810.4459164142609,0.009724053,20797,0.998825438786298
119500,27.04,0.00017350628,0.113773994,1.905209115743637,-0.004771934,-0.2307438,11950000,239,0.07656956,813.3687632083893,0.008517238,18624,0.9997862723539583
120000,27.15,0.00014672583,0.110945985,1.9220547891408204,-0.0057613663,-0.24520446,12000000,240,0.077793606,816.6680691242218,0.008345463,16587,0.9998332896939246
120500,27.43,0.00033038616,0.125252,1.9376650287210941,-0.004134571,-0.2555076,12050000,241,0.07834326,820.234956741333,0.009303895,18982,0.9995854027511086
121000,25.95,0.00072608294,0.13239402,1.6840072843432425,-0.004980602,-0.2671875,12100000,242,0.07625014,823.3751468658447,0.009972643,17418,0.9990208346862346
121500,27.06,0.00020117214,0.123694,1.804005703255534,-0.0040923385,-0.28719646,12150000,243,0.07667676,826.7531046867371,0.009289814,18793,0.99975695835019
122000,27.13,0.00016436755,0.115971975,1.9662301936000586,-0.005146702,-0.30167574,12200000,244,0.07762533,830.0928058624268,0.0086892545,18734,0.9997927057847846
122500,25.34,0.0012967479,0.17261204,1.7322633375227452,-0.00322469,-0.31112596,12250000,245,0.07751699,833.2252371311188,0.01307543,15889,0.9984472692012787
123000,29.01,0.0001910324,0.11876401,2.143335453271866,-0.0041056448,-0.32086104,12300000,246,0.07768767,836.8910355567932,0.008819481,15943,0.99975664455269
123500,25.92,0.0001824408,0.12437401,1.7019160068035126,-0.00410553,-0.330217,12350000,247,0.076787196,840.6018042564392,0.0091683585,17330,0.999787063599797
124000,28.46,0.00014403468,0.11188,1.9908013138175011,-0.0052039893,-0.33985028,12400000,248,0.076529436,844.0235998630524,0.008384866,20230,0.9998295147233875
124500,32.21,0.00078960025,0.15994203,2.3028012190759184,-0.0053220945,-0.35675576,12450000,249,0.07688904,846.9077091217041,0.012072711,19926,0.9989576890366152
125000,29.17,0.00030307012,0.124042034,1.9802013413608075,-0.004009806,-0.37665963,12500000,250,0.07646068,850.0313115119934,0.009274243,16904,0.9996171583770774
125500,23.32,0.00013912587,0.122342035,1.4889043896645306,-0.0042994083,-0.38934162,12550000,251,0.07794297,853.6331779956818,0.0090829125,16687,0.999835504902876
126000,28.65,0.00018050267,0.121309996,1.9310891253501177,-0.0041224835,-0.39399868,12600000,252,0.07668738,857.2229809761047,0.008998144,19060,0.9997930522658862
126500,27.3,0.00020309389,0.11625599,1.815016415566206,-0.0051218364,-0.41132548,12650000,253,0.07695522,860.4210295677185,0.008759465,18821,0.99976061435882
127000,22.77,0.00019052738,0.12374998,1.4223901639133691,-0.004822904,-0.4323519,12700000,254,0.07645415,863.5782036781311,0.009117287,16378,0.9997704435081687
127500,26.68,0.00012705973,0.113826014,1.7495394860208036,-0.0055385884,-0.44521186,12750000,255,0.0781635,867.1830356121063,0.008520925,14438,0.9998522130335914
128000,24.85,0.0001399467,0.11955003,1.5911774477362632,-0.0055732965,-0.46506238,12800000,256,0.076883696,871.2225177288055,0.008950137,16402,0.999837607392692
128500,26.85,0.00011764576,0.11773801,1.8336227157711982,-0.004223743,-0.48916066,12850000,257,0.077902794,874.8637096881866,0.008761794,17291,0.9998591262265109
129000,24.84,0.00046384858,0.132134,1.74217778198421,-0.004941164,-0.50340307,12900000,258,0.077289365,878.2862532138824,0.009964942,15586,0.9994211193406954
129500,26.06,0.00020246948,0.12462599,1.6752139902859926,-0.004375102,-0.513675,12950000,259,0.07791569,882.0645434856415,0.009294483,19882,0.9997588014084613
130000,28.1,0.00016648494,0.126368,1.93724367916584,-0.004605706,-0.51981926,13000000,260,0.07746411,885.1249837875366,0.009366151,18046,0.9998056978511158
130500,26.14,0.00023129379,0.13935,1.855297482162714,-0.0044824155,-0.5276041,13050000,261,0.07730987,888.543098449707,0.01017576,20271,0.9997219545766711
131000,26.38,0.00018698447,0.132886,1.7132578840851784,-0.0039459257,-0.54309404,13100000,262,0.078137435,891.2740716934204,0.009797183,20718,0.9997842989396304
131500,25.87,0.00014552515,0.11659399,1.6989221251010895,-0.0048338897,-0.5615967,13150000,263,0.07731188,894.20853972435,0.0086792335,15957,0.9998302592139225
132000,25.81,0.00016223727,0.128548,1.8155018685013056,-0.005049058,-0.57943934,13200000,264,0.07792976,897.7542517185211,0.009506917,19070,0.999813170012203
132500,27.02,0.00068288716,0.15489198,1.8192303742468356,-0.0058637066,-0.59599745,13250000,265,0.07860011,900.990571975708,0.011887298,16801,0.9990235933219083
133000,24.94,0.00019636526,0.123224,1.7413522443175316,-0.004659989,-0.6239715,13300000,266,0.07735314,904.6858503818512,0.009134808,14717,0.9997459408186842
133500,24.73,0.0001931127,0.130436,1.7243405013531445,-0.0053579467,-0.6410245,13350000,267,0.07876881,908.7260081768036,0.009586534,18062,0.9997797920223093
134000,25.93,0.0013544552,0.17453203,1.7381389186531306,-0.002446393,-0.6473816,13400000,268,0.077919856,911.8988082408905,0.013405144,18380,0.998383158352226
134500,27.37,0.00018124557,0.130216,1.723050065562129,-0.0051548737,-0.66402936,13450000,269,0.077805735,915.2013423442841,0.009631119,16670,0.9997651966987178
135000,24.78,0.000886621,0.16258602,1.6814011433720588,-0.0049120192,-0.68155503,13500000,270,0.07896165,918.8191869258881,0.012126496,17478,0.9988189681898803
135500,24.24,0.0018231528,0.149506,1.5014678518474103,-0.0044290824,-0.7060413,13550000,271,0.078073785,922.3477268218994,0.011623607,16297,0.9980453008320183
136000,24.64,0.00022248745,0.12274601,1.6849266116321087,-0.0047909888,-0.7280634,13600000,272,0.07827788,926.0381767749786,0.009201668,19423,0.9997158214682713
136500,25.29,0.0031211826,0.21159603,1.6819981217384339,-0.0038424742,-0.7243238,13650000,273,0.077434324,928.9407939910889,0.016684372,15443,0.995934534817934
137000,26.98,0.00025567683,0.13452195,1.8230888038128614,-0.0053774356,-0.7391,13700000,274,0.0778074,932.7164011001587,0.009928515,16231,0.9996702895732597
137500,28.18,0.001304711,0.16831997,1.9422839866578578,-0.0039562313,-0.74960816,13750000,275,0.07799965,936.450169801712,0.013020723,16288,0.9983799109468237
138000,27.07,0.00019812703,0.12863399,1.6829172796010972,-0.0037140907,-0.7648256,13800000,276,0.078545935,940.0154223442078,0.009404449,18949,0.9997363139118534
138500,23.09,0.00023976013,0.13841,1.5478688232600688,-0.0040717446,-0.7721235,13850000,277,0.07814833,942.9171051979065,0.010048086,18547,0.9997134289587848
139000,23.65,0.0014290175,0.16580199,1.5745897789299488,-0.0045750616,-0.7662124,13900000,278,0.07915103,946.1625332832336,0.012678182,20263,0.9982111795106903
139500,24.38,0.00082465576,0.15543996,1.612801168113947,-0.0050424873,-0.76048553,13950000,279,0.07783189,949.1279602050781,0.011528123,17362,0.9989007532130927
140000,27.53,0.0002019661,0.13070601,1.7417527440190315,-0.003813123,-0.78211623,14000000,280,0.077570476,952.5276942253113,0.00967261,17449,0.9997570535197156
140500,30.53,0.00020953621,0.12943202,2.1306992223113776,-0.005383505,-0.8116294,14050000,281,0.07807295,955.8129715919495,0.009595344,17599,0.9997567546670325
141000,27.73,0.0012786068,0.17506002,1.8160635717958211,-0.0025519896,-0.81914544,14100000,282,0.07869791,959.298611164093,0.013710444,15801,0.9983297445578501
141500,24.79,0.00022149945,0.13373403,1.587468954473734,-0.0049633216,-0.83721817,14150000,283,0.079781,962.96883893013,0.009859738,16064,0.9997135100711603
142000,25.76,0.00018990158,0.12889397,1.8108267326653005,-0.0042035338,-0.8567718,14200000,284,0.079998195,966.6229114532471,0.009552869,15445,0.999774162977701
142500,24.32,0.00016192606,0.130416,1.6385656997561455,-0.0042014574,-0.86432153,14250000,285,0.07960249,970.521653175354,0.009570604,18891,0.9998128154547885
143000,26.42,0.00022743981,0.13302797,1.707428923547268,-0.0040134443,-0.87075216,14300000,286,0.07885674,973.7396283149719,0.009881324,18459,0.9997256839997135
143500,25.8,0.00014620087,0.12300001,1.7331635419279336,-0.0052397554,-0.8855935,14350000,287,0.07919668,976.9084982872009,0.009077818,15950,0.9998342179460451
144000,25.77,0.00020450293,0.13048398,1.758217116817832,-0.005160474,-0.90770143,14400000,288,0.078714386,980.6656439304352,0.009659242,17430,0.9997656836203532
144500,25.66,0.0001271024,0.12881199,1.8688055870682,-0.005284469,-0.9232473,14450000,289,0.07941487,984.0464606285095,0.009487319,17125,0.9998547728173435
145000,24.64,0.000116229385,0.12521398,1.7122091723978519,-0.0052282936,-0.94375646,14500000,290,0.08139793,987.3587393760681,0.009295481,16473,0.9998658542899648
145500,23.1,0.00019546095,0.13497996,1.548672323524952,-0.0045090998,-0.95838284,14550000,291,0.07848423,990.8666512966156,0.009914106,18738,0.9997758992249146
146000,30.98,0.00060880976,0.16526002,2.026391187906265,-0.0052460385,-0.96730506,14600000,292,0.07796857,994.086831331253,0.012554029,16453,0.9991956563899294
146500,26.68,0.00017542626,0.13078801,1.935645016953349,-0.004549891,-0.9761316,14650000,293,0.079427995,997.7182416915894,0.009633281,16265,0.9997920670430176
147000,25.2,0.00020004182,0.13487996,1.6600203859061002,-0.0051887035,-0.99017364,14700000,294,0.0790789,1001.3477544784546,0.0098601,16277,0.9997661096422235
147500,27.62,0.0002322596,0.13555801,1.9156814409792424,-0.0047868877,-1.0056843,14750000,295,0.07916561,1004.912650346756,0.009922685,18793,0.9997309706814121
148000,23.9,0.0016014598,0.20161799,1.6006421314924955,-0.0022599453,-1.0091424,14800000,296,0.08001701,1008.122339963913,0.01652501,16790,0.9981355386553332
148500,26.44,0.0016996412,0.17966999,1.78398653306067,-0.00567796,-1.0192086,14850000,297,0.07943718,1011.5117340087891,0.0139041245,15593,0.9977902909740806
149000,22.27,0.0001691718,0.12764801,1.4669845549762248,-0.0040808944,-1.0398173,14900000,298,0.07906147,1015.4012107849121,0.009461125,16299,0.9997846956393914
149500,28.7,0.00014590158,0.13312598,2.013916866108775,-0.004638747,-1.0665634,14950000,299,0.07980186,1018.942373752594,0.009810619,15458,0.9998267847695388
150000,24.89,0.00015360843,0.13141198,1.663737481534481,-0.0046980595,-1.0842893,15000000,300,0.0806163,1022.5702250003815,0.009681394,17322,0.9998239242122509
150500,26.32,0.0010855979,0.19873403,1.7797691982984543,-0.004083781,-1.0950673,15050000,301,0.08068796,1026.117460012436,0.015511861,17882,0.9984222345519811
151000,24.41,0.0022714348,0.222084,1.7488155724108219,-0.0041110883,-1.1052623,15100000,302,0.07968705,1029.211858034134,0.017543368,16202,0.9971346638631076
151500,23.92,0.0002250519,0.137238,1.4779827550798654,-0.004777147,-1.1198092,15150000,303,0.079482585,1032.9596812725067,0.010019239,19105,0.9996550407377072
152000,25.55,0.0002758514,0.14079998,1.8955100268125533,-0.004636456,-1.1411647,15200000,304,0.07950438,1036.1659202575684,0.010344267,19587,0.9996339776844252
152500,21.4,0.00016406343,0.13255602,1.4074936252832413,-0.0047758846,-1.175302,15250000,305,0.07968326,1039.2941405773163,0.00979284,14513,0.999804577746545
153000,23.91,0.00011533865,0.13695998,1.7100653310120106,-0.003910777,-1.1964769,15300000,306,0.08276291,1043.3769879341125,0.009935129,16580,0.9998630905756727
153500,24.09,0.00013305114,0.13451402,1.6831321215629578,-0.0040037637,-1.2091665,15350000,307,0.07954572,1046.6703391075134,0.009854983,17207,0.9998414200526895
154000,24.57,0.00017467083,0.14451203,1.6427802857011558,-0.0040538046,-1.2153598,15400000,308,0.0812402,1050.0707609653473,0.010659417,16196,0.9997903892653994
154500,25.27,0.00013952167,0.139522,1.743832298964262,-0.005246891,-1.2340697,15450000,309,0.08191721,1053.6341607570648,0.010149789,17674,0.9998376028670464
155000,23.35,0.00011558735,0.13613598,1.5587993984669446,-0.0037985484,-1.2478195,15500000,310,0.08176055,1057.1207220554352,0.009959315,16648,0.9998642103746533
155500,29.0,0.00019171763,0.14517799,2.11363372027874,-0.0049683526,-1.2699904,15550000,311,0.08034821,1060.416969537735,0.01057517,14420,0.9997704644338228
156000,25.95,0.00018887776,0.143974,1.7620534496754408,-0.0031795136,-1.2885334,15600000,312,0.08108604,1064.3542799949646,0.010538194,13491,0.9997693240729859
156500,25.21,0.00014501663,0.14587197,1.7230168018490075,-0.0037461596,-1.3025959,15650000,313,0.08105214,1068.5412595272064,0.010653061,19021,0.999829199485248
157000,25.91,0.0020957948,0.185766,1.7194082605838776,-0.0031014052,-1.310623,15700000,314,0.08023154,1071.6827702522278,0.014221414,14936,0.997780604287982
157500,29.47,0.0016915887,0.21645804,1.8379703582823277,-0.002446987,-1.3112761,15750000,315,0.0807466,1075.5879685878754,0.017847097,16992,0.997828803723678
158000,22.48,0.00020121448,0.15763001,1.5095091693103313,-0.0039056856,-1.3125901,15800000,316,0.08154407,1079.0974161624908,0.011586368,16061,0.9997439305589069
158500,27.23,0.00054312224,0.17313997,1.924502994567156,-0.0023479566,-1.3138984,15850000,317,0.081841536,1082.865662097931,0.013138044,19288,0.9993193193222396
159000,25.51,0.00042275814,0.154712,1.5880168673396111,-0.0032925599,-1.3145698,15900000,318,0.08109479,1085.925682067871,0.011521884,17583,0.9994799034320749
159500,25.97,0.0016085416,0.179622,1.9210783832520246,-0.003474473,-1.3149387,15950000,319,0.080763586,1089.129730939865,0.013781667,15284,0.9978823005221784
160000,24.84,0.00088635203,0.17411596,1.679688206538558,-0.0027131147,-1.328894,16000000,320,0.081165835,1092.8513445854187,0.013206381,14411,0.9989032102748752
160500,25.09,0.0011736086,0.18987201,1.7102163786441087,-0.002985418,-1.3426793,16050000,321,0.081498004,1097.0073010921478,0.01477205,16261,0.9985614472534508
161000,25.06,0.0012734353,0.17435196,1.5574978441745042,-0.0049480237,-1.35703,16100000,322,0.07972507,1100.6094117164612,0.014104733,19246,0.998364384402521
161500,24.64,0.00014130742,0.148548,1.6072028379142285,-0.0030239213,-1.3775746,16150000,323,0.081637576,1103.7519357204437,0.010792792,20263,0.9998164558928693
162000,22.62,0.0013056861,0.198506,1.5473225370049477,-0.0034638578,-1.3896526,16200000,324,0.08184597,1106.6846189498901,0.015316628,17073,0.998349005356431
162500,22.21,0.0009456952,0.18139197,1.4628998258709907,-0.0039109276,-1.3998091,16250000,325,0.080559686,1110.1994361877441,0.013849718,17076,0.998788004158996
163000,24.99,0.00015628416,0.13622798,1.6897190073132515,-0.0038344006,-1.4154516,16300000,326,0.080761544,1113.6723945140839,0.0100348685,17439,0.9998017196921865
163500,24.94,0.00026148334,0.155152,1.6512246822565795,-0.002409922,-1.4359883,16350000,327,0.081708364,1117.1951665878296,0.0115061365,17305,0.999678142456105
164000,25.28,0.00015497932,0.13755402,1.7110045000165701,-0.0043099783,-1.4586519,16400000,328,0.08086625,1120.5221197605133,0.010120815,16760,0.9998064112733118
164500,26.13,0.0012980163,0.20383407,1.642596350610256,-0.0017556788,-1.4659418,16450000,329,0.08165678,1124.1051089763641,0.016699685,16401,0.9984410027973354
165000,24.61,0.00014027127,0.14563803,1.7273274035006763,-0.003185069,-1.4716363,16500000,330,0.082346536,1127.7904422283173,0.010627177,17060,0.9997987618698971
165500,25.46,0.00012919199,0.13794802,1.7654584589600564,-0.004054637,-1.4880135,16550000,331,0.08082937,1131.2057371139526,0.010151213,16334,0.9998412069980986
166000,26.95,0.00024156026,0.15064201,1.9595658453553915,-0.005275168,-1.506932,16600000,332,0.08077832,1134.8426749706268,0.010988813,17488,0.9997086541261524
166500,24.21,0.00014496205,0.136452,1.6786090978980064,-0.00390937,-1.5226035,16650000,333,0.081931286,1138.3463125228882,0.010005239,16473,0.999826074403245
167000,23.67,0.00015935815,0.14569199,1.6188222444057465,-0.0031601677,-1.5434009,16700000,334,0.08241515,1141.8924186229706,0.010879052,18296,0.999809784363606
167500,24.99,0.0001517596,0.14772001,1.7339855591207742,-0.0039728153,-1.5639334,16750000,335,0.08048443,1145.2679209709167,0.0108704865,16457,0.9998218783002812
168000,28.58,0.00016363463,0.15368599,1.9524213824421168,-0.003031798,-1.5818535,16800000,336,0.0810088,1148.9063212871552,0.011280499,15637,0.9998028919362696
168500,25.88,0.0007620335,0.20761198,1.9222792868316174,-0.0030148132,-1.6021833,16850000,337,0.082582556,1152.7210412025452,0.017193222,20533,0.9989494256442413
169000,24.81,0.00018423854,0.14892,1.6487736922502518,-0.002599268,-1.6077771,16900000,338,0.081317686,1155.7723760604858,0.011002971,15804,0.9997725682042073
169500,27.35,0.00088088907,0.20003797,1.8601287619024516,-0.003947018,-1.6166378,16950000,339,0.08056688,1159.4065911769867,0.015608495,18258,0.9987656580051407
170000,27.42,0.0030802127,0.22671999,1.8186772131919862,-0.0028418708,-1.6280078,17000000,340,0.08097843,1162.66819190979,0.01862356,16367,0.9963599522598088
170500,24.06,0.00017114596,0.14544801,1.7065432981401683,-0.004088634,-1.6490834,17050000,341,0.0819818,1166.25638961792,0.010680372,17093,0.9997965988150099
171000,25.05,0.0014205433,0.20848198,1.6598767782747745,-0.0038886445,-1.6593248,17100000,342,0.08170593,1169.7245149612427,0.016606024,18659,0.9981271055294201
