serial_timesteps,ep_len_mean,value_loss,clipfrac,ep_reward_mean,policy_loss,policy_entropy,total_timesteps,n_updates,true_reward,time_elapsed,approxkl,fps,explained_variance
42000,46.61,0.0007850283,0.055991996,2.4416184436529873,-0.0055024032,3.3136795,4200000,84,0.045734033,276.88036465644836,0.005176395,17803,0.9989381777122617
42500,46.8,0.00048538594,0.06307,2.540116679444909,-0.0066451114,3.2744448,4250000,85,0.047034003,280.3612949848175,0.0056247045,17431,0.9993908110773191
43000,39.58,0.0004794028,0.058712006,2.10837554872036,-0.0064006923,3.2393436,4300000,86,0.04695768,283.74193572998047,0.0053637624,14669,0.9994058544980362
43500,46.93,0.0004934482,0.062988,2.5890078876912592,-0.006547694,3.2029715,4350000,87,0.04745099,287.7962920665741,0.0056227283,19402,0.9993962254957296
44000,43.01,0.000506719,0.063474014,2.5187030474096535,-0.0066184825,3.1664472,4400000,88,0.049879838,290.7883982658386,0.0056274696,18474,0.9993905060109682
44500,40.1,0.0014364934,0.059936002,2.206293360218406,-0.0059163542,3.135876,4450000,89,0.04855867,294.01061511039734,0.0054416787,17145,0.9980433338787407
45000,46.22,0.000444287,0.05794801,2.5130655216425657,-0.0056666224,3.0961611,4500000,90,0.049270455,297.39632058143616,0.0053026723,20745,0.9994688058504835
45500,40.56,0.0024315205,0.057602,2.243183002769947,-0.007062308,3.0752532,4550000,91,0.04957881,300.4112799167633,0.0052593322,16765,0.9966532196849585
46000,46.01,0.0015686664,0.06427399,2.738892327323556,-0.0057711937,3.0701578,4600000,92,0.05010488,303.9138524532318,0.0055924435,17955,0.9979508093092591
46500,41.18,0.00040409857,0.057716012,2.3879792224615812,-0.00634934,3.052245,4650000,93,0.051218834,306.9576199054718,0.005268449,17761,0.9994992947322316
47000,41.08,0.00036437632,0.056943994,2.3918210550397636,-0.0059605413,3.0246382,4700000,94,0.05147341,310.1803286075592,0.0052178423,17256,0.9995744870975614
47500,42.76,0.00038586295,0.06443999,2.4710126797109844,-0.0062849014,2.9925222,4750000,95,0.051592387,313.46996331214905,0.005691463,18118,0.9995385735237505
48000,41.85,0.0005821527,0.06235399,2.367834069430828,-0.006771071,2.9619122,4800000,96,0.052374195,316.6916718482971,0.0055396454,16109,0.9992647152394056
48500,40.28,0.00040627818,0.068606,2.3187038653343914,-0.0065767663,2.923756,4850000,97,0.05222838,320.11688780784607,0.006000659,16577,0.9995171462651342
49000,39.72,0.00039971233,0.057883997,2.3439691967517136,-0.0063765706,2.8849368,4900000,98,0.053289995,323.50653171539307,0.005291918,18756,0.9995345035276841
49500,40.3,0.00037428114,0.060039997,2.3411992328613995,-0.0060364897,2.856442,4950000,99,0.05291803,326.5528643131256,0.0053530037,16225,0.9995501258817967
50000,43.12,0.0028054537,0.059265994,2.40013845525682,-0.005352438,2.8396475,5000000,100,0.05380857,330.14134979248047,0.005341028,16225,0.9964339532889426
50500,37.64,0.0012229125,0.06012799,2.3136164362728597,-0.0054826266,2.8199263,5050000,101,0.054296542,333.7602553367615,0.0054080784,17524,0.998394065303728
51000,34.86,0.0039737653,0.06771799,2.0595432353019714,-0.0055917944,2.8073056,5100000,102,0.054936785,337.1603546142578,0.0059098317,20200,0.9949615965597332
51500,36.24,0.0014874197,0.069318,2.1121399991214274,-0.004612182,2.7880993,5150000,103,0.054956473,339.91811966896057,0.005927347,16670,0.9981266238028184
52000,36.65,0.00036857568,0.063972004,2.156909605488181,-0.00629005,2.7552938,5200000,104,0.055486187,343.59603548049927,0.0056549893,19626,0.999565654899925
52500,37.34,0.0008214385,0.063582,2.2838870257139208,-0.006656219,2.7188358,5250000,105,0.05498867,346.79499864578247,0.00567168,16457,0.9989238538546488
53000,35.04,0.0003454577,0.074348,2.0905069873481987,-0.00745175,2.680352,5300000,106,0.05572673,350.2303900718689,0.0062685413,17777,0.999581387382932
53500,33.89,0.0003575778,0.06283601,1.931340238004923,-0.006582609,2.644917,5350000,107,0.055230998,353.650573015213,0.0055645304,16285,0.9995845985249616
54000,37.26,0.00032028943,0.064644,2.1157050600647924,-0.005809143,2.6125097,5400000,108,0.05649908,357.37020802497864,0.0056700786,14021,0.9996234706195537
54500,35.5,0.0015952928,0.07050201,2.04755752928555,-0.0053173434,2.58159,5450000,109,0.05809724,361.5590069293976,0.006045505,15985,0.9980523808626458
55000,34.47,0.003865338,0.07833599,2.1955204067379235,-0.0060928296,2.561499,5500000,110,0.05853711,364.9277501106262,0.0066186464,18248,0.9951657000929117
55500,43.06,0.00036078403,0.06332199,2.613548222184181,-0.006392538,2.5360215,5550000,111,0.058188476,368.30277013778687,0.005571127,17798,0.9995351481193211
56000,29.71,0.002161431,0.06633399,1.74612281113863,-0.0049121515,2.5147977,5600000,112,0.058473848,371.63034439086914,0.0057859826,15382,0.9973421497270465
56500,32.27,0.00038262465,0.071396,1.8628876761347055,-0.0054747285,2.4890776,5650000,113,0.059082985,375.49080085754395,0.0060419487,14371,0.9995255358808208
57000,34.92,0.0002684723,0.07109399,2.0509441778063775,-0.00625736,2.4589376,5700000,114,0.059098464,379.46992468833923,0.006029874,17155,0.9996878642414231
57500,37.32,0.0014761679,0.06885201,2.3027178589999675,-0.0046553607,2.4334996,5750000,115,0.057931215,382.8097414970398,0.005901235,16660,0.9981644429499283
58000,34.68,0.00025912738,0.072768,2.2262101540714503,-0.00597979,2.399922,5800000,116,0.060159463,386.3258240222931,0.006167697,16076,0.9996918803954031
58500,32.21,0.0013647905,0.07780602,1.9807336954772472,-0.006571836,2.3888974,5850000,117,0.060088936,389.9133265018463,0.0064267446,17366,0.9980256194248796
59000,33.5,0.00025233053,0.07004601,1.9829476641863584,-0.006391924,2.3650708,5900000,118,0.060683116,393.23257422447205,0.0059204404,15558,0.9996943943260703
59500,32.75,0.00031258422,0.068496,2.0712135978788138,-0.0060695275,2.3322735,5950000,119,0.062170926,397.010865688324,0.0058337445,18311,0.9996374031761661
60000,34.91,0.0002647237,0.07426201,2.1668512476980686,-0.0060462276,2.3020837,6000000,120,0.06100209,400.3953802585602,0.0062171496,15958,0.999693932448281
60500,32.94,0.0002508035,0.071822,2.0522023620456458,-0.0059233475,2.2661185,6050000,121,0.06208969,404.1154782772064,0.0061082453,17662,0.9997148830734659
61000,35.12,0.000965311,0.081452,2.1781696117669345,-0.0057125026,2.2275336,6100000,122,0.06245158,407.47197246551514,0.0066926507,18120,0.998682837584056
61500,32.75,0.00025108727,0.068846,2.1248670345544816,-0.0058742356,2.193025,6150000,123,0.06091393,410.5489637851715,0.0059505757,20521,0.999705794849433
62000,33.58,0.00034097728,0.07357398,2.061931242570281,-0.00596673,2.1562085,6200000,124,0.06175545,413.5639395713806,0.0062077316,18529,0.9995993787888438
62500,37.63,0.00029895536,0.07308,2.434436593577266,-0.0065040076,2.1290565,6250000,125,0.06298401,416.82453894615173,0.0061149243,17700,0.9996518313419074
63000,34.44,0.0016728819,0.07792801,2.09154495023191,-0.0044991197,2.1120005,6300000,126,0.06233742,420.1820363998413,0.0064523323,16490,0.9979576549958438
63500,29.17,0.00026471645,0.06917401,1.8648984356224536,-0.0060950513,2.0854104,6350000,127,0.063100964,423.719486951828,0.0059379097,16926,0.9996855724602938
64000,32.29,0.0018769297,0.07969601,2.1362417314946653,-0.004714511,2.066798,6400000,128,0.063579954,427.0972740650177,0.006560983,15964,0.9977205130271614
64500,32.6,0.0005705086,0.07813801,1.9256881940364838,-0.0056320787,2.043431,6450000,129,0.06326205,430.717200756073,0.006438847,16755,0.9993068713811226
65000,33.05,0.00051125814,0.075596,2.132873506769538,-0.006123866,2.0181162,6500000,130,0.06321598,434.35653138160706,0.006244631,18671,0.9994145115488209
65500,31.76,0.0003136446,0.082964,1.9852500663697719,-0.0059897196,1.9931784,6550000,131,0.063296296,437.523015499115,0.006686945,17984,0.9996337966877036
66000,33.18,0.00033770173,0.076249994,2.1240356788784265,-0.0051690326,1.9660041,6600000,132,0.06353901,440.53391885757446,0.006349949,15383,0.9996002293773927
66500,29.68,0.0033305585,0.09092999,1.8261913230270148,-0.005269469,1.9512434,6650000,133,0.062772,444.4045021533966,0.007216168,18512,0.9957287195138633
67000,32.3,0.0014602867,0.084525995,2.0512360398471357,-0.005908794,1.9429064,6700000,134,0.0640832,447.6468961238861,0.0068955384,18772,0.9982148904819041
67500,31.08,0.0010313285,0.085882016,2.012946525812149,-0.0062909443,1.9284072,6750000,135,0.06371062,451.02250814437866,0.006904902,17173,0.9986122749978676
68000,32.99,0.0003127188,0.075324014,2.231313373669982,-0.0057022823,1.906439,6800000,136,0.06560168,454.4535450935364,0.0062386612,15892,0.9996285181259736
68500,34.45,0.0007784366,0.08660799,2.2531848563998937,-0.0065126373,1.8907967,6850000,137,0.064419225,458.16470217704773,0.0069233184,17571,0.9989773643901572
69000,35.08,0.00029652286,0.07992,2.0812384133040904,-0.006350421,1.8699609,6900000,138,0.06394655,461.6462824344635,0.0065217484,14560,0.999644390976755
69500,35.61,0.0011943822,0.08267601,2.4732280903309585,-0.0050245156,1.8469384,6950000,139,0.06479843,465.65628147125244,0.006693418,18775,0.9984741162043065
