approxkl,total_timesteps,ep_len_mean,serial_timesteps,value_loss,explained_variance,fps,true_reward,ep_reward_mean,policy_entropy,clipfrac,time_elapsed,policy_loss,n_updates
0.006688614,26900000,283.5,269000,394.30917,0.9275699108839035,8238,0.76535213,291.379475622207,2.0594091,0.080805995,3618.1123356819153,-0.0060638683,538
0.006515613,26950000,290.27,269500,313.36874,0.9386327378451824,8384,0.6713692,242.36379714879592,2.0460517,0.078096,3624.6931686401367,-0.0068516694,539
0.007030415,27000000,327.18,270000,346.26114,0.9301866516470909,8418,0.7712667,305.6042506346064,2.0251157,0.08495599,3631.222615480423,-0.00699248,540
0.0062237955,27050000,318.74,270500,358.22726,0.9329939410090446,8203,0.82070357,293.4755239393778,2.0066044,0.073498,3637.6337094306946,-0.006037006,541
0.0062688645,27100000,281.42,271000,377.83966,0.9262986108660698,8253,0.6872484,262.26777094536914,1.9948429,0.07506399,3644.219878911972,-0.0067577185,542
0.0067039304,27150000,318.21,271500,409.78476,0.933728888630867,7945,0.94630665,345.44025617877605,1.9779868,0.078606,3650.9041447639465,-0.005667667,543
0.00681189,27200000,250.3,272000,456.34848,0.9353642240166664,8103,0.9911274,302.9516391731819,1.9548382,0.081184,3657.735682964325,-0.0046161953,544
0.006180151,27250000,321.4,272500,331.87625,0.930432416498661,8073,0.74678576,294.9707124547069,1.9404454,0.073266,3664.178732395172,-0.0058594,545
0.006366894,27300000,316.87,273000,345.39957,0.9345536530017853,8287,0.7726058,302.48670083092037,1.9233457,0.074761994,3670.7878074645996,-0.005959523,546
0.006288361,27350000,317.18,273500,387.0118,0.9254526644945145,8215,0.760059,322.4541487461573,1.9061334,0.074659996,3677.0927035808563,-0.0073371124,547
0.0061155707,27400000,298.68,274000,312.91907,0.9359559640288353,8460,0.76483303,281.33221022656005,1.8993808,0.07169801,3683.65407371521,-0.0058716917,548
0.0065483516,27450000,291.05,274500,364.04242,0.9357185736298561,7924,0.8574807,318.15752660380235,1.8857884,0.07911401,3690.0394852161407,-0.006198873,549
0.006383319,27500000,327.76,275000,301.66055,0.9396450892090797,7921,0.7934824,300.1419401024943,1.8726698,0.07618,3696.8111233711243,-0.006214016,550
0.006030306,27550000,258.14,275500,396.0462,0.9390406683087349,8145,0.94809264,322.5643250026063,1.8630556,0.070724,3703.4977321624756,-0.006454798,551
0.0057809157,27600000,301.88,276000,355.59637,0.9322112128138542,8476,0.6934796,267.443714100654,1.8559549,0.066984,3710.1809639930725,-0.0065596383,552
