fps,policy_loss,ep_reward_mean,total_timesteps,ep_len_mean,time_elapsed,clipfrac,value_loss,n_updates,policy_entropy,explained_variance,approxkl,serial_timesteps,true_reward
7953,-0.0044215648,5.052076607281633,190250000,56.15,25437.110877752304,0.278116,0.07159539,3805,-3.3634937,0.9888303792104125,0.0235255,1902500,0.15102726
8031,-0.005790668,4.250976962247514,190300000,54.61,25443.97169804573,0.26427805,0.041362766,3806,-3.360732,0.9933442398905754,0.02166786,1903000,0.15634885
8069,-0.005026657,4.43483406752981,190350000,52.42,25450.807986021042,0.28586605,0.053812787,3807,-3.3561792,0.9910443108528852,0.024939401,1903500,0.15269902
7828,-0.006801903,3.858414726409028,190400000,49.16,25457.377350091934,0.26851195,0.040046915,3808,-3.350402,0.9935491350479424,0.022060417,1904000,0.1583487
8004,-0.005192831,4.741824657787801,190450000,60.37,25464.282148838043,0.28386396,0.06414733,3809,-3.3427746,0.9904500776901841,0.024418686,1904500,0.15597138
8262,-0.0051277922,4.242821771817253,190500000,45.95,25471.15840959549,0.251372,0.033218507,3810,-3.3426168,0.9943948425352573,0.02019843,1905000,0.1579685
8265,-0.005970614,6.223088516195421,190550000,58.36,25477.51597762108,0.24823606,0.024842856,3811,-3.3498511,0.99595404881984,0.019546527,1905500,0.15828758
8302,-0.005783381,5.150890642908344,190600000,58.26,25484.103234767914,0.2762839,0.08801549,3812,-3.3468075,0.9872994925826788,0.02311869,1906000,0.15167259
8056,-0.005588036,5.320208409178304,190650000,55.04,25490.61623263359,0.246744,0.03520807,3813,-3.336615,0.9940695143304765,0.019825788,1906500,0.15454824
8028,-0.0069170655,6.0844143359319425,190700000,57.48,25497.16723704338,0.24670605,0.025757007,3814,-3.3339036,0.9957269658334553,0.020011542,1907000,0.15594846
7622,-0.005494265,5.4019913848095165,190750000,58.96,25503.771825551987,0.25574607,0.045851458,3815,-3.3287787,0.9925980037078261,0.020868517,1907500,0.15230219
7905,-0.005073568,4.990585188644145,190800000,52.75,25510.829877614975,0.28515598,0.07413983,3816,-3.3283753,0.9883078429847956,0.024710856,1908000,0.15250401
7989,-0.005629393,4.336411145059392,190850000,48.75,25517.64871454239,0.26422006,0.036414295,3817,-3.3339722,0.9938583266921341,0.021711815,1908500,0.15363763
7995,-0.00718204,5.643403906414606,190900000,57.79,25524.139426469803,0.256864,0.036187973,3818,-3.3353508,0.9942783620208502,0.020877345,1909000,0.15459692
7851,-0.00652257,5.871749951037928,190950000,56.47,25530.95737671852,0.25530404,0.04142288,3819,-3.3269696,0.993348800111562,0.021040149,1909500,0.15801266
8038,-0.005909985,5.860322832667298,191000000,59.65,25537.92467713356,0.24428797,0.034769516,3820,-3.3195584,0.9943100167438388,0.019236524,1910000,0.15830705
7924,-0.0062164976,4.651229264513386,191050000,48.52,25544.638318777084,0.27950996,0.052586827,3821,-3.3163311,0.9913213914260268,0.024368577,1910500,0.15739496
8020,-0.0075401273,4.758490115382738,191100000,50.69,25551.446621894836,0.25473797,0.034585558,3822,-3.3189926,0.9943912890739739,0.020565705,1911000,0.15411453
8081,-0.003701386,5.740493539791496,191150000,57.23,25558.072086811066,0.26245597,0.05147263,3823,-3.312818,0.9920086339116096,0.02128556,1911500,0.15655997
7885,-0.0060255267,5.277955089203897,191200000,58.26,25564.80237531662,0.24701199,0.030700352,3824,-3.3024464,0.9951531756669283,0.01942227,1912000,0.15981966
7641,-0.0047713085,4.419194174198128,191250000,56.71,25571.588334083557,0.26244003,0.051610935,3825,-3.3026545,0.9916605483740568,0.021261888,1912500,0.14944129
7943,-0.004217969,4.622094189373893,191300000,48.75,25578.63797044754,0.27629197,0.043038823,3826,-3.299436,0.9931744672358036,0.023540922,1913000,0.15853602
8075,-0.0065766037,6.3583688426393925,191350000,59.74,25585.44264483452,0.24582604,0.03031311,3827,-3.2903605,0.9950236096046865,0.019370347,1913500,0.15967
7941,-0.0061144624,5.166614703351516,191400000,52.66,25592.154635429382,0.23737995,0.039719526,3828,-3.2760143,0.9938325807452202,0.018732233,1914000,0.15623197
7856,-0.008022723,5.832684919923704,191450000,54.76,25599.069348812103,0.24642603,0.02497829,3829,-3.2749434,0.9958291011862457,0.019621683,1914500,0.16477816
8152,-0.0056178938,5.909059857329703,191500000,54.75,25605.844443321228,0.26311392,0.06183602,3830,-3.2800946,0.9898883122950792,0.022161808,1915000,0.15450275
7992,-0.0062552625,5.594766150768192,191550000,55.89,25612.455080747604,0.25492007,0.029090287,3831,-3.2819843,0.995252420194447,0.020324457,1915500,0.15703773
8357,-0.007223802,6.599806148111821,191600000,58.8,25619.01475262642,0.24849004,0.032267295,3832,-3.2769625,0.9951453316025436,0.020166494,1916000,0.1548506
8059,-0.0047574537,5.280551919190329,191650000,54.16,25625.52565717697,0.25713795,0.03359996,3833,-3.283989,0.9945782292634249,0.02183563,1916500,0.15863824
8050,-0.0034198714,6.836931007688545,191700000,60.89,25632.316091537476,0.29518402,0.06475554,3834,-3.2921488,0.9898938592523336,0.025998587,1917000,0.15564434
8023,-0.004796773,6.026013844660192,191750000,53.88,25639.006435394287,0.28158602,0.04716209,3835,-3.297892,0.9922364130616188,0.023882447,1917500,0.15481475
8325,-0.0033935742,4.354355817235955,191800000,49.01,25645.830783605576,0.278572,0.05253453,3836,-3.2957945,0.991776404902339,0.023685532,1918000,0.15137464
8091,-0.0056109307,5.431479141909003,191850000,51.31,25652.28121137619,0.285686,0.05262668,3837,-3.2894258,0.99245037836954,0.02433384,1918500,0.15620437
7967,-0.00517624,5.572291116641136,191900000,56.67,25658.946484327316,0.28378204,0.096659206,3838,-3.287132,0.9860957255586982,0.025040269,1919000,0.15336509
8130,-0.0063856505,6.158243576935493,191950000,63.86,25665.598457098007,0.24804397,0.05106255,3839,-3.2764118,0.9924471820704639,0.019773513,1919500,0.15308762
8233,-0.006147714,4.457074219397473,192000000,54.86,25672.205080509186,0.22802998,0.02019626,3840,-3.2784095,0.9967044454533607,0.017660325,1920000,0.15929425
8243,-0.0076607033,4.105819210651171,192050000,49.18,25678.701452732086,0.25330195,0.027411062,3841,-3.2867782,0.9954139934852719,0.020788448,1920500,0.1538753
8039,-0.0075921565,5.026848280248523,192100000,51.02,25685.335000753403,0.257654,0.044368714,3842,-3.2814755,0.9933172152377665,0.021620106,1921000,0.15322822
7827,-0.0062331664,6.326722258899972,192150000,61.27,25692.160182476044,0.25554797,0.038333002,3843,-3.2790234,0.9941465449519455,0.020691028,1921500,0.15884702
7757,-0.005837031,5.943558730140357,192200000,53.24,25698.995440244675,0.280986,0.06212796,3844,-3.2794127,0.9905621046200395,0.023499694,1922000,0.16268705
7872,-0.0046768426,5.494637756803058,192250000,52.91,25705.919751882553,0.26879805,0.042023066,3845,-3.2757425,0.9931003926321864,0.022177063,1922500,0.15969376
7869,-0.0025552737,5.6527298457927095,192300000,54.56,25712.785514116287,0.281808,0.04230159,3846,-3.2841501,0.9934237436391413,0.02412626,1923000,0.15575035
8310,-0.0076685124,4.4716021305831966,192350000,47.96,25719.68323326111,0.22633804,0.021264436,3847,-3.284299,0.9966658530756831,0.017402625,1923500,0.15720314
7868,-0.0075266706,5.370911392347262,192400000,59.36,25726.281793117523,0.24214001,0.04809586,3848,-3.2808251,0.9921115962788463,0.019619344,1924000,0.15032034
7965,-0.004183604,4.5226649526452825,192450000,49.76,25733.218720197678,0.25083196,0.043836832,3849,-3.2767425,0.9930803049355745,0.020122714,1924500,0.1579117
7685,-0.004181825,4.763384410338476,192500000,55.99,25739.893938541412,0.25999808,0.039802324,3850,-3.2752297,0.9940731273964047,0.020996854,1925000,0.15246356
7866,-0.0054819044,4.932708818690444,192550000,52.21,25746.760921239853,0.24886002,0.050759006,3851,-3.272656,0.9921630779281259,0.019883627,1925500,0.15176345
8182,-0.006684342,4.678043541408406,192600000,50.63,25753.45615506172,0.249846,0.04359834,3852,-3.2714503,0.993301157373935,0.019941982,1926000,0.14972
7810,-0.005612078,5.074391112354788,192650000,53.4,25760.142810583115,0.24564604,0.029364152,3853,-3.2767363,0.9953265520744026,0.019264046,1926500,0.15277752
8119,-0.0058031273,5.492265981749951,192700000,57.88,25766.906192302704,0.24400403,0.030534854,3854,-3.2801695,0.9952532509341836,0.019482791,1927000,0.15782326
8340,-0.0064044017,5.598385631220008,192750000,55.65,25773.505759239197,0.25256997,0.053411387,3855,-3.2822158,0.9917231379076838,0.02085162,1927500,0.15339078
8098,-0.0060377275,5.117791339987743,192800000,53.68,25779.8491396904,0.27961797,0.07037777,3856,-3.280391,0.9891112530604005,0.025214937,1928000,0.15782826
7818,-0.0062132897,5.86088058570167,192850000,59.11,25786.558500766754,0.26799,0.04973121,3857,-3.2753391,0.991939147002995,0.022235252,1928500,0.1533102
8086,-0.006594206,5.302146056372003,192900000,57.59,25793.506596803665,0.258812,0.04495164,3858,-3.2724488,0.9927324634045362,0.020965425,1929000,0.15251963
8223,-0.0064745517,5.91514630139638,192950000,57.42,25800.233251333237,0.26636,0.06825194,3859,-3.2773201,0.9892979497089982,0.022285607,1929500,0.15723632
8386,-0.0056756157,4.649292272559469,193000000,52.76,25806.81195473671,0.2657059,0.044960532,3860,-3.2882752,0.9927571271546185,0.02205251,1930000,0.15735464
7984,-0.0076051033,4.109127975357987,193050000,46.25,25813.119712352753,0.25451005,0.025766848,3861,-3.2871528,0.995684050489217,0.020559022,1930500,0.15693937
8163,-0.006412682,4.648710372573987,193100000,49.47,25819.827756404877,0.26517403,0.03367822,3862,-3.2724845,0.9946285225450993,0.021648193,1931000,0.15279351
8039,-0.006831292,4.955042208902596,193150000,52.89,25826.374771595,0.25975803,0.031715408,3863,-3.2732763,0.9945753351785243,0.021008927,1931500,0.1537822
8159,-0.0054436945,6.114773179600597,193200000,62.64,25832.954890727997,0.26313603,0.054970227,3864,-3.2779741,0.9914073729887605,0.021520305,1932000,0.155297
8247,-0.0048934584,5.535583813325502,193250000,52.68,25839.315690279007,0.26970398,0.042447038,3865,-3.274828,0.9931195969693363,0.022603268,1932500,0.16232911
8137,-0.007839406,5.371956495558334,193300000,57.96,25845.737213373184,0.249416,0.02669797,3866,-3.2751327,0.9955280851572752,0.0198209,1933000,0.15461105
8114,-0.0075190403,5.894954353696957,193350000,54.53,25852.40280675888,0.231672,0.03105609,3867,-3.2706268,0.9948812313377857,0.018071163,1933500,0.15371022
8054,-0.0055953646,4.562842109152698,193400000,54.63,25859.05486869812,0.26465598,0.060448386,3868,-3.2541034,0.9908801950514317,0.022935944,1934000,0.15540807
8013,-0.006467625,5.809160545532795,193450000,58.89,25865.521488666534,0.2604319,0.039246418,3869,-3.2491534,0.993987884838134,0.021318307,1934500,0.15274249
7809,-0.0066263233,6.470029449087742,193500000,59.47,25872.36036491394,0.25021,0.03461881,3870,-3.2566242,0.9943810952827334,0.020443134,1935000,0.16027752
7721,-0.006227145,5.726685951515101,193550000,60.42,25879.3367497921,0.253392,0.044789467,3871,-3.2624907,0.9930744674056768,0.020277908,1935500,0.15671666
