fps,n_updates,value_loss,ep_reward_mean,approxkl,policy_loss,clipfrac,serial_timesteps,time_elapsed,policy_entropy,explained_variance,ep_len_mean,true_reward,total_timesteps
7998,4477,0.19784819,38.269313313400524,0.26515195,0.0014641688,0.47831002,2238500,29887.466029405594,-5.559084,0.9626745246350765,496.07,0.07259704,223850000
7957,4478,0.043244988,39.87264259948629,0.12795237,0.0054985113,0.457556,2239000,29893.91753077507,-5.5340896,0.9872942706570029,497.67,0.07767739,223900000
7959,4479,0.10115762,41.40998397288548,0.16054405,-0.00077046675,0.443442,2239500,29900.609576940536,-5.5372577,0.9647345170378685,497.68,0.080649704,223950000
8114,4480,0.047776375,39.76240602414584,0.14521438,0.0047064447,0.51708597,2240000,29907.505073070526,-5.568738,0.9856347059831023,497.87,0.07740198,224000000
8003,4481,0.12006866,40.05160019039631,0.14707308,0.00011404573,0.36959597,2240500,29914.252372026443,-5.59092,0.972891429439187,495.21,0.07579372,224050000
8140,4482,0.11238303,40.145619571558434,0.21926616,0.0039235298,0.502138,2241000,29920.82555913925,-5.578759,0.9737440310418606,496.55,0.077104725,224100000
7934,4483,0.10573162,41.68955578868057,1.2561238,-0.0004447192,0.42916,2241500,29927.372195720673,-5.5682673,0.9633479975163937,497.56,0.08088157,224150000
8013,4484,0.2539666,39.89136981476538,0.1510828,-6.651584e-05,0.44156793,2242000,29934.254178762436,-5.570566,0.9561911001801491,494.69,0.074986964,224200000
7948,4485,0.121091954,39.87311137856599,0.29404142,0.0015878358,0.40336198,2242500,29941.068519353867,-5.583622,0.9688543416559696,497.99,0.07766035,224250000
8051,4486,0.17011997,40.62702891158624,0.31155112,0.0015377663,0.43813992,2243000,29947.918499469757,-5.576568,0.9587534554302692,496.1,0.077587314,224300000
7984,4487,0.13049363,40.467466612970114,0.13774131,-0.0011269014,0.3394559,2243500,29954.58523917198,-5.594728,0.9696344081312418,496.62,0.07766211,224350000
7966,4488,0.055726785,40.15662459452371,0.19721997,0.005619576,0.53327584,2244000,29961.130356311798,-5.578963,0.9795389510691166,498.17,0.07874676,224400000
8232,4489,0.1045771,39.83043231968779,0.251933,-0.0007854349,0.40161395,2244500,29967.842846155167,-5.561533,0.9780537392944098,496.5,0.075941816,224450000
7895,4490,0.11881144,39.075705647554,0.1276515,-0.0011591285,0.43719196,2245000,29974.452105522156,-5.5709553,0.9714442659169436,498.08,0.07627929,224500000
7778,4491,0.058866564,41.59639268024115,0.0941234,-0.0012511441,0.40794206,2245500,29981.268525600433,-5.565051,0.9773477502167225,498.4,0.08160688,224550000
7799,4492,0.07139811,40.15574452634497,0.21015379,0.0019127068,0.5015141,2246000,29988.129759311676,-5.543681,0.9717701394110918,499.41,0.07971096,224600000
8330,4493,0.13138436,40.01901744933648,0.16162865,0.002782248,0.47382802,2246500,29995.172251224518,-5.519391,0.9699474219232798,497.27,0.07716502,224650000
7802,4494,0.107985824,39.4410257728488,0.23286368,0.0027816754,0.31852,2247000,30001.480845689774,-5.522925,0.9789065271615982,496.45,0.0752825,224700000
7978,4495,0.24580003,40.21680770774535,1.4358156,0.0014971999,0.3664,2247500,30008.407899856567,-5.532621,0.9570063911378384,496.11,0.07606547,224750000
8071,4496,0.051350918,40.108409169972,0.13455202,-0.00013878243,0.45376202,2248000,30015.12285041809,-5.534271,0.9831635560840368,497.72,0.07804618,224800000
7890,4497,0.1076513,39.58644064407601,0.22182314,0.001405003,0.45218602,2248500,30021.95290660858,-5.5147505,0.9671230725944042,497.61,0.077088855,224850000
