explained_variance,serial_timesteps,ep_reward_mean,ep_len_mean,fps,total_timesteps,clipfrac,time_elapsed,true_reward,n_updates,value_loss,approxkl,policy_entropy,policy_loss
0.9377356022596359,28500,1.6006746880568972,46.68,7661,2850000,0.052331995,386.3443305492401,0.0017370001,57,0.2066829,0.004898519,4.6104236,-0.007015151
0.9477374739944935,29000,1.0244715260892554,43.04,7712,2900000,0.054561995,393.3150177001953,-0.0032177728,58,0.17526215,0.005054618,4.5907927,-0.0075173215
0.9358471557497978,29500,0.9870051248363597,46.39,7867,2950000,0.049492005,400.4368894100189,0.0011409892,59,0.2094967,0.004807674,4.568132,-0.0068172454
0.9475078135728836,30000,1.2952864358415173,41.39,8027,3000000,0.048898015,407.4196274280548,0.00078351586,60,0.17427456,0.004684509,4.551099,-0.006518713
0.941294003278017,30500,1.6774066367362683,49.67,8034,3050000,0.045916006,414.1967604160309,0.003882584,61,0.19915436,0.0045014727,4.536736,-0.0069104894
0.943808913230896,31000,1.7863672670939559,51.78,7963,3100000,0.05274199,420.99289774894714,0.0003665892,62,0.18749,0.0048687668,4.517025,-0.0069219037
0.9485206343233585,31500,1.3688797699959832,49.72,8044,3150000,0.049784,427.75475120544434,0.005350403,63,0.18198273,0.004779221,4.499894,-0.00680821
0.9441216178238392,32000,1.1854192366224015,49.86,7982,3200000,0.056858,434.57986545562744,-0.00040400864,64,0.18665887,0.0051738066,4.4806805,-0.0073976587
0.9504699297249317,32500,1.8062470731353095,50.19,7829,3250000,0.056648,441.340532541275,0.0012230368,65,0.19147377,0.0051651043,4.451895,-0.007829087
0.9452775195240974,33000,1.3709259715147892,48.2,7973,3300000,0.060459994,448.31361865997314,0.003788903,66,0.19171996,0.0053993235,4.419909,-0.0074020834
0.9475231431424618,33500,1.5985150075462662,57.79,7934,3350000,0.05283399,455.16245341300964,0.003530554,67,0.19174616,0.004950724,4.3890834,-0.007007775
0.9529658481478691,34000,1.570471074488014,49.02,7911,3400000,0.05334599,461.89481949806213,0.009006666,68,0.17419633,0.004949545,4.369067,-0.007087545
0.9519586749374866,34500,0.8156693816351254,46.07,7936,3450000,0.055489995,468.7388107776642,0.006415131,69,0.17759407,0.005073874,4.3493886,-0.0069190385
0.9575116820633411,35000,1.4180428558656422,48.83,7896,3500000,0.059158,475.47384786605835,0.010125059,70,0.17434098,0.005230451,4.330042,-0.007270381
0.9568961225450039,35500,1.8547013488684023,48.77,7762,3550000,0.053812012,482.3258397579193,0.009188144,71,0.18638708,0.0049332296,4.3229966,-0.007344569
0.9581375196576118,36000,1.4890175038928282,55.0,7870,3600000,0.052236013,489.35339546203613,0.006590334,72,0.16963537,0.0048782527,4.3047285,-0.00656358
0.9575774893164635,36500,1.4747848926132066,43.52,7753,3650000,0.054050002,496.2655711174011,0.006698628,73,0.19246483,0.0050346632,4.2839155,-0.007359682
0.9603804275393486,37000,2.052984463518951,49.26,7918,3700000,0.049093995,503.33325386047363,0.0074950904,74,0.17762914,0.004695159,4.266477,-0.0065339957
0.9482955038547516,37500,1.7102503878336939,49.21,7659,3750000,0.05494,510.2082405090332,0.006091848,75,0.21635582,0.005056579,4.2413955,-0.007201703
0.9568201489746571,38000,1.777105179970822,46.06,8058,3800000,0.056560017,517.2601780891418,0.010842577,76,0.17614472,0.005175041,4.207001,-0.0071624476
0.9563641957938671,38500,1.5709780886388034,50.9,7735,3850000,0.05850599,524.0437545776367,0.010620317,77,0.18351616,0.005336266,4.17112,-0.007647
0.9625463373959064,39000,1.9350133375651786,47.52,8011,3900000,0.059462,531.0603003501892,0.011992088,78,0.17470229,0.005326837,4.141574,-0.0080812145
0.9602515175938606,39500,1.666214785279226,54.95,7877,3950000,0.053888008,537.950856924057,0.009864976,79,0.1688067,0.0049993102,4.1203794,-0.0073132813
0.9624153524637222,40000,2.37249782247236,55.73,7952,4000000,0.063968,544.6828744411469,0.012769205,80,0.16682468,0.0056187664,4.093887,-0.008360631
