ep_len_mean,fps,policy_loss,total_timesteps,ep_reward_mean,value_loss,clipfrac,approxkl,time_elapsed,n_updates,serial_timesteps,policy_entropy,explained_variance,true_reward
32.34,8445,0.0022002116,10350000,1.3567571103572846,2.1758162e-05,0.148876,0.010990931,1349.6540536880493,207,103500,-0.8934814,0.9998040094797034,0.050253104
32.19,8018,0.0009863931,10400000,1.3423510310053826,1.3882785e-05,0.12206802,0.009138072,1356.1425018310547,208,104000,-0.916351,0.999879795454035,0.050228253
32.4,8219,0.0013541274,10450000,1.3612649726867676,4.0835163e-05,0.12725797,0.009626832,1363.1077053546906,209,104500,-0.95255005,0.9997777735989075,0.05024897
32.1,8134,-0.00077660265,10500000,1.3332670798897743,1.1480655e-05,0.11404001,0.0086833155,1369.9456279277802,210,105000,-0.9884194,0.9999120252978173,0.050198395
32.21,7999,0.0014746744,10550000,1.3428743636608125,1.585281e-05,0.118224,0.009126723,1376.6266713142395,211,105500,-1.0237334,0.9998634480289184,0.05021724
32.46,8464,0.0017112708,10600000,1.3669008338451385,2.812718e-05,0.15458798,0.012363548,1383.2560594081879,212,106000,-1.05901,0.9997445407498162,0.05028189
32.15,8126,0.0013323206,10650000,1.3382550460100173,1.1146326e-05,0.12031399,0.009120474,1389.8568913936615,213,106500,-1.0860202,0.9998991428437876,0.050225805
32.12,8088,0.00016567153,10700000,1.335399856865406,1.0229684e-05,0.13357,0.010359361,1396.5464894771576,214,107000,-1.1177329,0.9999118623891263,0.05022008
32.89,8336,-0.0012787496,10750000,1.4081153658032417,5.1850384e-05,0.139726,0.010987964,1403.264850616455,215,107500,-1.1248546,0.9995237033290323,0.05033071
32.4,8160,0.0019814651,10800000,1.3620741567015648,2.5710724e-05,0.13551997,0.01025657,1409.6701157093048,216,108000,-1.1218724,0.9997716211219085,0.05028979
32.65,8159,-0.00013620046,10850000,1.3850281876325607,3.9377548e-05,0.143492,0.010404509,1416.1103899478912,217,108500,-1.1199684,0.9996374050388113,0.050315462
32.19,8400,0.0021399497,10900000,1.342626742720604,1.3848687e-05,0.152662,0.011396315,1422.6241919994354,218,109000,-1.1256874,0.9998762753530173,0.050265927
32.11,8177,0.00042981713,10950000,1.334013627767563,9.3023355e-06,0.13688996,0.010039364,1429.0250205993652,219,109500,-1.1484487,0.9999187460562098,0.050241046
32.06,8101,-0.0012539763,11000000,1.3287251800298692,6.4460883e-06,0.120096,0.009102651,1435.7902603149414,220,110000,-1.1792125,0.999940543439152,0.050201923
32.03,8076,-0.0033101502,11050000,1.326760288476944,6.2437057e-06,0.12515397,0.009421239,1442.4610459804535,221,110500,-1.2168156,0.9999586773083138,0.050220262
32.19,8163,0.0012623098,11100000,1.3422717797756194,7.637979e-05,0.119237974,0.008979136,1449.316110610962,222,111000,-1.2631981,0.9998740279261256,0.050290056
32.47,7999,0.0009463761,11150000,1.3683665269613265,2.9622313e-05,0.134476,0.009870096,1455.9280865192413,223,111500,-1.2760195,0.9997329596662894,0.050322134
32.15,8054,0.0024675305,11200000,1.3378574338555336,1.1410911e-05,0.136174,0.010334611,1462.777506828308,224,112000,-1.2899752,0.999896368230111,0.05025222
32.07,8310,-0.0007704185,11250000,1.3302896600961684,6.788143e-06,0.12085001,0.009224799,1469.6876311302185,225,112500,-1.3266995,0.9999405245216622,0.05022794
32.07,8425,-0.0015878562,11300000,1.3304949408769609,2.2734226e-05,0.12556602,0.009373753,1476.18110704422,226,113000,-1.3640752,0.9999390288830909,0.050264977
32.19,8089,0.0015926692,11350000,1.3419845527410508,1.4268971e-05,0.13602802,0.010231647,1482.5757784843445,227,113500,-1.400142,0.9998737954592798,0.050313246
32.3,8352,0.0018363893,11400000,1.3533586385846137,2.0323503e-05,0.13680601,0.009990203,1489.2351524829865,228,114000,-1.424063,0.9998175985820126,0.05032533
32.22,8229,0.0031088844,11450000,1.345767098069191,1.6155498e-05,0.15222003,0.011697321,1495.5682964324951,229,114500,-1.4496565,0.9998587867012247,0.05031544
32.12,8129,0.0014216282,11500000,1.3353918957710267,9.41825e-06,0.144808,0.0112377405,1502.3072021007538,230,115000,-1.4888904,0.9999142848973861,0.0502789
32.31,8160,0.0012878764,11550000,1.3538940289616586,2.0751137e-05,0.12936595,0.009674505,1508.9054143428802,231,115500,-1.5224099,0.9998147743317531,0.050320182
32.23,8250,0.003766827,11600000,1.3466842380166053,1.5959278e-05,0.16908795,0.012692409,1515.7192194461823,232,116000,-1.5453405,0.9998567981674569,0.050312705
32.11,7975,0.0024630872,11650000,1.334810582101345,8.824636e-06,0.15240997,0.011553182,1522.367297410965,233,116500,-1.5724181,0.999919566216704,0.050289422
32.17,8286,0.0023335968,11700000,1.3413396102190018,1.6865622e-05,0.134744,0.010258952,1529.3429880142212,234,117000,-1.6073768,0.9998898996782373,0.050296422
32.19,8097,0.0029829699,11750000,1.3436237379908562,1.3824082e-05,0.16504402,0.012414089,1535.7124154567719,235,117500,-1.6374598,0.9998794004714,0.050304346
32.38,7762,0.0012111834,11800000,1.360997115969658,2.4281335e-05,0.16383003,0.012264035,1542.4378123283386,236,118000,-1.6494778,0.9997793424263364,0.05032973
32.36,8218,0.0028711886,11850000,1.3591763600707054,2.355482e-05,0.15496999,0.0120300315,1549.1317875385284,237,118500,-1.6537616,0.9997886931087123,0.05032871
32.19,8250,0.00393415,11900000,1.3434263956546784,1.3358434e-05,0.16036199,0.012202361,1555.6872391700745,238,119000,-1.669534,0.9998783774281037,0.050307002
32.15,8095,0.0028998833,11950000,1.3390992200374603,1.0934836e-05,0.14886,0.011131668,1562.2597851753235,239,119500,-1.6987634,0.9999009581879363,0.05029929
32.04,8055,-0.00094735605,12000000,1.32908744931221,4.5095226e-06,0.16120796,0.012050138,1569.227022409439,240,120000,-1.7364578,0.9999588787031826,0.05026957
32.17,7833,0.0026180518,12050000,1.3417140182852745,1.2092485e-05,0.15246001,0.011588253,1575.9462280273438,241,120500,-1.773796,0.999890120474447,0.050318927
32.24,8030,0.001603493,12100000,1.348361430168152,0.00010329238,0.141812,0.010859091,1582.9912419319153,242,121000,-1.8040851,0.999853286150028,0.050333563
32.23,8476,0.0018404627,12150000,1.3476979738473893,1.6422315e-05,0.144462,0.010524605,1589.7600774765015,243,121500,-1.8253092,0.9998549222218571,0.050336886
32.34,8296,0.0020205677,12200000,1.3573671236634255,2.170878e-05,0.17474203,0.012679913,1596.0016055107117,244,122000,-1.8483799,0.9998032211879035,0.050316054
32.06,8889,0.0007984263,12250000,1.3312391781806945,5.474094e-06,0.13302201,0.010127429,1602.5849256515503,245,122500,-1.8802098,0.9999512197282456,0.050281744
32.05,8662,0.00016641828,12300000,1.3309736716747285,4.8999395e-06,0.14013398,0.010451531,1608.6858494281769,246,123000,-1.9189337,0.9999556975235464,0.050299425
32.21,8265,0.0028868602,12350000,1.346316137611866,1.4376782e-05,0.16489801,0.012628043,1615.0571162700653,247,123500,-1.9546453,0.9998707183840452,0.05032565
32.51,8199,0.0011129141,12400000,1.3746527805924416,3.19066e-05,0.19027397,0.014785097,1621.7499740123749,248,124000,-1.9718558,0.9997101489279885,0.050359264
32.43,8586,0.0012813115,12450000,1.367475787997246,2.7431319e-05,0.17592391,0.013313174,1628.4989955425262,249,124500,-1.9808804,0.9997514210117515,0.050356805
32.19,8216,0.0033647642,12500000,1.3448409202694893,1.4486761e-05,0.17988397,0.01381757,1634.8709490299225,250,125000,-1.9985569,0.9998813313577557,0.050327174
32.44,8105,0.0012060677,12550000,1.3684061646461487,2.8331897e-05,0.18435003,0.014720457,1641.4286212921143,251,125500,-2.0091803,0.9997386892791837,0.050361235
32.04,8477,8.552558e-05,12600000,1.3309227561950683,4.2474726e-06,0.14413801,0.011263286,1647.9279367923737,252,126000,-2.0340762,0.9999609759397572,0.050308462
32.43,8463,0.002611459,12650000,1.3681463342905045,2.8710087e-05,0.18094999,0.0142312385,1654.322452545166,253,126500,-2.0595057,0.9997521383920684,0.05036516
32.08,8385,0.0051154834,12700000,1.3347231429815292,8.1477565e-06,0.142198,0.011306656,1660.677562236786,254,127000,-2.0715575,0.9999258990137605,0.050318673
32.59,8676,0.000710902,12750000,1.3831642332673073,3.6988782e-05,0.18195795,0.013774258,1667.260825395584,255,127500,-2.0822358,0.9996657608135138,0.050374545
32.46,9034,0.0014816422,12800000,1.3710270366072654,2.994537e-05,0.18239002,0.014018409,1673.5135791301727,256,128000,-2.0758753,0.9997200709476601,0.050370883
32.37,8499,0.003558844,12850000,1.3620495975017548,2.3946526e-05,0.22520404,0.017434264,1679.6052868366241,257,128500,-2.0669396,0.9997827847400913,0.05036683
32.61,8813,0.0006371914,12900000,1.3850183847546578,3.854971e-05,0.169486,0.012914889,1686.0940890312195,258,129000,-2.051448,0.9996578258869704,0.05036239
32.09,8503,0.0015944855,12950000,1.3357157135009765,1.2971553e-05,0.12817402,0.009796445,1692.2016718387604,259,129500,-2.066498,0.9999302413489204,0.050324127
32.28,8559,0.0015032843,13000000,1.353629826903343,2.5702317e-05,0.183768,0.013667933,1698.5225102901459,260,130000,-2.0925672,0.9998274247336667,0.050354496
32.06,8494,0.00017743351,13050000,1.332497398853302,1.5277332e-05,0.12677999,0.009719954,1704.9917283058167,261,130500,-2.1115294,0.9999534558119194,0.050303955
32.05,8885,0.002435951,13100000,1.3314141768217087,5.2906293e-05,0.13327597,0.010285458,1711.4476606845856,262,131000,-2.1458898,0.9999084713344928,0.050311234
32.1,8623,0.003516949,13150000,1.336347025036812,2.3071745e-05,0.121134005,0.009421742,1717.3703112602234,263,131500,-2.188037,0.9998753874388058,0.05034647
32.46,8294,0.001791367,13200000,1.370516864657402,3.005525e-05,0.18656997,0.014557278,1723.8124673366547,264,132000,-2.2160802,0.9997237443458289,0.05038514
32.07,8213,0.0023030876,13250000,1.3338117074966431,7.1169306e-06,0.17647596,0.0130359875,1730.4676382541656,265,132500,-2.2358103,0.9999456250006915,0.05034728
32.92,8361,-0.00032027438,13300000,1.4141996070742606,6.0493636e-05,0.19574803,0.015826821,1737.1985845565796,266,133000,-2.2457948,0.9994431009981781,0.05040811
32.43,8751,0.000824363,13350000,1.3681026202440263,2.9028508e-05,0.169766,0.013066019,1743.8573958873749,267,133500,-2.2436492,0.9997266191930976,0.050389625
32.14,8431,0.0025341553,13400000,1.3407822853326798,1.0255428e-05,0.15015802,0.011411689,1750.118015050888,268,134000,-2.2541633,0.9999069251934998,0.050350636
32.05,8364,0.0017488551,13450000,1.3318088054656982,4.8367924e-06,0.14653403,0.0113500655,1756.5604331493378,269,134500,-2.2831986,0.9999582399868814,0.05032699
32.0,8379,-0.0036873538,13500000,1.3272397118806838,1.5776781e-06,0.144768,0.011840847,1762.8429923057556,270,135000,-2.325288,0.9999862215663597,0.050323155
32.18,8522,0.0044748257,13550000,1.344632827937603,1.251431e-05,0.19131202,0.014733686,1769.365003824234,271,135500,-2.35211,0.9998870745766908,0.050364852
32.47,8575,0.0035817185,13600000,1.3718528050184249,3.0517398e-05,0.206168,0.017129572,1775.612786769867,272,136000,-2.3492782,0.9997251685708761,0.05039155
32.06,8571,0.0030470428,13650000,1.3327534866333008,6.292556e-06,0.17807598,0.013432201,1781.9555830955505,273,136500,-2.3583205,0.9999536890172749,0.050331872
32.05,8511,0.0016469636,13700000,1.3325983440876008,4.9119285e-06,0.16650198,0.013192355,1788.185007572174,274,137000,-2.390342,0.9999584040888294,0.050345406
32.2,8447,0.0029499617,13750000,1.3466439896821976,1.4564251e-05,0.17458802,0.012816685,1794.4279651641846,275,137500,-2.4106593,0.9998761524475412,0.050362792
