total_timesteps,approxkl,n_updates,explained_variance,ep_reward_mean,fps,time_elapsed,clipfrac,policy_entropy,serial_timesteps,ep_len_mean,policy_loss,value_loss,true_reward
3700000,0.005017078,74,0.9827256500720978,1.3210495315941808,7882,494.3798484802246,0.053342,4.0022855,37000,57.43,-0.007499827,0.008992845,-0.013917379
3750000,0.0053792614,75,0.9830431956797838,0.2326571349025471,7784,501.31127882003784,0.061564,3.979802,37500,47.59,-0.008186199,0.008575006,-0.012552229
3800000,0.00551314,76,0.9834095574915409,0.8693932107939326,8101,508.2275252342224,0.062748,3.9669046,38000,52.64,-0.008367846,0.008538982,-0.016930541
3850000,0.0054031177,77,0.9822972416877747,1.1014319464124855,8053,514.8440427780151,0.061117988,3.957583,38500,51.38,-0.008183101,0.009004592,-0.010699103
3900000,0.0053965254,78,0.9841901808977127,1.5751474858192522,7915,521.5383994579315,0.06063001,3.9363153,39000,50.76,-0.008947916,0.008096568,-0.01341356
3950000,0.005795092,79,0.9860532954335213,0.6236557620532404,7940,528.076494216919,0.067338005,3.9091055,39500,49.73,-0.008212999,0.0076119243,-0.012004323
4000000,0.0054498445,80,0.9858082141727209,2.139047712637039,7647,534.8174829483032,0.061221994,3.8864346,40000,56.88,-0.008759031,0.008223443,-0.010439184
4050000,0.0052881297,81,0.9850757010281086,1.357231868619201,7862,541.8109133243561,0.058936015,3.861263,40500,64.25,-0.008238305,0.008756475,-0.0104666455
4100000,0.005496879,82,0.9822924267500639,1.1692340094071552,7983,548.7461395263672,0.06265001,3.8373406,41000,61.9,-0.008189936,0.010096412,-0.012091201
4150000,0.0054607503,83,0.9839973486959934,1.2757346686377422,7880,555.3431661128998,0.06198801,3.8133712,41500,58.43,-0.007744857,0.00925394,-0.009415514
4200000,0.005436636,84,0.9848412880674005,0.9574060752077639,7958,562.1802561283112,0.061619997,3.785756,42000,49.07,-0.008444008,0.008576863,-0.015573129
4250000,0.0054621976,85,0.9856780348345637,1.2799177580083778,7653,568.9138720035553,0.061883997,3.7590985,42500,45.72,-0.00823398,0.008464129,-0.009311163
4300000,0.0053521995,86,0.9843518994748592,1.4946032392630877,7804,576.028341293335,0.059494004,3.7342985,43000,51.96,-0.0079790745,0.008586928,-0.013511988
4350000,0.0055224244,87,0.985460551455617,1.5969861726554517,8049,582.6687586307526,0.06295,3.7059972,43500,54.88,-0.008800723,0.0081891045,-0.009585089
4400000,0.0055768993,88,0.9856033017858863,1.943828749696404,8233,589.3897581100464,0.06392,3.682277,44000,54.26,-0.008378514,0.008335849,-0.009804209
4450000,0.0055854474,89,0.9877533838152885,1.1243089822643377,8487,595.8506631851196,0.064040005,3.6619532,44500,53.28,-0.008054277,0.0076856343,-0.012200034
4500000,0.005868206,90,0.9869722342118621,1.4552483818483597,8146,602.2482771873474,0.068258,3.637414,45000,57.79,-0.008784411,0.0078324815,-0.009972181
4550000,0.0058952104,91,0.9865751881152391,1.0425562015749166,8050,608.9077575206757,0.069216006,3.610477,45500,48.13,-0.008355942,0.008592064,-0.012014928
4600000,0.0059698164,92,0.9851757036522031,1.1462019768892788,8299,615.5985355377197,0.069160014,3.578888,46000,54.13,-0.008917572,0.008851966,-0.01103704
4650000,0.0055887355,93,0.9864950748160481,1.0064311861278838,8048,622.1466579437256,0.063866,3.5520747,46500,56.29,-0.008353972,0.008232557,-0.011182739
4700000,0.0059443577,94,0.9860928282141685,1.9269671789286076,7871,628.9124481678009,0.069442004,3.5255303,47000,59.56,-0.008736303,0.008478015,-0.0049911165
4750000,0.0055102557,95,0.9862639708444476,1.2608605164159234,8179,635.7355132102966,0.063441984,3.5006437,47500,52.9,-0.008694015,0.008854397,-0.010227288
4800000,0.0054962044,96,0.9866982437670231,1.0992766869025945,8089,642.1966869831085,0.06296,3.480955,48000,58.76,-0.008147047,0.008128334,-0.005127213
4850000,0.005913831,97,0.9849484637379646,1.6615661387964065,7924,648.7278249263763,0.069572,3.455669,48500,53.35,-0.00838168,0.009217015,-0.00743745
4900000,0.005850909,98,0.9857393885031343,1.6285952775705663,7643,655.5922629833221,0.068644,3.426898,49000,65.15,-0.008963588,0.00939655,-0.009648988
