n_updates,fps,policy_entropy,true_reward,value_loss,approxkl,total_timesteps,ep_reward_mean,serial_timesteps,explained_variance,policy_loss,time_elapsed,clipfrac,ep_len_mean
2116,8328,-5.192487,0.10767002,0.08187439,0.024519172,105800000,7.828897423917515,1058000,0.9836993478238583,-0.0021137022,14168.698228359222,0.284726,91.41
2117,8340,-5.1989985,0.105748124,0.11505613,0.027403608,105850000,9.514648875952116,1058500,0.9769982621073723,-0.0010754949,14175.112309932709,0.30263203,107.63
2118,8089,-5.1981483,0.109235644,0.07926919,0.023424052,105900000,8.197032650657784,1059000,0.9846788812428713,-0.0041654254,14181.686480522156,0.28067598,87.03
2119,8159,-5.203269,0.10533034,0.07828813,0.023812253,105950000,8.724404672207129,1059500,0.9846883434802294,-0.0042277183,14188.410897254944,0.281408,98.41
2120,8255,-5.2046785,0.10555008,0.10056356,0.0251726,106000000,9.062307722300465,1060000,0.9801098592579365,-0.0026742727,14195.194880247116,0.29252803,98.67
2121,7992,-5.2026515,0.107866086,0.0903698,0.027865868,106050000,8.377925470727787,1060500,0.9815132059156895,-0.0018056274,14201.825557947159,0.31218797,93.14
2122,8162,-5.200671,0.10334892,0.105382174,0.023381509,106100000,7.742603859618466,1061000,0.9791521690785885,-0.0031845993,14208.65749001503,0.27995002,90.18
2123,8345,-5.200462,0.10878426,0.07649895,0.023221185,106150000,8.209528680311196,1061500,0.9845826141536236,-0.003962105,14215.19080877304,0.27350998,94.13
2124,8424,-5.19637,0.10229183,0.11377118,0.024074757,106200000,9.415132464506168,1062000,0.9776685107499361,-0.003042239,14221.525200366974,0.28123406,98.77
2125,8066,-5.194795,0.10735654,0.101652585,0.025006933,106250000,9.619468209542356,1062500,0.9804152529686689,-0.002922038,14227.966491937637,0.28968003,93.05
2126,8390,-5.193266,0.10485331,0.11840841,0.027399989,106300000,8.036445564088936,1063000,0.9769819620996714,-0.0019198415,14234.650728702545,0.30633402,97.31
2127,8211,-5.18909,0.10492117,0.0989349,0.025586905,106350000,9.40309271956663,1063500,0.9805373623967171,-0.004441619,14241.066124677658,0.29410797,103.28
2128,8098,-5.1925616,0.10254144,0.12363714,0.027856512,106400000,7.816612339272979,1064000,0.9760459009557962,-0.0026421472,14247.690155267715,0.3047159,88.57
2129,8501,-5.2043805,0.108282335,0.08294093,0.024625992,106450000,9.455240965015765,1064500,0.9836452286690474,-0.003182954,14254.455039024353,0.28849202,103.77
2130,8376,-5.2173657,0.1053942,0.10559871,0.02739949,106500000,8.499386983985605,1065000,0.9790080115199089,-0.0024036071,14260.783035039902,0.3023981,97.35
2131,8050,-5.214759,0.105252005,0.10758905,0.024138408,106550000,9.141477790743757,1065500,0.9781945571303368,-0.0031142936,14267.218777656555,0.28250197,99.56
2132,8414,-5.2127295,0.108215824,0.07954137,0.02264788,106600000,8.969458472976621,1066000,0.9836949370801449,-0.0027593044,14273.89165353775,0.27605203,93.16
2133,8195,-5.2033215,0.10500265,0.10843945,0.023928415,106650000,9.223468663255336,1066500,0.9798600785434246,-0.0042244266,14280.398312330246,0.278424,103.52
2134,8177,-5.2014856,0.103500135,0.1287889,0.025333129,106700000,8.61337941875885,1067000,0.9749601855874062,-0.003786163,14287.053111314774,0.28900802,94.19
2135,7798,-5.1994786,0.10733007,0.097779475,0.026526414,106750000,9.601887343543059,1067500,0.9805717263370752,-0.0023589518,14293.625361919403,0.30295396,108.63
