ep_len_mean,serial_timesteps,true_reward,ep_reward_mean,total_timesteps,policy_entropy,policy_loss,n_updates,time_elapsed,clipfrac,approxkl,fps,value_loss,explained_variance
45.8,29500,0.026010195,1.9378943698063267,2950000,5.7307615,-0.0016937156,59,119.84470176696777,0.009382,0.0013238357,25334,2.7560258,0.6731296181678772
50.76,30000,0.041659243,1.6974621734515085,3000000,5.7321935,-0.0016740641,60,121.89730978012085,0.004812,0.00087132474,25897,1.1753013,0.7331247925758362
43.41,30500,0.035671245,0.49577049056242684,3050000,5.73325,-0.0017858384,61,123.9267692565918,0.0061739995,0.0009859082,25339,1.6440563,0.7366947531700134
60.74,31000,0.03877863,0.992248145370395,3100000,5.736841,-0.0014880286,62,125.99511456489563,0.004086,0.0007756803,23398,1.3423073,0.7605633437633514
55.57,31500,0.044748265,2.0331406232029985,3150000,5.73965,-0.0020694816,63,128.21635460853577,0.007008,0.0011904531,23275,1.0807326,0.7192844748497009
67.54,32000,0.03897703,0.21539868743554508,3200000,5.7425747,-0.0014356945,64,130.4544394016266,0.0059660003,0.0011263919,23442,1.447544,0.7269026935100555
46.53,32500,0.048847817,2.735475667861174,3250000,5.7456083,-0.0015337087,65,132.66703915596008,0.005892,0.0010253951,23092,0.71007645,0.7683907300233841
56.13,33000,0.043902233,2.6332563346528333,3300000,5.747365,-0.0015798357,66,134.94579243659973,0.005238,0.0009769299,23621,1.1014189,0.71425461769104
48.39,33500,0.046752244,1.3205246156651993,3350000,5.74795,-0.0013853781,67,137.1480758190155,0.0063420003,0.0010769335,23192,0.76677513,0.7385907769203186
54.43,34000,0.051367622,3.622864038376065,3400000,5.748919,-0.0015671231,68,139.39035606384277,0.005138,0.001059658,23451,0.86747617,0.6930447220802307
59.35,34500,0.05750261,2.0271515698276197,3450000,5.750863,-0.0020435709,69,141.60660934448242,0.01088,0.0017945319,23602,0.56482637,0.7312585413455963
61.98,35000,0.05569904,3.253004057499129,3500000,5.7547636,-0.0017707475,70,143.80517315864563,0.008694001,0.0014763756,23515,0.5385258,0.759248360991478
75.99,35500,0.056666743,4.303134083846817,3550000,5.7582693,-0.0017726918,71,146.01024103164673,0.012138,0.0017662623,23789,0.441537,0.7798750400543213
58.37,36000,0.055252466,3.6758121980501346,3600000,5.7622676,-0.0017713194,72,148.19177722930908,0.011414001,0.0017933805,23223,0.5455376,0.7572876960039139
62.69,36500,0.051855624,4.094010772144193,3650000,5.766153,-0.0016188106,73,150.4379527568817,0.007921999,0.0015553213,23284,0.6891761,0.7364189624786377
101.27,37000,0.04993424,3.697313884838313,3700000,5.767843,-0.0002691794,74,152.67132186889648,0.013442,0.0019307949,23802,0.73427814,0.7194863855838776
78.52,37500,0.050406024,3.406314959539159,3750000,5.768927,-0.0018454675,75,154.85151028633118,0.009216,0.0015094972,23710,0.72232294,0.7180880606174469
93.39,38000,0.052957557,4.2332300338503,3800000,5.770207,-0.00097089587,76,157.07297587394714,0.00552,0.0013299581,23906,0.5655177,0.7422963976860046
120.01,38500,0.04972633,4.9020406053780246,3850000,5.7711916,-0.0009827856,77,159.24222612380981,0.011276,0.0017325211,23637,0.93411523,0.689472496509552
110.49,39000,0.05398891,6.252840525426581,3900000,5.7718267,-0.0013378791,78,161.4490795135498,0.0065860003,0.0010763074,23921,0.70506173,0.7280819416046143
108.45,39500,0.056701913,3.9133047542522763,3950000,5.769665,-0.001331513,79,163.6230182647705,0.009324001,0.0017832104,23492,0.5239825,0.7808607518672943
114.59,40000,0.055606898,4.337439161798788,4000000,5.7669106,-0.0011287696,80,165.82641911506653,0.0030379998,0.00083050673,23579,0.59577894,0.6900635659694672
114.57,40500,0.058961388,6.965610753641068,4050000,5.766488,-0.001670482,81,168.02827143669128,0.014726001,0.0021313892,23999,0.42981085,0.7918578386306763
165.04,41000,0.05308495,9.068942401638797,4100000,5.7658386,-0.0002505305,82,170.20171093940735,0.009640001,0.0018309675,23358,0.5991181,0.7342875897884369
172.59,41500,0.04628047,8.812934044018256,4150000,5.7652884,-0.0013655524,83,172.42057943344116,0.014634,0.0019128708,23316,0.7195368,0.74787238240242
169.31,42000,0.047839884,7.127230570475276,4200000,5.766435,-0.0008402023,84,174.63712978363037,0.009221999,0.0017365369,23424,0.6725863,0.788349911570549
195.37,42500,0.04505993,7.86446525883719,4250000,5.7672677,-0.0007423211,85,176.85943794250488,0.011888,0.0018013384,23752,0.77022225,0.7654311209917068
193.97,43000,0.04843283,7.379113180718632,4300000,5.768426,-0.001347924,86,179.07272815704346,0.00765,0.0014021366,23784,0.754062,0.7772852182388306
232.81,43500,0.04481899,9.424561501529425,4350000,5.770362,-0.0016874142,87,181.2631664276123,0.008764001,0.001542377,23553,0.7701384,0.80317722260952
250.94,44000,0.03965596,8.719226622713155,4400000,5.7701807,-0.0011478195,88,183.472234249115,0.01212,0.001955538,23466,0.7653886,0.8022183924913406
187.24,44500,0.04724898,7.143968630281592,4450000,5.7697763,-0.0012701681,89,185.69339561462402,0.011738,0.0017636731,23538,0.7006498,0.7716265022754669
255.76,45000,0.044924233,9.516602170746188,4500000,5.769477,-0.0014605287,90,187.90477538108826,0.0068220003,0.0013199801,24209,0.65037906,0.7694713473320007
258.98,45500,0.046161283,10.12210103034587,4550000,5.7698064,-0.0013117967,91,190.04077315330505,0.013166,0.001970769,23633,0.5481899,0.7983009964227676
276.71,46000,0.037321545,7.66222605684457,4600000,5.769779,-0.0011093282,92,192.2304491996765,0.015673999,0.0019191388,23741,0.7500285,0.7583098858594894
256.43,46500,0.03939359,8.240580441832194,4650000,5.770358,-0.0011277841,93,194.4087347984314,0.010686,0.0017798705,24050,0.6518719,0.7459649741649628
254.25,47000,0.038271904,8.25173611655236,4700000,5.770699,-0.0013129377,94,196.5704174041748,0.014796001,0.0020106996,23682,0.70295036,0.773729607462883
251.12,47500,0.038642723,7.70669264138538,4750000,5.771248,-0.0012024958,95,198.75422859191895,0.012955999,0.0019246323,23770,0.62027013,0.7568269670009613
279.86,48000,0.025383633,3.793950978764333,4800000,5.774326,-0.001105086,96,200.93623185157776,0.014046,0.0019755277,23820,0.9181951,0.6799308657646179
296.81,48500,0.017877119,2.670177329906384,4850000,5.7761917,-0.0010196589,97,203.1262423992157,0.010373999,0.0019847304,23453,1.0912697,0.7237431406974792
300.33,49000,0.014240875,2.376048197508421,4900000,5.7760553,-0.00052082294,98,205.3297791481018,0.006368,0.0013880268,23574,1.1859273,0.6781673729419708
269.95,49500,0.019248089,1.1417283693562934,4950000,5.7752676,-0.0007766133,99,207.5210976600647,0.010546,0.0018387655,23975,1.1331384,0.67272087931633
301.0,50000,0.009276465,-0.07737883048880122,5000000,5.7763805,-0.00093713746,100,209.6866979598999,0.009334,0.0017441569,23922,1.4192483,0.5731476545333862
284.37,50500,0.0052338787,-0.17639281949579982,5050000,5.7790365,-0.0009076778,101,211.8493685722351,0.00872,0.0014907311,23529,1.5649029,0.625346451997757
257.91,51000,0.0058523314,-0.35893208185636466,5100000,5.7802114,-0.00053302135,102,214.04574012756348,0.013327999,0.0021111418,23440,1.4359703,0.6724594533443451
248.99,51500,0.0057765422,-0.2067666660314171,5150000,5.7812343,-0.00090333784,103,216.2702510356903,0.011026,0.0017551793,23446,1.5046473,0.673620343208313
259.55,52000,0.0051462366,0.007425457471890695,5200000,5.7841125,-0.0005309329,104,218.47334218025208,0.02023,0.0024453613,24009,1.4108641,0.6885184943675995
246.3,52500,0.006564735,-0.6133947052476697,5250000,5.7864413,-0.0008710634,105,220.63259363174438,0.019724,0.0023603975,23794,1.3979332,0.732268363237381
265.35,53000,0.0015897065,0.20391579179321526,5300000,5.7898417,-9.9214165e-05,106,222.80673813819885,0.021162,0.00258314,23979,1.3948272,0.7114160060882568
269.88,53500,0.002590368,-0.3003518057347401,5350000,5.79238,-0.0008784892,107,224.95817065238953,0.012640001,0.0019297302,23997,1.2893693,0.7100459039211273
291.1,54000,-0.0022782383,-1.9514118041516804,5400000,5.792803,0.00018940405,108,227.11034989356995,0.022942003,0.002641953,23538,1.3965826,0.7362880110740662
258.07,54500,0.0009552977,0.6345369164832403,5450000,5.7935877,-0.00048904365,109,229.3114185333252,0.004216,0.0011270959,23521,1.2939291,0.7454054951667786
263.89,55000,-0.007680885,-1.4176387289541936,5500000,5.7946115,-0.0005203587,110,231.51282000541687,0.0062820003,0.001485877,23380,1.4648254,0.7679634243249893
239.92,55500,-0.0010196072,1.0314960752528533,5550000,5.7956333,-0.0006807832,111,233.72086358070374,0.0060099997,0.0014276541,23314,1.3642418,0.7667591273784637
294.06,56000,-0.004773655,-3.177532758282931,5600000,5.798222,-0.0008489668,112,235.9346182346344,0.01335,0.0017451954,23395,1.3205045,0.7961453795433044
261.35,56500,-0.0027195832,-0.46370242842318476,5650000,5.801438,-0.0007672159,113,238.14000535011292,0.008490001,0.001732025,23857,1.340331,0.8008864223957062
274.49,57000,0.0047561857,0.6388924355179278,5700000,5.80293,-0.0005003723,114,240.32210159301758,0.0106339995,0.0017926099,23724,1.0983644,0.8219521790742874
