n_updates,explained_variance,policy_entropy,total_timesteps,serial_timesteps,ep_len_mean,policy_loss,value_loss,fps,true_reward,clipfrac,ep_reward_mean,time_elapsed,approxkl
1047,0.9915489107370377,-3.5762866,52350000,523500,7.95,0.0018168436,0.005658001,8555,0.09937978,0.161542,0.36177702690212754,6906.050863027573,0.011918678
1048,0.990837937220931,-3.5717936,52400000,524000,9.77,0.001494958,0.005882119,8615,0.09931751,0.16164601,0.5146678929848713,6912.419106960297,0.011953094
1049,0.9901213338598609,-3.5830414,52450000,524500,7.86,0.0015799088,0.0066975295,8219,0.09950372,0.188738,0.33429035582841604,6918.732336521149,0.014153811
1050,0.989850839599967,-3.5977142,52500000,525000,8.79,0.0008315438,0.006732495,8427,0.09923483,0.18548399,0.39129233132087393,6925.464672327042,0.013624746
1051,0.991126193664968,-3.596042,52550000,525500,8.2,0.0012340128,0.005878659,7827,0.09919756,0.15286404,0.3426037489704322,6931.815803050995,0.011191215
1052,0.9920226046815515,-3.597764,52600000,526000,6.84,0.0008541027,0.00552553,8374,0.099377565,0.15619598,0.2786879640072584,6938.678613901138,0.011286556
1053,0.9908569138497114,-3.6046305,52650000,526500,10.12,0.0014866388,0.0063717025,8179,0.0991836,0.18259601,0.5649290122638922,6945.241563796997,0.013464247
1054,0.9902731189504266,-3.6021416,52700000,527000,7.98,0.0013548555,0.00670567,8463,0.09924292,0.175692,0.3961909838576685,6951.938455104828,0.013060208
1055,0.990075726993382,-3.5919106,52750000,527500,10.22,0.000679214,0.0067102057,8198,0.099309646,0.144218,0.5985491878719768,6958.470816850662,0.010710209
1056,0.9883507564663887,-3.5815723,52800000,528000,7.43,0.002091415,0.0073512658,8210,0.0991392,0.16647597,0.31155885414482326,6965.186076879501,0.012616523
1057,0.9891610331833363,-3.5734296,52850000,528500,10.41,0.0022089144,0.0069778557,8307,0.09911151,0.166034,0.5996640534413745,6971.821828842163,0.012635011
1058,0.9918939890339971,-3.574122,52900000,529000,9.08,0.0009922065,0.0054627554,8375,0.09920982,0.14599599,0.4561221884805127,6978.350800275803,0.0107403705
1059,0.9919753670692444,-3.5849984,52950000,529500,7.62,0.0015424272,0.0054244157,7899,0.09917653,0.15297796,0.30557949053589256,6984.91579413414,0.011491864
1060,0.9907481949776411,-3.5961664,53000000,530000,8.36,0.0023252594,0.006975016,8106,0.09924018,0.21353798,0.4301441587021691,6991.7101039886475,0.017014435
1061,0.9894755370914936,-3.601409,53050000,530500,9.34,0.0019010997,0.0070089493,8140,0.09917923,0.20663795,0.4782242150322418,6998.400328874588,0.015938966
1062,0.9894624687731266,-3.597027,53100000,531000,10.03,0.001197779,0.0070536304,8479,0.09921711,0.172192,0.5516282977853553,7005.170798063278,0.012988213
1063,0.9913686290383339,-3.5915458,53150000,531500,10.6,0.0014114613,0.005699713,8172,0.09913746,0.17285804,0.5663338431084413,7011.700679540634,0.012579124
1064,0.991198742762208,-3.5915442,53200000,532000,9.61,0.002434713,0.0059633786,8181,0.09913262,0.18212198,0.4399916424768162,7018.316792011261,0.013446362
1065,0.9876363454386592,-3.5917559,53250000,532500,8.19,0.0008858835,0.009020255,7954,0.099232756,0.18988596,0.38440151069924466,7025.006120920181,0.014076381
1066,0.9897101549431682,-3.5845675,53300000,533000,9.91,0.00030574732,0.0067197485,8029,0.09908045,0.150318,0.4743087513212231,7031.887961626053,0.011351751
1067,0.9901382979005575,-3.5847998,53350000,533500,10.79,0.0015663723,0.006527181,8348,0.09896273,0.20310599,0.5275193672272144,7038.6847178936005,0.015955284
1068,0.9900194369256496,-3.5747705,53400000,534000,8.24,0.0016938463,0.0065902816,7974,0.0992622,0.18906197,0.3683420783339534,7045.199142694473,0.01365021
1069,0.9913704684004188,-3.5757196,53450000,534500,7.79,0.0017238534,0.0057670893,8320,0.0991941,0.16720599,0.21781200883240673,7051.980770587921,0.012316686
1070,0.9887199681252241,-3.5874603,53500000,535000,9.88,0.0014469399,0.0076878387,8023,0.09920684,0.18575001,0.49264962557994296,7058.3645215034485,0.014310973
1071,0.9896170664578676,-3.597894,53550000,535500,8.23,0.0020644537,0.006863237,8096,0.09923739,0.19375399,0.30990809883660403,7065.047077178955,0.0143936165
1072,0.9889562344178557,-3.6057312,53600000,536000,8.51,0.0013986444,0.0074669104,8190,0.09924367,0.19722202,0.33655157049157425,7071.6985557079315,0.01589257
1073,0.9886417016386986,-3.6136239,53650000,536500,8.06,0.0017283554,0.007263107,8119,0.09929807,0.185284,0.2730449911925825,7078.387415647507,0.013883876
1074,0.9912479855120182,-3.6207342,53700000,537000,6.88,0.0023343589,0.0056640883,8052,0.0993922,0.18296196,0.17713753157062456,7085.109486579895,0.014078906
1075,0.98864427767694,-3.6437979,53750000,537500,8.8,0.0014585644,0.007565462,8479,0.099217035,0.19466801,0.3512104621122126,7091.858902692795,0.014504684
1076,0.9889649553224444,-3.660768,53800000,538000,10.08,0.002106689,0.0073352847,8033,0.09927859,0.21611202,0.4823151620660792,7097.964929103851,0.017036244
1077,0.9890415407717228,-3.660297,53850000,538500,9.04,0.0015612362,0.007414627,8369,0.099304825,0.19236001,0.4441108181144227,7104.615333557129,0.014429759
1078,0.9905359977856278,-3.658625,53900000,539000,8.05,0.0009550497,0.006264172,8325,0.099394456,0.14200601,0.3217578135672375,7111.063450098038,0.010575521
1079,0.9901081304997206,-3.6725402,53950000,539500,8.43,0.0015862093,0.006479447,8146,0.09929032,0.16140398,0.2620241553761298,7117.671902418137,0.012173538
1080,0.9857719102874398,-3.6806862,54000000,540000,9.37,0.0019135067,0.009270894,8014,0.09936901,0.17066997,0.45067259584378916,7124.324807405472,0.01278677
1081,0.9907585186883807,-3.6888442,54050000,540500,9.45,0.0018431443,0.0060554547,8277,0.09933,0.19003205,0.4144030810901313,7131.129662275314,0.0144998655
1082,0.9904865361750126,-3.7029982,54100000,541000,6.66,0.0008443647,0.0064259963,7982,0.0994564,0.18226601,0.13846549867943395,7137.712418079376,0.013770402
1083,0.9883198365569115,-3.6987402,54150000,541500,9.14,0.0010145676,0.007834687,8496,0.099328734,0.16632,0.31727453831350433,7144.410405874252,0.012412462
1084,0.989477701485157,-3.6802938,54200000,542000,8.51,0.000787467,0.006994673,8286,0.09951902,0.17200205,0.3499254516980727,7150.879011154175,0.012590605
1085,0.9888903386890888,-3.6733189,54250000,542500,8.48,0.0014264882,0.0075853034,8253,0.09935201,0.13438004,0.3205833691052976,7157.546498775482,0.010026681
1086,0.9891424346715212,-3.680542,54300000,543000,7.1,0.0013810932,0.0072525735,8059,0.0994419,0.160786,0.13443713868648047,7164.248774290085,0.0119820405
1087,0.987485233694315,-3.6984277,54350000,543500,7.47,0.001695478,0.008199507,8032,0.099296555,0.18594001,0.13893870415224227,7170.946685791016,0.01487774
1088,0.9919056994840503,-3.714434,54400000,544000,8.21,0.0008641268,0.005269617,8308,0.09936178,0.16151801,0.1386966851982288,7177.716974973679,0.01190056
1089,0.9909764900803566,-3.7123487,54450000,544500,8.31,0.0016454041,0.005796346,8546,0.099416785,0.16783196,0.18067297577566932,7184.185321807861,0.012664872
1090,0.9883525241166353,-3.7127304,54500000,545000,8.54,0.001980091,0.007389431,8094,0.09927629,0.19380197,0.259068075249088,7190.516218185425,0.015385818
1091,0.9894112730398774,-3.7283258,54550000,545500,9.05,0.0015016168,0.006991893,8039,0.09927251,0.18760002,0.3343036004132591,7197.10603928566,0.01402278
1092,0.9907817644998431,-3.734214,54600000,546000,7.66,0.0012012905,0.006242197,7873,0.099296905,0.17363602,0.17272558273398317,7203.834486961365,0.012828014
1093,0.9907535593956709,-3.7373385,54650000,546500,9.59,0.00068032905,0.006146861,8139,0.099410795,0.16108397,0.3998092304469901,7210.474002599716,0.012404666
1094,0.987668739631772,-3.7506368,54700000,547000,7.48,0.001988177,0.0077121593,8165,0.09933947,0.19475001,0.21307099559053314,7217.236340761185,0.014963141
1095,0.9882445065304637,-3.7504382,54750000,547500,8.66,0.0021383418,0.0076394416,8228,0.099254005,0.16767003,0.31250996223767286,7223.862377643585,0.012927047
1096,0.9884944511577487,-3.747639,54800000,548000,8.11,0.0008338749,0.007854818,8218,0.099329494,0.18476802,0.2742705546482466,7230.402725458145,0.0136929015
1097,0.9913056334480643,-3.7491615,54850000,548500,6.83,0.0024422451,0.005729358,8348,0.099333875,0.17982998,0.13042826619755943,7237.058540821075,0.013886838
1098,0.9896901994943619,-3.7478666,54900000,549000,8.61,0.0016238638,0.0070734415,8140,0.099307,0.15592805,0.32485737948329185,7243.5405213832855,0.011841137
1099,0.9920146400108933,-3.7482505,54950000,549500,7.23,0.0012541797,0.005395104,8477,0.09937176,0.16267402,0.17815894966683118,7249.94332575798,0.012017054
1100,0.9901206959038973,-3.7623303,55000000,550000,7.9,0.0016977852,0.0066737807,8441,0.099310465,0.19198206,0.21053260207758284,7256.413219451904,0.014840864
1101,0.9883994730189443,-3.7657132,55050000,550500,8.5,0.0024798163,0.0078796735,8235,0.099365726,0.20616588,0.3086109144610236,7262.734372615814,0.01611086
1102,0.9888292383402586,-3.7648535,55100000,551000,7.78,0.001998445,0.0073769446,8165,0.099400245,0.19357197,0.2249313389105373,7269.193482875824,0.01470313
1103,0.9884409764781594,-3.7757232,55150000,551500,9.05,0.0018830359,0.007658063,8135,0.09923339,0.19717401,0.3725176123791607,7275.8047568798065,0.014421049
1104,0.9884961834177375,-3.7874672,55200000,552000,8.27,0.0013932417,0.007630503,7950,0.0992755,0.17062005,0.3508758157448028,7282.491005897522,0.012324732
1105,0.989151862449944,-3.797018,55250000,552500,10.26,0.0017498708,0.007062644,8330,0.09929122,0.21802202,0.5164284658327233,7289.378310918808,0.018223844
1106,0.9900295352563262,-3.8037755,55300000,553000,8.33,0.0011686516,0.007007403,8140,0.099449486,0.19763404,0.42202086771052566,7295.898795843124,0.015568194
1107,0.9912630710750818,-3.820762,55350000,553500,8.45,0.0021364472,0.00587005,8331,0.09930464,0.185752,0.3822897919645766,7302.705795288086,0.013860878
1108,0.9903476852923632,-3.8304098,55400000,554000,7.43,0.0019816249,0.006393741,8104,0.09924267,0.19697197,0.27698154179874107,7309.126483678818,0.015436326
1109,0.9889826085418463,-3.8226047,55450000,554500,6.39,0.002746924,0.0075235944,8107,0.09927452,0.19765997,0.16609010254527676,7315.799999475479,0.016143616
1110,0.992023816332221,-3.8285418,55500000,555000,8.45,0.0011181695,0.0054751807,8173,0.09938148,0.16306797,0.3487093576614279,7322.559261083603,0.012239563
1111,0.9889842420816422,-3.840016,55550000,555500,7.79,0.0027860806,0.007271776,8156,0.09933255,0.20965603,0.3140149470925098,7329.323964595795,0.016220294
1112,0.990419190376997,-3.8482327,55600000,556000,9.04,0.0025177246,0.006249237,8008,0.09915154,0.20020401,0.4148234991703066,7335.923185110092,0.015180376
1113,0.9899548916146159,-3.8442283,55650000,556500,11.76,0.0002613771,0.0071923495,8154,0.099097244,0.19195402,0.7173033382580616,7342.6064286231995,0.014709941
1114,0.9901172928512096,-3.8378696,55700000,557000,11.41,0.0018353482,0.0065872837,8209,0.09935386,0.20211397,0.7665540180556127,7349.397011995316,0.015717767
1115,0.9905418371781707,-3.8425214,55750000,557500,7.48,0.0013095402,0.0066093374,8423,0.09908488,0.18049794,0.2647763838648098,7356.047678947449,0.013252083
1116,0.9872838901355863,-3.8442924,55800000,558000,9.59,0.0021333275,0.00806965,8185,0.099213995,0.16928399,0.533889331308892,7362.503493070602,0.012760812
1117,0.9900507954880595,-3.833555,55850000,558500,7.15,0.0017569315,0.0065628625,8258,0.09921809,0.20404592,0.2489213320054114,7369.014503002167,0.015260777
1118,0.9879547413438559,-3.8317142,55900000,559000,7.89,0.0014703331,0.008005435,8434,0.09901621,0.18219198,0.335361034986272,7375.453283071518,0.01352352
1119,0.9863667218014598,-3.8350601,55950000,559500,11.22,0.0018175938,0.008814722,8336,0.099140674,0.19328,0.6472852529492229,7382.001299619675,0.014519283
1120,0.9914825996384025,-3.8422081,56000000,560000,7.07,0.0029992156,0.005808688,8154,0.09927491,0.19865395,0.2485272976543638,7388.616476535797,0.015070709
1121,0.9903168762102723,-3.851874,56050000,560500,8.0,0.0024076127,0.0063228644,8265,0.09922549,0.20370594,0.30041113632265476,7395.261747598648,0.014832261
1122,0.9896138980984688,-3.8515627,56100000,561000,8.98,0.0018457652,0.0068144053,8536,0.09920336,0.17700802,0.3812756145888125,7401.847017049789,0.0135155795
1123,0.9900086270645261,-3.8646657,56150000,561500,10.82,0.0013208895,0.006681376,8669,0.09903784,0.13885999,0.5475574995094212,7408.279096841812,0.010752375
1124,0.9890495762228966,-3.8828998,56200000,562000,8.33,0.0017963779,0.0071274666,8435,0.09925579,0.17450796,0.2846639131414122,7414.679644823074,0.012851604
1125,0.9909277632832527,-3.889554,56250000,562500,7.59,0.0015102685,0.006077038,8430,0.09929235,0.16483597,0.18387227557279404,7421.121477127075,0.012379083
1126,0.9906429722905159,-3.8892994,56300000,563000,8.18,0.001673772,0.006065008,8629,0.09933969,0.18753797,0.20769276430015451,7427.501809120178,0.014310446
1127,0.9895478980615735,-3.8945544,56350000,563500,8.98,0.0019710078,0.0069204103,8369,0.09926394,0.18947402,0.32189482666610275,7433.693268537521,0.014485572
1128,0.9900291739031672,-3.9041538,56400000,564000,7.82,0.0024556662,0.0064790435,8208,0.0992321,0.17795196,0.14282616466400214,7440.231211900711,0.013411053
1129,0.9902427019551396,-3.9136016,56450000,564500,7.59,0.0018295214,0.0064352397,8354,0.099356234,0.17667599,0.18662350908998632,7446.939346075058,0.013263617
1130,0.9883791441097856,-3.9170334,56500000,565000,9.54,0.00077218993,0.007938831,8331,0.09931153,0.19603401,0.4077194251512992,7453.287039756775,0.01501793
1131,0.9896512534469366,-3.9271624,56550000,565500,9.53,0.0021031091,0.006919158,8435,0.09929588,0.19641599,0.3723209533115732,7459.687138795853,0.014788776
1132,0.992345527280122,-3.9332824,56600000,566000,6.76,0.0012449338,0.005124096,8070,0.09943747,0.18095998,0.08491800731891999,7466.140832901001,0.013309633
1133,0.989257337525487,-3.9356747,56650000,566500,6.55,0.0018363175,0.0072205435,8230,0.099383935,0.20928596,0.09733455342793604,7472.907288312912,0.015963946
1134,0.991003230214119,-3.9414344,56700000,567000,7.68,0.0018827026,0.0059410455,8089,0.09925493,0.18748799,0.10065477850643219,7479.415846347809,0.014067915
1135,0.9895884711295366,-3.9383385,56750000,567500,8.59,0.0012609321,0.007084746,8486,0.099326074,0.19536602,0.26985283848829567,7485.9816353321075,0.01466368
1136,0.9881770079955459,-3.9454584,56800000,568000,8.32,0.0018853704,0.007821986,8399,0.09949264,0.188838,0.325202987055527,7492.338567495346,0.013763722
1137,0.9893535943701863,-3.9586103,56850000,568500,9.54,0.0022290454,0.0070721293,8115,0.09940408,0.19542404,0.4011213047854835,7498.707229375839,0.01506487
1138,0.9887542659416795,-3.9722989,56900000,569000,8.32,0.0016249178,0.007200294,8023,0.09924781,0.18061401,0.2764767433487577,7505.327443599701,0.013388186
1139,0.9888139562681317,-3.9763384,56950000,569500,8.54,0.0022050599,0.007589762,8123,0.099318236,0.18603204,0.3363862540887203,7512.187521934509,0.013788849
1140,0.9882038552314043,-3.9858956,57000000,570000,9.38,0.0027009717,0.007942262,7830,0.09938739,0.22847202,0.44467537434276894,7518.740118265152,0.017021978
1141,0.9896298982203007,-3.9952927,57050000,570500,7.12,0.0015238593,0.0066431444,8065,0.099275574,0.17841999,0.20352814596146346,7525.753657817841,0.013128798
1142,0.9908828902989626,-4.021016,57100000,571000,7.4,0.0015729452,0.0061286003,7914,0.09932971,0.185872,0.18256530009413838,7532.4625589847565,0.013916739
1143,0.9911621082574129,-4.033764,57150000,571500,8.41,0.001095318,0.0059289844,7989,0.099264726,0.16906199,0.27071273106295846,7539.386731147766,0.012901204
1144,0.9910853821784258,-4.034412,57200000,572000,8.09,0.0011524531,0.005988094,7953,0.09938193,0.185202,0.25866893011465436,7546.001635551453,0.013626979
1145,0.9925384041853249,-4.0440817,57250000,572500,7.02,0.00097363145,0.0051534045,7954,0.09937956,0.17564999,0.12032543977431487,7552.880492687225,0.012816038
1146,0.9882105365395546,-4.042496,57300000,573000,8.49,0.002436764,0.00789551,8208,0.09919188,0.22719002,0.2908931572290021,7559.734492301941,0.017747184
1147,0.9904089896008372,-4.0425715,57350000,573500,8.43,0.0028181789,0.006261989,8278,0.099290036,0.21643603,0.291734185932728,7566.287733793259,0.017015958
1148,0.9887546161189675,-4.048994,57400000,574000,7.4,0.0021281426,0.0074122758,8028,0.099396266,0.19926196,0.2074932723378879,7572.958210945129,0.014453812
1149,0.9923442979343235,-4.065966,57450000,574500,6.87,0.0015114537,0.0050704847,8074,0.0994645,0.16780998,0.14237809954152908,7579.728834629059,0.012784919
1150,0.9905864531174302,-4.0775805,57500000,575000,8.88,0.002191529,0.006297967,8482,0.0993431,0.192582,0.3665293451002799,7586.512809038162,0.01388571
1151,0.9925285391509533,-4.071953,57550000,575500,9.19,0.0021000023,0.0050122766,8184,0.09946986,0.18580008,0.375976177714183,7592.840034246445,0.014558257
1152,0.9897107686847448,-4.060989,57600000,576000,9.54,0.0008743764,0.0071298885,8369,0.09933188,0.15525202,0.4570986024735612,7599.549959659576,0.011839095
1153,0.9899197379127145,-4.0560627,57650000,576500,7.06,0.0020354667,0.0068945987,8426,0.09941313,0.14953601,0.23083510428026785,7606.183666467667,0.011161756
1154,0.9896375220268965,-4.0452633,57700000,577000,9.65,0.0013417334,0.0073482217,7974,0.09932563,0.169636,0.4411108193433029,7612.657641172409,0.012368892
1155,0.9909096071496606,-4.0346127,57750000,577500,7.24,0.0015725925,0.005857363,8188,0.099450134,0.16816202,0.1392978198910714,7619.460631608963,0.013062436
1156,0.9885573321953416,-4.0339394,57800000,578000,6.95,0.0021859866,0.0077862535,8000,0.09940371,0.17737204,0.13225487676303602,7626.192207574844,0.013703109
1157,0.9898560689762235,-4.030093,57850000,578500,9.88,0.0017563016,0.006534685,7955,0.09913709,0.18148202,0.3052803251266596,7632.975285768509,0.014390734
1158,0.9913327964022756,-4.0289135,57900000,579000,9.62,0.0015125952,0.005728781,8259,0.099238075,0.16637602,0.31120932580466615,7639.83682513237,0.012163055
1159,0.9920721650123596,-4.0301204,57950000,579500,6.87,0.001279227,0.005250515,8336,0.099360555,0.15192004,0.0898091341269901,7646.450736045837,0.01134695
1160,0.9890747303143144,-4.050349,58000000,580000,8.57,0.00069853244,0.0074179326,8175,0.09930268,0.19028798,0.26850293144874743,7652.946786642075,0.014931731
1161,0.98880859836936,-4.0588803,58050000,580500,9.51,0.00092920364,0.0071637807,8309,0.09931764,0.15221001,0.33464682474004803,7659.435985803604,0.011915598
1162,0.9905713340267539,-4.0490894,58100000,581000,7.67,0.0014323929,0.006206877,8256,0.09927503,0.18342799,0.17421006137883524,7665.9875292778015,0.013597314
1163,0.9907192131504416,-4.0548983,58150000,581500,7.97,0.002061467,0.0061238594,8355,0.09927839,0.16825397,0.17016079875087597,7672.521339416504,0.012859156
1164,0.9897991819307208,-4.060526,58200000,582000,8.18,0.0015817526,0.0066658203,8126,0.09921362,0.16488798,0.2801146944251377,7679.042142391205,0.012226589
1165,0.9898346187546849,-4.053469,58250000,582500,7.69,0.002572788,0.006895629,8220,0.09934376,0.20060793,0.16698765018925768,7685.6529014110565,0.015844582
1166,0.9902484444901347,-4.050661,58300000,583000,7.89,0.0022547545,0.0065306555,8435,0.09926156,0.20024002,0.1649987840562244,7692.161077260971,0.0151819615
1167,0.9917411506175995,-4.0485144,58350000,583500,8.12,0.0017505181,0.005452523,7783,0.09931093,0.17212604,0.1473142350357375,7698.403378009796,0.01268154
1168,0.9922448452562094,-4.054726,58400000,584000,9.01,0.00078375527,0.0051363683,8379,0.09929932,0.17796004,0.23346972783328965,7705.343204259872,0.01337343
1169,0.990186988376081,-4.072701,58450000,584500,8.2,0.0024927175,0.006476839,8197,0.09926924,0.18054003,0.18944644097005947,7711.857095241547,0.013635388
1170,0.9906738307327032,-4.087976,58500000,585000,8.2,0.002499538,0.006161931,7978,0.09918264,0.21166801,0.0983232356767985,7718.539625644684,0.017430257
1171,0.9898597709834576,-4.109744,58550000,585500,9.84,0.0024917226,0.006845581,8141,0.09930664,0.21527393,0.32733699401724153,7725.365687847137,0.016573576
1172,0.9909440502524376,-4.130671,58600000,586000,7.49,0.0019456442,0.0059405733,8037,0.099314265,0.19273804,0.05036780670925509,7731.983692407608,0.014852215
1173,0.9891126323491335,-4.1379375,58650000,586500,9.42,0.0010246447,0.0072642816,8134,0.099262565,0.15004402,0.32284151162544733,7738.780937194824,0.0111888265
1174,0.99007866717875,-4.1306944,58700000,587000,7.62,0.0015732029,0.006526328,8175,0.09923299,0.18997002,0.1386406809327309,7745.351718187332,0.013957246
1175,0.9899269472807646,-4.128911,58750000,587500,8.85,0.001376507,0.00669843,8202,0.09912166,0.158028,0.25510471143963515,7752.071305036545,0.011917938
1176,0.9899597428739071,-4.1233263,58800000,588000,8.68,0.0016265525,0.006827018,8140,0.09925425,0.18390402,0.2693021794114611,7758.68505358696,0.013580214
1177,0.9916422348469496,-4.11039,58850000,588500,8.42,0.0018904897,0.0053409976,8277,0.09920673,0.19214801,0.1500429428651114,7765.38995051384,0.014064038
1178,0.9891076721251011,-4.1043925,58900000,589000,7.74,0.0011146377,0.0074796067,8285,0.09934307,0.192822,0.21636224238551222,7772.098315477371,0.014155161
1179,0.9913055030629039,-4.107918,58950000,589500,7.71,0.002148633,0.005773486,8210,0.09913381,0.19969203,0.1250929278950207,7778.720747709274,0.014883298
1180,0.9885387159883976,-4.1119885,59000000,590000,7.89,0.0015394469,0.0077185985,8267,0.09919705,0.20048398,0.2639983879902866,7785.181733131409,0.015451279
1181,0.9909582668915391,-4.1170955,59050000,590500,10.16,0.0014614217,0.006163585,8009,0.09931479,0.178722,0.4525162438052939,7791.691526889801,0.013284539
1182,0.9886478474363685,-4.1236296,59100000,591000,10.8,0.0020727313,0.0074220067,8226,0.09929919,0.20322996,0.6367097618294065,7798.530856370926,0.015702978
1183,0.9895708933472633,-4.1385264,59150000,591500,10.74,0.0013659778,0.0072392332,7939,0.09914797,0.21098402,0.6012719407168333,7805.185654878616,0.016424615
1184,0.9910878827795386,-4.149642,59200000,592000,7.2,0.0017656509,0.0059333737,8077,0.09921499,0.19803593,0.22650981872546253,7812.049436807632,0.014616949
1185,0.990693649277091,-4.1507382,59250000,592500,7.72,0.0013050927,0.0061828108,8079,0.09916482,0.18015398,0.29359351340768625,7818.857512712479,0.013373447
1186,0.9906471576541662,-4.134001,59300000,593000,7.92,0.0014764944,0.006212691,8010,0.09921097,0.18977001,0.3143100186166703,7825.362212181091,0.014136547
1187,0.9892446510493755,-4.130121,59350000,593500,9.59,0.0022817673,0.0070676845,8110,0.09917865,0.21367797,0.4290941405616468,7832.1506271362305,0.016482657
1188,0.9913435019552708,-4.141624,59400000,594000,7.99,0.0016472584,0.0057096737,8155,0.09925099,0.19768792,0.23278112085274189,7838.87610578537,0.015399375
1189,0.9907324220985174,-4.1598315,59450000,594500,9.51,0.0014952085,0.0062997434,7989,0.09931418,0.18059996,0.44690765966515755,7845.479350090027,0.013567941
1190,0.9910851316526532,-4.1725316,59500000,595000,8.02,0.0017937857,0.0056508356,8193,0.09922185,0.17302398,0.2577373204709147,7852.27467250824,0.0128489975
1191,0.9910046430304646,-4.1932197,59550000,595500,8.4,0.00217921,0.006301903,8153,0.099276386,0.19924799,0.31867841791128737,7858.902134180069,0.015226003
1192,0.98815325088799,-4.20363,59600000,596000,8.22,0.0017429009,0.00785893,7811,0.099198446,0.173666,0.305186693884898,7865.593816280365,0.01306762
1193,0.9866354865953326,-4.2029,59650000,596500,9.23,0.0012810157,0.008551311,8196,0.09930082,0.20059997,0.3467042827483965,7872.504987001419,0.015252
1194,0.9889427116140723,-4.2050753,59700000,597000,8.62,0.0012006783,0.0074184034,8182,0.09930905,0.19282001,0.27553410856227856,7879.201154232025,0.014614957
1195,0.9879657365381718,-4.2070317,59750000,597500,7.43,0.0020454568,0.0081272395,8584,0.099339284,0.199736,0.21724914505437481,7885.81370806694,0.014593696
1196,0.9903714461252093,-4.210408,59800000,598000,6.86,0.002045276,0.0063969786,8073,0.09937035,0.202936,0.13032699170609705,7892.190395832062,0.015251832
1197,0.9905771920457482,-4.2095027,59850000,598500,7.89,0.0013443643,0.0064409287,8499,0.099380285,0.19835797,0.2244456849989365,7898.87283873558,0.015902352
1198,0.990323225967586,-4.199075,59900000,599000,7.34,0.0019428909,0.006251328,8224,0.099386595,0.20437795,0.18115859166835435,7905.396454572678,0.01548594
1199,0.9909425480291247,-4.2071676,59950000,599500,8.09,0.001968246,0.0060241986,8307,0.09938575,0.17867002,0.21442854376975448,7911.955418109894,0.013711976
1200,0.9918894981965423,-4.2208977,60000000,600000,6.7,0.002278656,0.0053226156,8062,0.09934254,0.19635403,0.0477093482852797,7918.590720415115,0.01515759
1201,0.9900665925815701,-4.224106,60050000,600500,7.32,0.0024576078,0.007696539,8118,0.0991948,0.21072197,0.1560429647329147,7925.267135620117,0.015664693
1202,0.9867308270186186,-4.224549,60100000,601000,8.35,0.0015714555,0.008316729,8487,0.0993746,0.184524,0.2606322140208795,7931.813149929047,0.01401383
1203,0.989342825487256,-4.224127,60150000,601500,8.17,0.002205516,0.0069055962,8077,0.09928543,0.20458597,0.17553177710593446,7938.2907383441925,0.017963713
1204,0.9893939215689898,-4.2234116,60200000,602000,8.08,0.0024896744,0.0072508263,8071,0.099365294,0.20086603,0.22339751930121565,7944.881469249725,0.015080415
1205,0.990663830190897,-4.2194686,60250000,602500,6.78,0.0017825216,0.0062885405,8060,0.09931921,0.18617201,0.09220759181072935,7951.6966416835785,0.013932125
1206,0.9909189604222775,-4.219643,60300000,603000,7.71,0.0015326706,0.0059503233,8066,0.099098034,0.188778,0.08759689783415524,7958.385200500488,0.014985212
1207,0.9891951866447926,-4.2304225,60350000,603500,7.97,0.0022258807,0.0070723984,8404,0.099178165,0.20838201,0.14487927193898942,7965.149174213409,0.015748624
1208,0.9903001431375742,-4.2500715,60400000,604000,7.5,0.002938942,0.0064369426,8053,0.09925164,0.19317198,0.09691257858648897,7971.681230306625,0.0145404
1209,0.9886817112565041,-4.2723117,60450000,604500,8.86,0.0029845596,0.007092746,8545,0.099380635,0.19545805,0.31167066809837707,7978.400394678116,0.015584499
1210,0.9910205285996199,-4.2777424,60500000,605000,7.61,0.0029033185,0.0059587588,8109,0.09934594,0.20280595,0.09654154635296436,7984.694051504135,0.015516716
1211,0.9882754785940051,-4.2664137,60550000,605500,9.17,0.0016476505,0.007938137,8352,0.099069774,0.19893599,0.2328538939342252,7991.318874835968,0.016065765
1212,0.9910591738298535,-4.2512197,60600000,606000,8.49,0.0017744043,0.0058671427,8261,0.099163085,0.17848797,0.14193603455001721,7997.8292117118835,0.013838367
1213,0.9896278139203787,-4.2431316,60650000,606500,8.88,0.0017536946,0.006549742,8100,0.09924435,0.18571399,0.20656368115422083,8004.188716173172,0.014536903
1214,0.9910561637952924,-4.2519693,60700000,607000,6.92,0.0019968583,0.0060530007,8336,0.09925623,0.19729601,0.004467034001427237,8010.811445236206,0.015222156
1215,0.990469858981669,-4.267254,60750000,607500,9.92,0.0016550852,0.0065197363,8214,0.09911283,0.20188197,0.27450382848881416,8017.406015872955,0.016063586
1216,0.9901891220360994,-4.2696652,60800000,608000,10.07,0.002060512,0.0065112044,8156,0.099273026,0.20210007,0.3261213478515856,8024.027304172516,0.015409883
1217,0.98943080753088,-4.2692213,60850000,608500,8.28,0.0024571838,0.0070952196,8177,0.09916175,0.20908599,0.08984944953379453,8030.62429189682,0.016017802
1218,0.9892993019893765,-4.269852,60900000,609000,8.75,0.0011478976,0.007071285,8645,0.099172145,0.16881403,0.18143313250096982,8037.225223302841,0.012834765
