n_updates,explained_variance,policy_entropy,total_timesteps,serial_timesteps,ep_len_mean,policy_loss,value_loss,fps,true_reward,clipfrac,ep_reward_mean,time_elapsed,approxkl
2234,0.9905821802094579,-6.7847047,111700000,1117000,10.35,0.002289309,0.0064361505,7982,0.09914414,0.24487399,0.5858137608342804,14730.837485790253,0.020626819
2235,0.9923949516378343,-6.796615,111750000,1117500,9.91,0.0040738555,0.0052985894,8323,0.099130146,0.26506197,0.4774013455762179,14737.7019135952,0.022995895
2236,0.9902888415381312,-6.802181,111800000,1118000,9.67,0.003749943,0.0061935396,8113,0.09903671,0.24071594,0.4867768330569379,14744.10813498497,0.020927364
2237,0.9930192939937115,-6.803131,111850000,1118500,9.82,0.004780448,0.004663275,8177,0.0993217,0.260296,0.5309606159746181,14750.891743421555,0.021741347
2238,0.9921197406947613,-6.799846,111900000,1119000,10.92,0.002649801,0.005295711,8239,0.09909335,0.25395,0.5717161783098709,14757.70128750801,0.020483237
2239,0.9929471886716783,-6.798787,111950000,1119500,7.79,0.0028548546,0.004927995,8352,0.099046126,0.22013195,0.2263025156443473,14764.348886013031,0.017659726
2240,0.9926341809332371,-6.804779,112000000,1120000,8.36,0.0028545242,0.0050815134,7821,0.09910247,0.23552798,0.30728190576133785,14770.820353984833,0.01888076
2241,0.9923059795983136,-6.809988,112050000,1120500,8.13,0.002345916,0.005252472,8128,0.09914256,0.21536995,0.2977800628033583,14777.754996061325,0.016769305
2242,0.9909772779792547,-6.8266597,112100000,1121000,9.45,0.0021551063,0.006273944,8013,0.098982245,0.20353399,0.4003411981021054,14784.128385066986,0.016139016
2243,0.9924042192287743,-6.8373632,112150000,1121500,7.68,0.0021471572,0.0050570928,8167,0.099083476,0.21270001,0.2297198053592001,14790.962094783783,0.01711627
2244,0.991253899410367,-6.8399587,112200000,1122000,9.13,0.0020421962,0.0056531,8056,0.09943789,0.21641195,0.40162203828193016,14797.615384817123,0.018810809
2245,0.9924360886216164,-6.828012,112250000,1122500,7.59,0.003348176,0.0050130654,8137,0.09920211,0.24091399,0.21437845911219483,14804.394879579544,0.020534012
2246,0.993556504137814,-6.8195233,112300000,1123000,7.95,0.0022717656,0.0041245213,8423,0.099202745,0.210448,0.218559145971376,14811.034670829773,0.016627708
2247,0.9902680683881044,-6.82152,112350000,1123500,8.63,0.0037404806,0.006238952,8078,0.09916397,0.261448,0.31833870859496527,14817.5213265419,0.022796035
