serial_timesteps,approxkl,total_timesteps,time_elapsed,ep_len_mean,n_updates,ep_reward_mean,value_loss,explained_variance,policy_loss,fps,clipfrac,policy_entropy,true_reward
44000,0.0058688726,4400000,289.89057207107544,494.93,88,33.54063990578041,0.36060038,0.9399835281074047,-0.0049524824,21097,0.06635999,4.1720295,0.06327797
44500,0.0056359707,4450000,292.7287349700928,493.89,89,35.216538759414576,0.27854353,0.9508719742298126,-0.0053689284,17833,0.06251,4.1174674,0.065577425
45000,0.005736622,4500000,296.0704815387726,496.17,90,35.993180561591814,0.26966408,0.9415345601737499,-0.0050132126,20000,0.063052,4.0628386,0.06877031
45500,0.0053618546,4550000,299.0999574661255,493.86,91,36.40057701705078,0.2906962,0.9456304907798767,-0.0053876494,19103,0.05951599,4.0235333,0.06778461
46000,0.005320617,4600000,302.20837783813477,496.62,92,37.11272367980942,0.3207727,0.9188340157270432,-0.0048004384,19792,0.057865992,3.9815283,0.07146328
46500,0.0061358814,4650000,305.09151124954224,497.46,93,35.322033300776326,0.28698313,0.9412922076880932,-0.0048173927,19581,0.072168015,3.9308083,0.06882053
47000,0.006136049,4700000,308.0637183189392,494.04,94,36.869049289052924,0.2501935,0.9536389000713825,-0.004903363,20248,0.07155399,3.8840604,0.068878576
47500,0.0047827046,4750000,310.98761200904846,497.1,95,37.01482088988826,0.23616232,0.9449533559381962,-0.004636594,18798,0.049347993,3.8418875,0.07175251
48000,0.0055617485,4800000,314.0710663795471,492.49,96,37.027485904500956,0.2509979,0.9566098041832447,-0.005238675,18244,0.063492,3.8102362,0.0675509
48500,0.004344051,4850000,317.15595269203186,496.91,97,37.252284127918614,0.19279294,0.9541039392352104,-0.0052222367,16501,0.04151,3.780388,0.072080456
49000,0.006679901,4900000,320.7127323150635,497.81,98,36.817513869144186,0.24824545,0.9312440305948257,-0.004662745,16661,0.082257986,3.737186,0.07184595
49500,0.007397956,4950000,324.2539293766022,497.9,99,36.6543225658593,0.23527622,0.9384625814855099,-0.004550545,16967,0.09647199,3.711307,0.07152372
50000,0.0059099663,5000000,327.7142143249512,498.81,100,37.27427427164068,0.17456956,0.9131114184856415,-0.0041329204,17121,0.069542006,3.6821105,0.07365757
50500,0.0063592154,5050000,331.17416286468506,497.77,101,39.0375071135934,0.13401154,0.9366553276777267,-0.0058402508,17223,0.07402399,3.6294403,0.076090924
51000,0.0056644953,5100000,334.5191617012024,495.48,102,36.20793869745975,0.14734752,0.9695790242403746,-0.004491089,16837,0.062943965,3.582946,0.06849995
51500,0.0055092108,5150000,337.998277425766,496.28,103,35.32248175070575,0.21070121,0.9533044807612896,-0.0046771374,15574,0.060477994,3.5350988,0.06731935
52000,0.006024933,5200000,341.7561078071594,498.43,104,37.85059438610424,0.10114155,0.9630533158779144,-0.0057097073,17100,0.06958,3.489592,0.07433656
52500,0.0065358714,5250000,345.20341539382935,497.61,105,37.40254059916162,0.19880833,0.9372187107801437,-0.0043996056,20695,0.08078799,3.4460075,0.07280942
53000,0.0066253636,5300000,348.0908212661743,497.37,106,38.00486860722092,0.14056097,0.9424571730196476,-0.005131287,16805,0.081646,3.4068353,0.073718265
53500,0.007321118,5350000,351.4840371608734,498.84,107,38.50438685734118,0.15696521,0.9271724447607994,-0.0036329487,18478,0.092472,3.3731294,0.07613943
