n_updates,true_reward,serial_timesteps,explained_variance,time_elapsed,ep_reward_mean,fps,policy_entropy,approxkl,value_loss,policy_loss,ep_len_mean,total_timesteps,clipfrac
943,0.12166468,471500,0.8673918098211288,6410.109304904938,2.0722322022775916,8031,-6.562543,0.026609883,2.7514572,-0.0013590956,52.86,47150000,0.30582798
944,0.11525118,472000,0.8606794476509094,6416.879975557327,1.474765527493728,8094,-6.5613704,0.027058568,2.9770174,8.9763984e-05,50.52,47200000,0.31077403
945,0.11689478,472500,0.8809326589107513,6423.668154716492,1.8048012282458512,7496,-6.5661716,0.027036363,2.6660426,-0.00083072874,46.25,47250000,0.30791
946,0.123882815,473000,0.8733818680047989,6430.645889043808,2.2149099958468286,8121,-6.564948,0.02769441,2.7183297,0.00060069916,45.86,47300000,0.318406
947,0.11758214,473500,0.8783378750085831,6437.319233894348,2.4998928923362835,7714,-6.571356,0.027298743,2.693346,3.608739e-05,53.81,47350000,0.309488
948,0.12775078,474000,0.8783964738249779,6444.4133179187775,1.9213876836307464,7920,-6.5748196,0.027003016,2.4776912,0.00044171477,47.0,47400000,0.31089395
949,0.120788015,474500,0.8784888237714767,6451.186289548874,2.550243574978813,8335,-6.57072,0.028498767,2.554639,0.0016345765,51.55,47450000,0.31952608
950,0.120478675,475000,0.8611326366662979,6457.473362207413,2.652480259103977,8336,-6.575616,0.02961478,2.9471402,0.00023275409,46.49,47500000,0.32782403
951,0.12132375,475500,0.8637957870960236,6464.037814378738,1.8590897415161818,7636,-6.573403,0.030295838,2.9609563,0.0020993236,48.22,47550000,0.33109006
952,0.12268305,476000,0.8788767755031586,6471.159431219101,1.3542181251397052,7879,-6.571521,0.027618658,2.6490355,0.00049300585,45.16,47600000,0.31345806
953,0.10993168,476500,0.8604571223258972,6477.913689136505,1.8940386594513257,7842,-6.573658,0.027242688,2.9753277,-0.00017697357,46.16,47650000,0.31087798
954,0.12211963,477000,0.8807157129049301,6484.8746547698975,1.4015241963960579,7964,-6.5742073,0.0282318,2.653161,-0.00049584726,42.56,47700000,0.31803602
955,0.12678686,477500,0.8731397986412048,6491.68470287323,2.3174050448363412,8013,-6.5732813,0.028342986,2.8856373,0.0014679005,47.23,47750000,0.31922603
956,0.120484255,478000,0.8820689842104912,6498.466530323029,2.4350425090671344,7945,-6.572675,0.026847633,2.6266012,-0.0005029315,53.01,47800000,0.30711797
957,0.11991783,478500,0.8854996487498283,6505.312551498413,2.506846312538255,7688,-6.5806966,0.027452322,2.556544,-0.000437641,52.4,47850000,0.31442803
958,0.12797597,479000,0.8592662364244461,6512.374041080475,2.0415113904554163,7966,-6.575126,0.02760115,2.9864016,0.00024859398,52.29,47900000,0.31108597
959,0.11378131,479500,0.9066245257854462,6518.979757070541,2.387767720536067,8025,-6.578147,0.026750216,1.9799381,-0.00027969948,51.08,47950000,0.3091
960,0.12558211,480000,0.8751476630568504,6525.629768848419,2.0825183203407143,7891,-6.579173,0.028637923,2.6808677,-5.281314e-05,44.3,48000000,0.32003003
961,0.12645073,480500,0.8789036422967911,6532.5055539608,2.0954368909885672,7602,-6.578179,0.029122388,2.574447,0.0016078099,49.76,48050000,0.32459396
962,0.12093713,481000,0.8630130738019943,6539.503307104111,1.6582767842097383,8060,-6.5854206,0.028596792,3.0654066,0.00097264716,43.74,48100000,0.31875995
963,0.1272211,481500,0.8725138604640961,6546.229140281677,2.3033479247462676,8015,-6.589562,0.027817717,2.8220892,0.00054952,50.26,48150000,0.316758
964,0.12941234,482000,0.8450846076011658,6552.948043107986,1.9219648524484365,7660,-6.586334,0.028681412,3.4100072,0.0014007846,45.58,48200000,0.321296
965,0.11052899,482500,0.8697565644979477,6560.003545284271,2.0136492022335006,7921,-6.579766,0.029420586,2.8889735,0.00032954835,50.12,48250000,0.32444802
966,0.113191046,483000,0.8810205087065697,6566.848675727844,2.2711601855283514,7939,-6.57494,0.026279831,2.5724478,-0.0008878791,50.92,48300000,0.3012001
967,0.11387335,483500,0.871504083275795,6573.6253271102905,2.4077314820315223,7982,-6.568587,0.027066564,2.7237923,-0.00049658166,50.14,48350000,0.31022006
968,0.12170357,484000,0.8671381771564484,6580.429604053497,2.5686018856491137,7949,-6.56901,0.027125642,2.9631708,0.00025269858,50.69,48400000,0.30843806
969,0.1185469,484500,0.8787649944424629,6587.145731925964,1.9347738892356574,7917,-6.5758796,0.026371956,2.5108771,-0.0004779142,43.6,48450000,0.30671397
970,0.11369257,485000,0.8897926658391953,6593.781250953674,2.3982123045010666,7898,-6.592556,0.025217002,2.1934147,0.00019697165,46.79,48500000,0.29814
971,0.13233466,485500,0.851940393447876,6600.724833250046,1.843143226915654,8108,-6.5992417,0.02662297,3.366931,-0.0007430227,50.85,48550000,0.30469406
972,0.11475509,486000,0.8541721999645233,6607.34948182106,2.373643512575727,7996,-6.6065454,0.02691433,3.2761667,-0.00039540615,47.62,48600000,0.30446008
973,0.11627338,486500,0.8559715449810028,6614.189655542374,2.02746798988228,8069,-6.616442,0.026215415,3.1111643,0.00042831662,46.78,48650000,0.30319
974,0.1251534,487000,0.8764210790395737,6620.774666786194,1.8774304362252223,8212,-6.6174955,0.02795091,2.602039,0.0017452281,44.67,48700000,0.31609
975,0.11612721,487500,0.8773256093263626,6627.379057645798,2.6388998300826643,7945,-6.619913,0.02740103,2.7380705,-0.00017170489,46.4,48750000,0.31272
976,0.11548868,488000,0.8560580462217331,6634.08304309845,2.0291469470693846,7839,-6.6185317,0.028547553,3.160388,0.00054242474,47.56,48800000,0.323256
977,0.12835574,488500,0.8730578869581223,6641.086461305618,1.918483846370218,8107,-6.620134,0.028959058,2.7225082,0.003333642,46.93,48850000,0.32176793
978,0.12183862,489000,0.8672307282686234,6647.510070562363,2.326331643100275,7539,-6.618563,0.027037917,2.855784,0.0006288053,49.15,48900000,0.31170002
979,0.109485604,489500,0.8852144777774811,6654.691693782806,1.5823319497294142,7878,-6.6240306,0.025992349,2.4068289,-0.0009858427,46.71,48950000,0.30140403
980,0.13365676,490000,0.8513312339782715,6661.530839920044,2.2872571121552028,7988,-6.6323876,0.028122885,3.2746701,0.00026119902,49.85,49000000,0.31843004
981,0.1274801,490500,0.8892489671707153,6668.454787731171,2.764560960219969,8030,-6.6361027,0.02640651,2.3723886,-8.869526e-05,51.02,49050000,0.30496
982,0.1229156,491000,0.864999458193779,6675.045250892639,2.0238228408376018,8100,-6.644322,0.026914693,2.9000607,-0.00024677542,51.57,49100000,0.30527794
983,0.11515997,491500,0.8942085057497025,6681.548773288727,2.282316751154431,7919,-6.647491,0.027450142,2.2858846,0.0012558426,48.07,49150000,0.316594
984,0.12542577,492000,0.866505041718483,6688.358592271805,2.177369432271553,7946,-6.6392403,0.027762288,2.9654205,0.00046447702,50.04,49200000,0.31558
985,0.11188257,492500,0.8767716512084007,6695.18337059021,2.1723987028360714,8049,-6.6323605,0.027374888,2.702491,0.00022948041,47.75,49250000,0.30923194
986,0.11909228,493000,0.8767882511019707,6701.722199201584,1.73737143006314,8289,-6.630214,0.026609644,2.709162,2.8618844e-05,52.79,49300000,0.30485198
987,0.12926757,493500,0.8840132802724838,6708.363830804825,2.267548200285528,8594,-6.6326337,0.029032955,2.4601486,-0.00029800952,48.82,49350000,0.32292193
988,0.12975453,494000,0.8749234974384308,6714.7299263477325,1.5325825247755347,7877,-6.639712,0.02553989,2.778821,-0.0015985242,44.19,49400000,0.295214
989,0.124092214,494500,0.8423969894647598,6721.761288166046,2.527702158614411,7816,-6.64122,0.027748516,3.390306,-0.0007211379,50.96,49450000,0.31037793
990,0.11947655,495000,0.887334018945694,6728.638035297394,2.129409908101079,7883,-6.6359496,0.028095262,2.4601243,-0.00015090681,47.96,49500000,0.31680796
991,0.111499906,495500,0.8572280555963516,6735.543258428574,1.8310395714369223,7692,-6.631357,0.028116632,3.0076334,0.0014282833,51.52,49550000,0.31238204
992,0.10475279,496000,0.8830251842737198,6742.629798412323,2.381987611154618,7844,-6.6305366,0.027528202,2.5311391,0.00066876115,55.2,49600000,0.30966198
993,0.117753685,496500,0.869563490152359,6749.48935675621,2.3292035304666934,7928,-6.621573,0.027648201,2.950691,0.0012414916,48.36,49650000,0.309946
