fps,time_elapsed,policy_loss,true_reward,total_timesteps,approxkl,explained_variance,value_loss,serial_timesteps,policy_entropy,n_updates,ep_reward_mean,ep_len_mean,clipfrac
8199,1021.3141467571259,-0.008436604,0.05816691,7600000,0.0052165347,0.9833450634032488,0.09779728,76000,2.4005163,152,11.44443605726854,153.18,0.059412003
8014,1027.79922580719,-0.008224995,0.057312198,7650000,0.0059008584,0.9814098253846169,0.102587335,76500,2.3904607,153,10.477560218229847,155.99,0.069005996
7818,1034.6264600753784,-0.008384115,0.054018676,7700000,0.006033682,0.9817306417971849,0.09798254,77000,2.3750868,154,9.358632074916713,149.06,0.070620015
7897,1041.5847308635712,-0.008278575,0.06019284,7750000,0.0057221483,0.9849055223166943,0.0884125,77500,2.3603709,155,10.039593819655439,143.56,0.06682001
8128,1048.1310079097748,-0.008361575,0.055528983,7800000,0.005812339,0.9787411205470562,0.12839621,78000,2.3490336,156,9.841997701369547,159.82,0.067686
8146,1054.5947296619415,-0.007706305,0.05803496,7850000,0.0061524315,0.98253059014678,0.09450738,78500,2.3368745,157,10.034960197242453,155.34,0.07313602
7693,1061.3419003486633,-0.008630352,0.058316424,7900000,0.0059970184,0.9828051850199699,0.09983519,79000,2.3138137,158,10.087324517217748,148.66,0.06990602
8297,1068.239356994629,-0.008763857,0.065398514,7950000,0.0056541157,0.9821897204965353,0.11020678,79500,2.3095775,159,12.456627940749968,165.65,0.06555
7811,1074.7901854515076,-0.008467536,0.064380564,8000000,0.0060115284,0.9841218777000904,0.090971306,80000,2.291805,160,8.498161036867968,119.29,0.070334
7991,1081.5898745059967,-0.008711738,0.03824725,8050000,0.0072220503,0.9854337628930807,0.068554655,80500,2.2677467,161,12.202920029117504,355.73,0.09073
8015,1088.4672396183014,-0.008133294,0.061667945,8100000,0.0056246924,0.9796770382672548,0.114913315,81000,2.2604835,162,10.944646613338373,143.1,0.065448
8145,1095.2357153892517,-0.0093644345,0.05775695,8150000,0.005850323,0.9820967148989439,0.10084358,81500,2.2522566,163,10.076281983245208,145.06,0.067558005
7694,1101.8133988380432,-0.008334993,0.0623367,8200000,0.0062148483,0.9870293522253633,0.07140605,82000,2.2286057,164,10.442590732096141,137.33,0.073008
8062,1108.9063611030579,-0.008607902,0.057599086,8250000,0.005720439,0.9790071751922369,0.1286245,82500,2.1953683,165,10.915727839666797,147.38,0.06443999
7813,1115.6632375717163,-0.0075526224,0.05927175,8300000,0.0056321677,0.9841502290219069,0.095762864,83000,2.1827214,166,9.93105156084399,128.64,0.06604002
7964,1122.5653064250946,-0.008550591,0.059225824,8350000,0.0054839267,0.9838860929012299,0.09399452,83500,2.179995,167,10.329160805584252,148.1,0.06271999
7947,1129.510221004486,-0.008079672,0.06424212,8400000,0.006217615,0.9834682587534189,0.1016115,84000,2.1629937,168,9.363529356363433,123.25,0.07407399
7701,1136.2890040874481,-0.0074858433,0.06083883,8450000,0.005981316,0.977081798017025,0.13329495,84500,2.1470819,169,10.296489751249318,145.13,0.07176999
7758,1143.3090131282806,-0.008400199,0.06294123,8500000,0.005942124,0.9855266949161887,0.08535858,85000,2.1403904,170,10.105814119654788,134.0,0.070166
7994,1150.3694519996643,-0.00794946,0.062138207,8550000,0.0058565866,0.987110716290772,0.08013651,85500,2.1291451,171,10.501439738271147,141.25,0.06856
8075,1157.17724442482,-0.0072657554,0.062942594,8600000,0.005954199,0.9864942692220211,0.07581764,86000,2.1154711,172,8.846918774373334,130.06,0.07038
7827,1163.8588049411774,-0.008155582,0.061368205,8650000,0.006019407,0.9856782052665949,0.087026834,86500,2.100498,173,9.654984960953733,134.12,0.071183994
7865,1170.860404253006,-0.009104055,0.06438591,8700000,0.0063772667,0.9862444987520576,0.08197203,87000,2.088357,174,9.695177896123932,135.5,0.07626
