fps,serial_timesteps,explained_variance,time_elapsed,policy_loss,ep_len_mean,total_timesteps,n_updates,clipfrac,approxkl,true_reward,policy_entropy,ep_reward_mean,value_loss
8296,216500,0.9684258550405502,2892.0560359954834,-0.00575955,58.48,21650000,433,0.18717998,0.013988749,0.13774823,-1.9133223,4.238694137310485,0.22153528
8026,217000,0.9572917632758617,2898.6453471183777,-0.0036798462,58.11,21700000,434,0.17888397,0.013333925,0.1348384,-1.9294074,4.705267507721437,0.2689296
7783,217500,0.9647833853960037,2905.448058128357,-0.0050354246,60.43,21750000,435,0.17693399,0.013128624,0.13379571,-1.936167,4.65627468937415,0.22585727
7953,218000,0.9661918357014656,2912.288756608963,-0.006124137,52.17,21800000,436,0.18693998,0.013961685,0.13858847,-1.9478652,4.678529248853665,0.23901701
7669,218500,0.9571328051388264,2919.078783273697,-0.0045813955,64.04,21850000,437,0.19169602,0.014328442,0.13597251,-1.9545026,5.722934229430975,0.29851618
7952,219000,0.9553980082273483,2926.1306014060974,-0.005211713,62.15,21900000,438,0.190532,0.014479947,0.13988963,-1.9674487,5.4029424593018485,0.30391225
7810,219500,0.9444549567997456,2932.883986711502,-0.004642231,58.01,21950000,439,0.19159397,0.014139881,0.13655946,-1.9745381,4.990700790447009,0.39617425
8018,220000,0.9576223082840443,2939.7404448986053,-0.005006565,54.04,22000000,440,0.18485802,0.013582953,0.14370357,-1.981258,3.956498621739738,0.2749851
7734,220500,0.9271214306354523,2946.4573299884796,-0.0027140165,62.63,22050000,441,0.19663002,0.014868603,0.13403243,-1.9871618,4.663168279998936,0.531286
7894,221000,0.9651724025607109,2953.476003885269,-0.0051541524,57.27,22100000,442,0.190792,0.014182265,0.13728005,-1.9897752,4.89040791404268,0.24457891
7970,221500,0.9463306926190853,2960.1623220443726,-0.004411683,60.87,22150000,443,0.20387797,0.015425476,0.13439073,-2.012973,4.8267059641378,0.38548607
8228,222000,0.9200219660997391,2966.9902329444885,-0.0033653951,57.53,22200000,444,0.19854598,0.015238686,0.1390983,-2.0345435,4.325104930593152,0.6095058
8050,222500,0.9694432262331247,2973.565582513809,-0.006604864,59.79,22250000,445,0.188722,0.014147695,0.1342688,-2.0461373,4.3948948310942795,0.22268818
8174,223000,0.9583614654839039,2980.056575536728,-0.004855386,61.0,22300000,446,0.18793999,0.01416456,0.13734846,-2.047061,5.875451729409397,0.29843962
7789,223500,0.9225956276059151,2986.58975481987,-0.003094534,59.71,22350000,447,0.20556,0.015581102,0.13683102,-2.0479128,4.783959769396315,0.5582745
7905,224000,0.9428272247314453,2993.497497320175,-0.0044364105,67.28,22400000,448,0.185884,0.013788494,0.13782088,-2.0561907,4.116571680193738,0.41301835
8031,224500,0.9232469499111176,3000.4436004161835,-0.0027783988,54.32,22450000,449,0.20548403,0.01579208,0.1400475,-2.0744305,4.278100345534694,0.5232291
7904,225000,0.9385676681995392,3007.278796195984,-0.0026384995,61.92,22500000,450,0.20580599,0.015525717,0.1358963,-2.0922816,5.28965315038513,0.4213679
7914,225500,0.9301760941743851,3014.1698846817017,-0.0040508965,58.47,22550000,451,0.18760604,0.01403877,0.14146167,-2.1035974,4.955091187945654,0.5082681
8113,226000,0.9389418922364712,3020.980482339859,-0.0050688703,53.55,22600000,452,0.196604,0.0149516715,0.14034472,-2.1126363,4.207394490962324,0.42614758
8177,226500,0.9459337964653969,3027.5756483078003,-0.002685768,56.32,22650000,453,0.21423,0.016302332,0.14043307,-2.1218946,4.467194047482699,0.362931
7974,227000,0.9502707161009312,3034.0579640865326,-0.0038387498,59.57,22700000,454,0.195298,0.014580284,0.14093716,-2.1383278,4.929595862995047,0.3499671
8282,227500,0.9480766914784908,3040.8007922172546,-0.004854415,62.51,22750000,455,0.18685202,0.013935431,0.13305704,-2.1642227,5.325714928737143,0.37251475
8033,228000,0.9150149151682854,3047.345062971115,-0.0025832125,64.35,22800000,456,0.202544,0.015228188,0.14219369,-2.1833067,5.293230925006792,0.6618296
8112,228500,0.9605300165712833,3053.9739305973053,-0.0070443945,63.12,22850000,457,0.18657403,0.014064298,0.1347169,-2.1950555,4.652344796499819,0.2656072
8437,229000,0.9307209551334381,3060.6786127090454,-0.0035321964,57.17,22900000,458,0.19875205,0.014905921,0.13972276,-2.2015421,3.7511414579340636,0.50352144
7847,229500,0.9509947337210178,3067.1176726818085,-0.0034125445,70.25,22950000,459,0.214134,0.016182726,0.139589,-2.2142372,5.867200216649945,0.3480039
7993,230000,0.9630367830395699,3074.088363170624,-0.0049818046,60.95,23000000,460,0.197552,0.015061763,0.1348838,-2.2268608,4.474671703120257,0.25281832
8285,230500,0.9636376649141312,3080.8524692058563,-0.005132895,63.43,23050000,461,0.193894,0.014582409,0.13778612,-2.2313294,5.041392139603922,0.25987077
8088,231000,0.9664779603481293,3087.490636587143,-0.00374695,58.77,23100000,462,0.19550799,0.014851723,0.1324989,-2.2378423,5.265635859890317,0.24467617
7870,231500,0.9681295864284039,3094.2943391799927,-0.0054622903,60.84,23150000,463,0.19039398,0.014217748,0.13533403,-2.253445,4.777903418675851,0.21952659
7767,232000,0.962030790746212,3101.131633043289,-0.0054146065,56.62,23200000,464,0.18371794,0.013843878,0.13788868,-2.2740672,4.55963497710407,0.27874216
8238,232500,0.9422666765749454,3108.001884460449,-0.0036432862,60.73,23250000,465,0.209858,0.016032364,0.14062609,-2.282266,5.038655642732628,0.4164456
7990,233000,0.9605903401970863,3114.346435546875,-0.0050075673,50.66,23300000,466,0.19969597,0.014961499,0.13730636,-2.289258,3.916812851905852,0.2816777
7765,233500,0.9669583030045033,3121.182352542877,-0.0058686053,54.84,23350000,467,0.19993,0.015099859,0.13354474,-2.299746,4.233605073181534,0.21954837
8192,234000,0.9528259858489037,3128.0862567424774,-0.0035967655,57.33,23400000,468,0.20120804,0.015011028,0.14014852,-2.2947397,4.662609695367573,0.33583385
8038,234500,0.9307915195822716,3134.747386932373,-0.0018754044,52.95,23450000,469,0.21067196,0.015915945,0.13933028,-2.295246,4.1695692512963065,0.48714963
7972,235000,0.9666041545569897,3141.36070895195,-0.007200543,62.68,23500000,470,0.17789403,0.013277843,0.1354474,-2.3064759,5.433357881608463,0.23718767
8027,235500,0.9561747498810291,3148.1080706119537,-0.0042730374,60.94,23550000,471,0.204182,0.015267189,0.13343456,-2.3151286,4.528583660156437,0.2973821
7860,236000,0.9642075821757317,3154.7611689567566,-0.0044795596,58.39,23600000,472,0.19798604,0.014709949,0.13741046,-2.3224032,4.187765447985003,0.25254652
7701,236500,0.9595682621002197,3161.609712600708,-0.005383526,66.12,23650000,473,0.200046,0.014991538,0.12988748,-2.3371122,5.111839923309308,0.27435464
8018,237000,0.9563230276107788,3168.6804044246674,-0.005194285,64.41,23700000,474,0.20369402,0.015312995,0.13543688,-2.3487675,5.678045858318801,0.31140244
8132,237500,0.9700178597122431,3175.35453414917,-0.006440208,64.11,23750000,475,0.189468,0.0142592015,0.1314322,-2.3616228,4.519498842429748,0.2112379
7996,238000,0.954664159566164,3182.1123943328857,-0.004289465,65.33,23800000,476,0.20465007,0.015274552,0.13775279,-2.3730192,4.8659163962467575,0.30225232
8248,238500,0.9678809121251106,3188.8303632736206,-0.0052924417,66.29,23850000,477,0.19503403,0.014465588,0.13906214,-2.3828702,5.043454125221106,0.20918442
8164,239000,0.9641734808683395,3195.422958612442,-0.005486935,57.7,23900000,478,0.19975801,0.015087998,0.14018857,-2.3965523,4.993531877350688,0.24090794
7933,239500,0.9671476855874062,3202.1006712913513,-0.005582158,58.39,23950000,479,0.19098204,0.014302604,0.13351819,-2.4139848,3.8824231074456477,0.23372644
8509,240000,0.9624716304242611,3209.058792114258,-0.0064028325,59.34,24000000,480,0.19997604,0.015107984,0.13324572,-2.4234731,5.138637193000468,0.27445608
8199,240500,0.9685440324246883,3215.489938020706,-0.005260251,66.24,24050000,481,0.18993005,0.014085658,0.13832857,-2.4277618,5.016016820758232,0.21481982
8071,241000,0.9666693434119225,3222.1919960975647,-0.0059338147,59.82,24100000,482,0.18233196,0.013610329,0.1426049,-2.4224527,4.916014143394859,0.2431245
7915,241500,0.9549026638269424,3228.9376153945923,-0.0057512606,51.76,24150000,483,0.20111798,0.015041288,0.13784775,-2.4192564,3.7614368240127805,0.30654314
7836,242000,0.9539210274815559,3235.881070613861,-0.0029649746,60.77,24200000,484,0.21518198,0.016151793,0.14369631,-2.4256861,5.823047793115984,0.32351744
7717,242500,0.9451749846339226,3242.7520151138306,-0.005276869,54.36,24250000,485,0.19750999,0.014709942,0.13819766,-2.43202,4.624648273186031,0.36718196
7997,243000,0.9635496027767658,3249.8175010681152,-0.0043924535,63.97,24300000,486,0.20739403,0.015937142,0.13874678,-2.435371,4.517339774745124,0.23868175
8092,243500,0.9358587488532066,3256.624106645584,-0.0022623774,53.4,24350000,487,0.21198002,0.016256185,0.14088434,-2.4367015,4.187366944796377,0.45119858
7962,244000,0.9535231925547123,3263.2208592891693,-0.0030962317,56.04,24400000,488,0.19647199,0.01459226,0.13796242,-2.4450412,4.550456490218931,0.31335196
8155,244500,0.9577983878552914,3270.0380148887634,-0.004893804,53.53,24450000,489,0.187912,0.013898113,0.1411942,-2.4590783,4.36526584881547,0.2683723
8065,245000,0.9612953998148441,3276.745804309845,-0.0053997845,52.31,24500000,490,0.19603604,0.014675766,0.13946225,-2.467403,4.054617419350543,0.26443532
8105,245500,0.9598270207643509,3283.3794224262238,-0.005674518,61.68,24550000,491,0.18262796,0.013684229,0.13164209,-2.4701698,4.961325206193287,0.28039348
7979,246000,0.9287799298763275,3290.046959877014,-0.003337795,66.04,24600000,492,0.20323807,0.015692385,0.13538788,-2.4712272,5.713286414550094,0.55289507
7972,246500,0.9633836224675179,3296.9417996406555,-0.0050909393,50.48,24650000,493,0.19054002,0.014365247,0.14235094,-2.4849734,3.9122351687840276,0.26138905
8186,247000,0.9584454894065857,3303.7502307891846,-0.0039057818,57.14,24700000,494,0.20005399,0.014989764,0.14239,-2.5056016,4.878611511213385,0.28617045
7780,247500,0.9329710602760315,3310.4531223773956,-0.0035044746,52.36,24750000,495,0.19759402,0.01486286,0.14220275,-2.526199,3.5630502724626423,0.47375724
8114,248000,0.941130269318819,3317.3875617980957,-0.0025995267,58.36,24800000,496,0.22301394,0.01704156,0.13432677,-2.5334506,4.27559035023869,0.42856798
8041,248500,0.9593706354498863,3324.120235681534,-0.004931968,58.8,24850000,497,0.19833599,0.014906781,0.14087501,-2.529182,4.550548519781441,0.26760352
7730,249000,0.9595045335590839,3330.851810693741,-0.0047850693,56.52,24900000,498,0.21985199,0.016542189,0.13909565,-2.5324764,4.759070632351504,0.2714057
8010,249500,0.9546221569180489,3337.8712527751923,-0.0041319937,60.79,24950000,499,0.198538,0.015120736,0.1378229,-2.5376594,4.995920512660087,0.29128608
7935,250000,0.9319144934415817,3344.623610019684,-0.003527238,61.67,25000000,500,0.20651196,0.015554457,0.13961658,-2.5426104,4.549071064415475,0.4828083
7976,250500,0.9576126150786877,3351.394359588623,-0.0030893905,60.3,25050000,501,0.21593,0.016383905,0.1419555,-2.5536973,5.0763945668307136,0.2954004
7883,251000,0.9648951441049576,3358.2540163993835,-0.0054790936,62.4,25100000,502,0.19664599,0.014596086,0.13551491,-2.5696368,4.825048338046472,0.23469491
7782,251500,0.961409080773592,3365.0366790294647,-0.004740722,63.17,25150000,503,0.19364196,0.014656296,0.13282081,-2.577285,5.124889961908921,0.26376742
8074,252000,0.9368423447012901,3371.6794629096985,-0.0046655713,61.17,25200000,504,0.19794798,0.014788205,0.14526382,-2.5907474,5.047252553043218,0.4328311
7993,252500,0.9303971379995346,3378.476106405258,-0.0032891124,54.72,25250000,505,0.21429397,0.016303886,0.13914631,-2.6083617,3.981500841242414,0.47488537
7939,253000,0.9177973717451096,3385.265144586563,-0.002515263,59.03,25300000,506,0.20323801,0.01536776,0.14340127,-2.6197097,3.9914782855175144,0.6117899
8167,253500,0.9554292112588882,3392.037845134735,-0.004622377,52.58,25350000,507,0.20858599,0.015810274,0.13664855,-2.6299198,4.176877894746577,0.30441323
8203,254000,0.9606296233832836,3398.6405589580536,-0.0053264378,57.94,25400000,508,0.20175402,0.015235625,0.13972706,-2.6508164,5.121517880571774,0.2742408
8331,254500,0.9349995478987694,3405.257087945938,-0.0027531972,56.91,25450000,509,0.21751603,0.016650181,0.13954157,-2.666833,4.579600845811947,0.44745824
7989,255000,0.9552368558943272,3411.822352170944,-0.0055557867,58.6,25500000,510,0.20807402,0.015802477,0.13944408,-2.6782415,4.213288972131195,0.30666128
8166,255500,0.9391499385237694,3418.5426263809204,-0.0022594272,61.69,25550000,511,0.22635801,0.017636416,0.1402071,-2.6880186,5.341122527669504,0.4284921
8055,256000,0.9563296660780907,3425.2276735305786,-0.0046384595,64.61,25600000,512,0.217754,0.016751772,0.13365614,-2.6957328,4.7442739932606495,0.3028902
8239,256500,0.9482512027025223,3431.8681061267853,-0.0046862112,68.9,25650000,513,0.20888203,0.015995668,0.13681702,-2.712085,5.819149321378936,0.35519013
7887,257000,0.9443402327597141,3438.285705804825,-0.0026730744,55.9,25700000,514,0.217002,0.016712682,0.14049378,-2.7204494,4.93919450601883,0.36872327
8107,257500,0.9512191563844681,3445.040948867798,-0.0037455722,58.46,25750000,515,0.20975003,0.015858464,0.14239827,-2.728255,4.323730074709893,0.33864528
7961,258000,0.9453426711261272,3451.5543587207794,-0.0036302146,62.44,25800000,516,0.21099004,0.016045365,0.1331454,-2.737528,4.909480997795181,0.37852585
7973,258500,0.9446644149720669,3458.165584087372,-0.002800206,53.92,25850000,517,0.20778002,0.015974669,0.14801808,-2.7487226,4.213947405366416,0.39765057
