true_reward,explained_variance,time_elapsed,policy_loss,value_loss,policy_entropy,n_updates,clipfrac,ep_reward_mean,fps,ep_len_mean,total_timesteps,approxkl,serial_timesteps
-0.39153215,-0.060103654861450195,219.4127402305603,-0.00080488826,1.9292803,5.6281824,50,0.001602,-3.926349431346971,11617,30.7,2500000,0.0007831496,25000
-0.39179966,-0.06095921993255615,223.77546954154968,-0.0011559278,2.1917715,5.6152673,51,0.0057119997,-2.972106502234092,12045,26.85,2550000,0.0011844554,25500
-0.3890733,-0.0718761682510376,227.98661589622498,-0.0015162718,2.0204017,5.603778,52,0.006346,-3.3683031129304832,12235,27.31,2600000,0.0012641654,26000
-0.3806007,-0.06267714500427246,232.14114332199097,-0.0015039314,2.1139019,5.6013923,53,0.013408,-4.77104379239594,11052,33.39,2650000,0.0017891619,26500
-0.3790247,-0.042023658752441406,236.74635887145996,-0.0016134155,2.140549,5.5963216,54,0.009442,-3.192269330335985,11294,31.06,2700000,0.0015171256,27000
-0.36785215,-0.043833255767822266,241.24356031417847,-0.0012747904,1.7954609,5.5892897,55,0.010642,-3.668252025477486,12573,30.85,2750000,0.0016011959,27500
-0.36083356,-0.05872952938079834,245.27915000915527,-0.0010267451,1.7162094,5.579017,56,0.00586,-3.5127373330760427,11219,32.82,2800000,0.0012987595,28000
-0.35498032,-0.029380083084106445,249.8165740966797,-0.0010120729,1.5161783,5.571288,57,0.008959999,-3.2071804821897647,11125,31.56,2850000,0.0015309356,28500
-0.3479298,-0.013166427612304688,254.3758625984192,-0.0011087928,1.6529948,5.5642257,58,0.004886,-3.909315647866442,11041,33.26,2900000,0.0011552476,29000
-0.35568288,-0.014473319053649902,258.9962229728699,-0.0011970028,1.522832,5.5671873,59,0.010124,-2.9252394651632856,10538,28.66,2950000,0.0016238382,29500
-0.3453882,-0.0206758975982666,263.80073261260986,-0.0012940094,1.5353047,5.5675797,60,0.01108,-3.510693800611225,10774,31.98,3000000,0.0017716835,30000
-0.34148902,0.02188354730606079,268.501535654068,-0.0011575355,1.4721272,5.563781,61,0.0132100005,-3.114378889255586,11244,33.39,3050000,0.00196304,30500
-0.33953503,0.02858150005340576,273.0343322753906,-0.0011420993,1.5246629,5.555834,62,0.009344,-3.537220583824819,11159,36.36,3100000,0.0016121526,31000
-0.3363653,0.024463534355163574,277.57389402389526,-0.0011493613,1.440977,5.546564,63,0.008258,-2.9314941104912395,11301,29.31,3150000,0.0015488164,31500
-0.33315298,0.028760671615600586,282.0557978153229,-0.0011186346,1.4609889,5.54449,64,0.011304,-2.9723416600841848,11226,34.06,3200000,0.0016928825,32000
-0.3235198,0.0465625524520874,286.56936287879944,-0.0015070603,1.374636,5.5422173,65,0.017549999,-3.098630238584428,11464,34.73,3250000,0.002161413,32500
-0.32707354,0.03356438875198364,290.99219965934753,-0.0011885285,1.3031317,5.5349474,66,0.007132,-2.6224229568493502,11330,29.88,3300000,0.0012991171,33000
-0.31432554,0.053733229637145996,295.4650082588196,-0.0011874819,1.2655014,5.525882,67,0.015768,-2.5070700406034847,10970,31.85,3350000,0.002177902,33500
-0.30608362,0.06815356016159058,300.0822277069092,-0.001203598,1.2449368,5.518243,68,0.021667998,-3.5752648666832827,10747,38.66,3400000,0.0026245944,34000
-0.30247036,0.07552629709243774,304.7940602302551,-0.0012554277,1.3020833,5.503985,69,0.023343999,-3.4706634455043104,10512,36.86,3450000,0.0027949126,34500
-0.2988898,0.09736305475234985,309.60748958587646,-0.0009812925,1.2391944,5.486367,70,0.012108,-3.2236847153309647,11074,36.93,3500000,0.0019901316,35000
-0.29858324,0.1260877251625061,314.1963815689087,-0.0011233239,1.1854024,5.471981,71,0.0140619995,-3.0922466054379036,11079,35.14,3550000,0.0020265114,35500
-0.28408897,0.14140111207962036,318.76592922210693,-0.0014362991,1.2758306,5.459037,72,0.026576001,-2.321794399674659,11042,39.13,3600000,0.003009887,36000
-0.29011258,0.16621506214141846,323.3584599494934,-0.0015090862,1.2024583,5.4503965,73,0.025957998,-2.995370108286902,12233,37.19,3650000,0.0028795085,36500
-0.2929411,0.15461105108261108,327.5018208026886,-0.0010875907,1.1183786,5.4445953,74,0.014052001,-2.812544361821783,12659,35.66,3700000,0.0021260013,37000
-0.2881448,0.1817086935043335,331.5410945415497,-0.0015063051,1.142549,5.4355216,75,0.017788,-2.945547456461777,10748,41.98,3750000,0.0024481595,37500
-0.28409687,0.2681877613067627,336.25546288490295,-0.0012969676,1.1271514,5.421683,76,0.014672001,-2.6712373901562203,12021,39.96,3800000,0.0020822864,38000
-0.27757666,0.21223443746566772,340.47305274009705,-0.0014114641,1.1794335,5.408977,77,0.024853999,-2.945115440110094,10997,42.83,3850000,0.0028982563,38500
-0.27133054,0.24549806118011475,345.0968704223633,-0.0011400153,1.0550634,5.3996477,78,0.009602,-2.6792609717072264,11599,36.52,3900000,0.0017682046,39000
-0.26167765,0.31812024116516113,349.4721221923828,-0.0011001519,1.0402,5.3837233,79,0.016996,-2.188626940157828,11646,39.91,3950000,0.0022939774,39500
-0.26531425,0.35207873582839966,353.82198214530945,-0.0013288216,1.1607239,5.3699684,80,0.014892,-2.081371867493908,11952,40.25,4000000,0.0022235196,40000
-0.2587147,0.38116776943206787,358.0917778015137,-0.0012560427,1.144015,5.352172,81,0.013295999,-2.4921294267829945,11149,37.28,4050000,0.002017856,40500
-0.25988632,-0.1736738681793213,362.63112711906433,-0.0010260498,3.2952015,5.3398924,82,0.015508001,-2.5504261187154635,11607,51.03,4100000,0.0022055418,41000
-0.25234678,0.4636201858520508,367.00984716415405,-0.0010168948,1.0762594,5.331378,83,0.0074599995,-2.5893347028145444,10470,40.75,4150000,0.0014956493,41500
-0.24846034,0.4596683979034424,371.84433221817017,-0.0012192978,1.3448236,5.3265405,84,0.012978001,-3.5248151312624985,9949,42.89,4200000,0.0019615588,42000
-0.2457587,0.20177626609802246,376.9750826358795,-0.0013694123,2.336369,5.3205214,85,0.02094,-2.8354368308417772,10340,48.65,4250000,0.0025046582,42500
-0.23885801,0.02211827039718628,381.8735167980194,-0.0005084388,3.0055003,5.3181252,86,0.0037260004,-3.0672291440928894,11186,47.9,4300000,0.0011457693,43000
-0.23213579,0.003938198089599609,386.39843940734863,-0.0007938165,4.7006173,5.3141837,87,0.007566,-6.582689449128415,10498,61.51,4350000,0.0014349844,43500
-0.2716312,-0.07194161415100098,391.2194559574127,-0.0013765653,48.94693,5.3124003,88,0.0044380003,-5.667392141663731,10129,53.53,4400000,0.0011110095,44000
-0.24467732,-0.19677293300628662,396.21679425239563,-0.00096565404,10.146248,5.3138366,89,0.0019400001,-12.130809712585183,10262,70.43,4450000,0.0006666375,44500
-0.255884,-0.1380528211593628,401.1472713947296,-0.00084573746,14.962428,5.3184915,90,0.003258,-10.678776233017134,10285,67.91,4500000,0.0008390611,45000
-0.27531704,-0.10070276260375977,406.07512879371643,-0.00041113174,27.301142,5.3187494,91,0.0038400001,-12.04168027597438,11570,69.67,4550000,0.0010213759,45500
-0.29553276,-0.10385358333587646,410.4642767906189,3.3748278e-05,36.522327,5.317941,92,0.00252,-19.481534237526834,10909,78.68,4600000,0.0009060567,46000
-0.30094102,-0.09738004207611084,415.12041115760803,-0.0006475587,53.223766,5.318082,93,0.00070200005,-4.082171028935559,10775,64.37,4650000,0.0004515496,46500
-0.28015143,-0.031229496002197266,419.81978821754456,-0.000120806115,25.396269,5.3174505,94,0.0017900001,-13.246403626542014,10995,88.68,4700000,0.0007960849,47000
-0.32114878,-0.04986977577209473,424.4254469871521,-0.00092729926,60.201134,5.316049,95,0.004586,-16.022292760282316,11338,76.39,4750000,0.0010409206,47500
-0.2972137,-0.05990898609161377,428.89138317108154,-0.00035796658,39.278034,5.3154316,96,0.0015799999,-5.863674389808251,10842,63.46,4800000,0.0006838606,48000
-0.31191167,-0.08179950714111328,433.5580403804779,-0.00049329625,45.79435,5.317775,97,0.002324,-28.396021809668635,11242,84.93,4850000,0.000737736,48500
-0.30052963,-0.014794230461120605,438.0689425468445,-0.00054783124,35.43517,5.322317,98,0.00010600001,-8.093797477624781,10383,71.75,4900000,0.000350329,49000
-0.30536243,-0.0050106048583984375,442.943008184433,-0.00023420426,38.11313,5.324296,99,0.000104,-15.685096223048804,11511,75.13,4950000,0.00035424266,49500
-0.3860755,-0.03343045711517334,447.3481385707855,-0.00015692499,91.72505,5.3232865,100,3.4e-05,-16.272238430664956,12334,81.75,5000000,0.0003428285,50000
-0.32563844,-0.0006433725357055664,451.45572900772095,-0.00053633784,62.265278,5.321784,101,0.00039200002,-24.08996001164076,11297,83.87,5050000,0.00032226648,50500
-0.25472802,0.19258826971054077,455.9364948272705,-0.0006060739,9.214725,5.3210917,102,0.000496,-4.383570639625582,11558,65.85,5100000,0.00045408486,51000
-0.3289127,-0.0027292966842651367,460.3233458995819,-0.0001413722,59.230286,5.317846,103,0.00074,-16.47703303125627,11428,73.37,5150000,0.0007262727,51500
-0.283346,0.06262922286987305,464.7547950744629,-0.0006148753,26.761927,5.315672,104,0.000366,-8.333888399114912,11311,88.1,5200000,0.0003800771,52000
-0.30592778,0.045989274978637695,469.2295949459076,-0.00039914352,42.820957,5.3149223,105,0.000764,-14.079669861376878,11082,80.87,5250000,0.000569669,52500
-0.34539106,0.01866769790649414,473.80026388168335,-0.0003232159,59.121643,5.3150563,106,3.0000001e-05,-17.11049580195044,12212,81.41,5300000,0.0001751603,53000
-0.39289063,0.009231507778167725,477.9469573497772,-0.00014225014,85.97959,5.314942,107,1e-05,-29.176761953397783,10785,76.4,5350000,0.0001250149,53500
-0.35146114,0.03490793704986572,482.64512872695923,-0.00034762794,41.95894,5.314063,108,2e-06,-23.446596097797883,12210,79.66,5400000,7.612737e-05,54000
-0.33528304,0.0687938928604126,486.793936252594,-0.00011182089,34.70221,5.312148,109,9.2e-05,-23.15404736645991,9948,77.22,5450000,0.00026053953,54500
-0.42776513,0.023523151874542236,491.8805675506592,-0.00027233007,99.8667,5.3103747,110,8.2e-05,-21.692918557197622,10898,78.11,5500000,0.00016215765,55000
-0.39271948,0.06353181600570679,496.52797961235046,-0.000120529556,66.370186,5.309077,111,4.7999998e-05,-15.10868807339201,11680,80.13,5550000,0.00012871236,55500
-0.41101918,0.04144775867462158,500.8716902732849,-8.62837e-05,86.049255,5.308236,112,4e-06,-20.47751028099121,11745,81.08,5600000,9.977643e-05,56000
-0.39767402,0.04933667182922363,505.18886709213257,-0.00015807648,68.29341,5.307072,113,0.0,-21.828488663350313,11009,83.78,5650000,5.0524995e-05,56500
-0.3498304,0.07505792379379272,509.78837490081787,-0.0004045527,41.052307,5.306005,114,1.3999999e-05,-14.301039626354436,10744,63.15,5700000,0.00014931856,57000
-0.368463,0.05760693550109863,514.501228094101,-0.00018623938,54.189217,5.3046236,115,0.000154,-29.94385834472891,11639,77.64,5750000,0.00034646929,57500
-0.4426,0.039871275424957275,518.8522446155548,-0.00020565288,122.81461,5.3040442,116,1e-05,-11.880567116687017,12731,70.85,5800000,0.000112320995,58000
-0.45303264,0.06265032291412354,522.8351271152496,-0.0002524355,117.24858,5.3045697,117,0.00024200001,-24.234077474238862,11433,79.48,5850000,0.00026925845,58500
-0.40344855,0.07904022932052612,527.2672779560089,-0.00015890892,72.10063,5.3048496,118,0.0,-16.498046706787147,11440,70.0,5900000,7.766188e-05,59000
-0.43273664,0.08393776416778564,531.6917424201965,-7.713119e-05,95.78412,5.3045273,119,0.0,-16.121856178948498,11558,69.29,5950000,0.00011300668,59500
-0.44229805,0.08830082416534424,536.0804607868195,-6.314618e-05,112.406784,5.3045845,120,0.0,-27.42645274063671,10812,95.89,6000000,5.55352e-05,60000
-0.51093465,0.06705456972122192,540.7624924182892,-0.0001131761,182.18246,5.3049383,121,0.0,-36.58729158809935,11933,81.65,6050000,3.6469886e-05,60500
-0.52698743,0.06694751977920532,545.0081105232239,-0.00026953212,206.23926,5.305154,122,2e-06,-20.660023415743925,11228,81.2,6100000,6.571011e-05,61000
-0.4663657,0.0656728744506836,549.5151126384735,-0.0004116122,167.05466,5.3053346,123,9e-05,-12.396803816369324,11365,69.91,6150000,0.00016185358,61500
-0.47735682,0.077705979347229,553.9736526012421,-0.00025110177,179.84068,5.3053617,124,2e-05,-36.523374383133515,10343,88.04,6200000,0.00011044415,62000
-0.39184076,0.1297473907470703,558.8889150619507,-0.00034700008,66.04073,5.3053675,125,5.2e-05,-20.884392160799017,11898,78.06,6250000,0.00018079714,62500
