serial_timesteps,fps,policy_loss,approxkl,ep_reward_mean,n_updates,time_elapsed,total_timesteps,true_reward,ep_len_mean,explained_variance,value_loss,clipfrac,policy_entropy
2102500,7688,-0.0042921565,0.025343215,1.7505727830382602,4205,28391.698474407196,210250000,0.030755473,56.25,0.982302337884903,0.01011756,0.29363605,-5.824773
2103000,7905,-0.0036266926,0.027523162,1.8285617828788236,4206,28398.707426071167,210300000,0.03093102,56.87,0.9828429911285639,0.0098543605,0.305284,-5.829235
2103500,8108,-0.0024989804,0.0298489,2.05123090884641,4207,28405.71073794365,210350000,0.031615507,62.87,0.9804580397903919,0.011169424,0.3165319,-5.833862
2104000,8138,-0.004351533,0.026383538,1.6718478476599556,4208,28412.502485752106,210400000,0.03186878,50.88,0.9809614662081003,0.011073711,0.29927802,-5.8342614
2104500,7799,-0.0042256583,0.027192345,1.5053130796939513,4209,28419.282071828842,210450000,0.03072358,50.85,0.9820546675473452,0.010154165,0.30760187,-5.836557
2105000,7925,-0.0054089464,0.02634516,1.7124837938989368,4210,28426.141691207886,210500000,0.029930077,52.13,0.9808818027377129,0.010768575,0.2969321,-5.8459587
2105500,8161,-0.0046886224,0.025381548,1.687043093141765,4211,28432.9125957489,210550000,0.03069827,53.92,0.9866057811304927,0.0077567054,0.29179204,-5.848546
2106000,7981,-0.004403277,0.02696614,1.9185917342010361,4212,28439.661122083664,210600000,0.031374566,59.28,0.9835352059453726,0.0101823,0.300052,-5.8571224
2106500,7912,-0.0033798357,0.029127358,1.6834437840504688,4213,28446.596445322037,210650000,0.03212348,48.59,0.9800851009786129,0.011954665,0.315562,-5.8673735
2107000,8321,-0.003386759,0.027079452,1.7356710642381221,4214,28453.443148851395,210700000,0.032051772,51.62,0.9827610086649656,0.010360863,0.30311003,-5.8691783
2107500,8040,-0.004442224,0.026579782,1.9471375855544466,4215,28460.122629404068,210750000,0.032236602,58.97,0.985367520712316,0.008649618,0.30251998,-5.8587203
2108000,7872,-0.0035157902,0.027520869,1.8005655870746704,4216,28466.926588773727,210800000,0.03124266,60.7,0.9790547750890255,0.012253869,0.303804,-5.8547378
2108500,8128,-0.0029153507,0.028629173,1.6058769726759055,4217,28473.82733273506,210850000,0.031284224,51.63,0.9840304143726826,0.009787201,0.31077594,-5.8642206
2109000,7963,-0.005031846,0.026516829,1.5281804955544793,4218,28480.46534705162,210900000,0.030871753,48.99,0.9820140525698662,0.0099494355,0.295632,-5.8751764
2109500,7991,-0.004572587,0.028295614,1.646026664533565,4219,28487.105679750443,210950000,0.030554958,50.56,0.9795791897922754,0.011615603,0.30916202,-5.883811
2110000,8151,-0.0047763344,0.02560689,1.99696926489647,4220,28493.68826532364,211000000,0.030842219,57.09,0.979840662330389,0.011269342,0.29012603,-5.8876057
2110500,7997,-0.002899567,0.028840994,1.7963800393140992,4221,28500.32188630104,211050000,0.030078571,57.08,0.9800098426640034,0.011012131,0.31193396,-5.874351
2111000,8246,-0.00413193,0.02898446,1.696088713842546,4222,28507.254264354706,211100000,0.03126179,53.48,0.982592398300767,0.010328999,0.31415594,-5.8636804
2111500,8379,-0.004429127,0.026092213,1.6475250734602014,4223,28513.94696688652,211150000,0.031104043,54.24,0.9858950711786747,0.008111034,0.293042,-5.8637013
2112000,8102,-0.0037306577,0.028993098,2.1982301198296046,4224,28520.441808462143,211200000,0.032226283,61.28,0.9801658671349287,0.012056764,0.311906,-5.8716044
2112500,7880,-0.005219041,0.026188351,1.9475331585940876,4225,28527.175540208817,211250000,0.031587973,58.53,0.9810077734291553,0.011342998,0.29555398,-5.866296
2113000,7950,-0.0046310336,0.026486306,1.8386595954973017,4226,28533.73997449875,211300000,0.03101055,51.14,0.9799941889941692,0.01150451,0.297722,-5.862525
2113500,7779,-0.004538493,0.029852612,1.7964091979070145,4227,28540.53535079956,211350000,0.031291302,54.8,0.9795429892838001,0.011480049,0.312498,-5.863059
2114000,7842,-0.002999835,0.028861849,1.403711436726735,4228,28547.493232250214,211400000,0.030688664,48.1,0.9808465912938118,0.010804435,0.316618,-5.865401
2114500,8084,-0.0026549369,0.028231833,1.647541593676142,4229,28554.344951868057,211450000,0.03105288,57.13,0.9841224644333124,0.009432641,0.31080806,-5.8607745
2115000,7965,-0.0044307034,0.02678392,1.7580802471951755,4230,28561.174654960632,211500000,0.03083148,52.32,0.9799827542155981,0.011277905,0.29969403,-5.8602858
2115500,8245,-0.0042974274,0.029828954,1.7499905076810682,4231,28567.976371526718,211550000,0.031889703,54.72,0.9781627506017685,0.012759223,0.31915802,-5.8626747
2116000,8165,-0.004795372,0.030089276,1.6221535632403539,4232,28574.63604092598,211600000,0.030568015,53.84,0.9807279072701931,0.010703073,0.32166603,-5.8637476
2116500,7956,-0.0036865151,0.025128499,1.6363557887090792,4233,28581.389996290207,211650000,0.03006437,52.91,0.98078228905797,0.010743355,0.288344,-5.8705525
2117000,8014,-0.0036501708,0.02933582,1.5794041229480353,4234,28588.243396759033,211700000,0.031999696,52.32,0.9816184360533953,0.010891552,0.31685197,-5.879248
2117500,7971,-0.0043017026,0.027475053,1.8408482480627208,4235,28595.028954029083,211750000,0.030082071,56.51,0.9804483521729708,0.011434048,0.30839598,-5.880609
2118000,8330,-0.0035258627,0.028047474,1.6037678827909259,4236,28601.851042985916,211800000,0.031821903,49.5,0.9809307772666216,0.01104517,0.30836,-5.882143
2118500,7692,-0.004948077,0.029088013,1.8770073034651795,4237,28608.063054323196,211850000,0.031796474,56.69,0.9834859538823366,0.009793098,0.31458002,-5.8840895
2119000,8014,-0.0036940547,0.029204054,1.3739953568308556,4238,28615.15351343155,211900000,0.030087797,49.28,0.9777098819613457,0.012955679,0.318384,-5.880162
2119500,8390,-0.0032189172,0.02791021,1.8157520931480393,4239,28621.948367595673,211950000,0.030181523,59.77,0.9813707266002893,0.010424121,0.30552003,-5.8843036
2120000,7898,-0.003634799,0.027896756,1.9514312923544639,4240,28628.42939400673,212000000,0.03251458,55.96,0.981149347499013,0.010952446,0.30652997,-5.8878036
