fps,time_elapsed,approxkl,policy_entropy,value_loss,explained_variance,clipfrac,serial_timesteps,ep_len_mean,n_updates,ep_reward_mean,policy_loss,true_reward,total_timesteps
7945,24763.17225408554,0.02872188,-5.590171,0.025330188,0.9949853094294667,0.31999597,1827000,38.97,3654,0.945234148907366,-0.0032309305,0.0068905395,182700000
8061,24769.986177444458,0.024729855,-5.5936832,0.014988217,0.9971805184613913,0.28917995,1827500,41.35,3655,0.9636970570527956,-0.0055373586,0.0071743983,182750000
8125,24776.551703214645,0.026059559,-5.598825,0.01784251,0.9966515116393566,0.30023998,1828000,48.72,3656,1.0500645245705527,-0.004852339,0.0061752032,182800000
7858,24783.202876091003,0.02714632,-5.5926805,0.022538228,0.9953752858564258,0.30806407,1828500,48.93,3657,1.4135915890104207,-0.0038847076,0.008372216,182850000
8030,24790.078652381897,0.02672184,-5.585018,0.017114958,0.9966945967171341,0.30604,1829000,44.53,3658,1.047689773399652,-0.0046058143,0.005787416,182900000
7675,24796.730140924454,0.025883336,-5.5840197,0.013961791,0.9971645465120673,0.29771003,1829500,42.64,3659,1.3762167813722044,-0.0045978273,0.0050224527,182950000
7743,24803.794126033783,0.026138034,-5.58245,0.018880008,0.9963326752185822,0.29855,1830000,45.96,3660,0.9854353180513499,-0.002506173,0.0042722286,183000000
7814,24810.637244939804,0.025526224,-5.577251,0.014491036,0.9971031837631017,0.29315197,1830500,45.93,3661,1.107550977625924,-0.004839893,0.006216424,183050000
8018,24817.653277873993,0.026124666,-5.5800266,0.026851665,0.9952351795509458,0.30108798,1831000,45.81,3662,0.8444093347512808,-0.0050633377,0.005354244,183100000
8136,24824.119756937027,0.024649005,-5.591406,0.017360164,0.9967641097027808,0.289142,1831500,43.23,3663,1.0860970536177774,-0.0040088077,0.0036300223,183150000
8099,24830.721339464188,0.02482673,-5.5921464,0.015186462,0.9971058096271008,0.288388,1832000,46.82,3664,0.7248322532828388,-0.004871026,0.010128425,183200000
8011,24837.2773809433,0.026017956,-5.589365,0.016543046,0.996680528158322,0.301034,1832500,45.08,3665,0.995190837129121,-0.0044819466,0.00679714,183250000
7709,24844.154970645905,0.025646882,-5.589321,0.019861475,0.9961191192269325,0.29868203,1833000,45.2,3666,0.8124746118258553,-0.005593769,0.0067678224,183300000
8284,24851.229386091232,0.025177246,-5.5935817,0.0156849,0.9966504429467022,0.29209402,1833500,45.45,3667,1.1579042592842144,-0.005063787,0.010276907,183350000
