fps,value_loss,true_reward,clipfrac,policy_entropy,explained_variance,approxkl,serial_timesteps,n_updates,ep_len_mean,time_elapsed,policy_loss,total_timesteps,ep_reward_mean
8084,0.528509,0.026332324,0.037458006,5.316888,0.9755081739276648,0.0040706806,38500,77,459.1,515.0025668144226,-0.004131938,3850000,29.46377365283286
8325,0.59454805,0.03684296,0.025158,5.2760143,0.9676935076713562,0.0034569204,39000,78,471.03,521.53369140625,-0.00413681,3900000,30.02903236230166
7972,0.53435105,0.024712667,0.045328,5.227316,0.9736127853393555,0.0047661187,39500,79,462.34,528.0667889118195,-0.003655313,3950000,27.71534509995352
8346,0.56270903,0.023601284,0.044221997,5.192803,0.9734435770660639,0.004501915,40000,80,459.8,534.6163427829742,-0.004559332,4000000,28.741140919804415
8225,0.41043904,0.038644094,0.045994,5.1588545,0.9731935616582632,0.0047517493,40500,81,473.73,541.0587174892426,-0.0037991577,4050000,29.755332688590315
8040,0.40711468,0.04050406,0.039232,5.1113696,0.9728388488292694,0.004269534,41000,82,474.92,547.7098090648651,-0.0036647562,4100000,30.09183357087745
8004,0.40294865,0.047175825,0.023817997,5.070297,0.9672390185296535,0.0032907578,41500,83,478.79,554.4967224597931,-0.0039403304,4150000,31.68901557357434
8259,0.44222346,0.032521375,0.021925997,5.02494,0.9751751627773046,0.0031312217,42000,84,465.6,561.239470243454,-0.003931131,4200000,29.844155941272785
7694,0.4787733,0.033437587,0.027375996,4.986287,0.9734013546258211,0.0035344036,42500,85,467.68,567.8337445259094,-0.0041031037,4250000,29.963822457614334
7901,0.47577488,0.021775486,0.040106002,4.9457717,0.9766143374145031,0.00434083,43000,86,458.58,574.9550197124481,-0.0042205174,4300000,27.538594491050254
8141,0.3801443,0.04617075,0.032268003,4.895491,0.9703813251107931,0.003930302,43500,87,478.23,581.8950431346893,-0.0038938066,4350000,31.736959592724606
8373,0.37936604,0.041319318,0.035032,4.829294,0.973154816776514,0.004163171,44000,88,477.66,588.4274616241455,-0.0048116297,4400000,29.45222788905292
8124,0.37580022,0.04484858,0.046015996,4.761873,0.9739499930292368,0.0046210266,44500,89,473.52,594.7880120277405,-0.0041149557,4450000,32.89902206954791
7899,0.38893867,0.032504972,0.047826003,4.7110434,0.9768925942480564,0.0049084174,45000,90,466.44,601.3975827693939,-0.004387442,4500000,30.35060262070767
8187,0.34775898,0.040824834,0.032064006,4.663903,0.9750603903084993,0.0038545523,45500,91,474.66,608.2468791007996,-0.004403272,4550000,30.35275043128144
8004,0.3687553,0.03915302,0.02675,4.6206083,0.9747777879238129,0.0034652913,46000,92,473.96,614.9513728618622,-0.0039883656,4600000,29.853304029899764
8365,0.3637657,0.038752533,0.038906,4.568241,0.9706914350390434,0.0043455455,46500,93,477.73,621.6156802177429,-0.005027135,4650000,28.793114893073835
8310,0.3281114,0.04931814,0.032850005,4.5155573,0.972570588812232,0.003794893,47000,94,480.11,628.1320216655731,-0.00461343,4700000,32.739614027026356
8341,0.31716064,0.0510227,0.05272,4.4799776,0.9712911359965801,0.0050066947,47500,95,480.99,634.6874070167542,-0.0042421627,4750000,33.23803187765407
8074,0.29424623,0.053823624,0.044799995,4.448804,0.9734295569360256,0.0046874895,48000,96,482.17,641.1867322921753,-0.005062227,4800000,34.41793409549073
7829,0.415448,0.04263942,0.045782,4.4171677,0.9732369165867567,0.004586956,48500,97,471.37,647.9231877326965,-0.00400914,4850000,32.77012940520919
8151,0.34344056,0.05236966,0.042556,4.393625,0.9705746434628963,0.0043733628,49000,98,481.26,654.8700406551361,-0.004252525,4900000,33.566634902757976
7861,0.3218309,0.04768386,0.031800006,4.359717,0.9767574556171894,0.0037217045,49500,99,473.3,661.573780298233,-0.004036216,4950000,34.5298787280965
8191,0.29178163,0.058591798,0.03386,4.320191,0.9689983818680048,0.004026054,50000,100,486.78,668.3974220752716,-0.0045111724,5000000,34.88736576350291
8071,0.2334763,0.058426872,0.032226004,4.269615,0.9736894648522139,0.0038598236,50500,101,487.69,674.9971268177032,-0.004606262,5050000,34.22331114718758
8436,0.34995437,0.053611446,0.042897996,4.239363,0.9681513458490372,0.004439665,51000,102,484.67,681.7309608459473,-0.003979585,5100000,32.87407851339268
8303,0.34971207,0.048890784,0.055842005,4.221104,0.9733475632965565,0.0051308013,51500,103,477.43,688.2237658500671,-0.0041805343,5150000,33.4810827325663
8026,0.24299426,0.05824679,0.045578007,4.1790147,0.975185664370656,0.0047717523,52000,104,487.1,694.8197257518768,-0.004515783,5200000,34.69362518945506
8263,0.2936188,0.04893624,0.05305401,4.1354523,0.9775430858135223,0.0050291144,52500,105,477.2,701.3868157863617,-0.004592551,5250000,33.50751450824773
8391,0.26873264,0.060222667,0.046368,4.0962095,0.9692141674458981,0.004664035,53000,106,487.14,708.0565249919891,-0.005404112,5300000,34.963360687143286
8204,0.2549504,0.05978141,0.042930003,4.0484586,0.9716201983392239,0.0045868726,53500,107,487.23,714.3157663345337,-0.004995445,5350000,34.893699022435605
7924,0.24194124,0.058937524,0.053890012,4.011835,0.9762090295553207,0.0051080287,54000,108,483.31,720.8488569259644,-0.0037399677,5400000,36.454671135927875
8185,0.22871564,0.05753565,0.064848006,3.9809425,0.9778982736170292,0.0057169795,54500,109,483.31,727.6672987937927,-0.00478642,5450000,35.68944362447324
7973,0.23196846,0.05273832,0.040590003,3.9453132,0.9812146760523319,0.004330408,55000,110,479.11,734.1782305240631,-0.0045431014,5500000,34.911070207150914
7962,0.2058239,0.06469478,0.057221998,3.9023528,0.9725558161735535,0.0054124617,55500,111,491.22,741.0477929115295,-0.005348306,5550000,35.97042830164635
8179,0.27960187,0.06100709,0.057106,3.874238,0.9662211276590824,0.005217349,56000,112,490.07,747.7844851016998,-0.0042438945,5600000,34.66603592193521
8384,0.28993216,0.049097583,0.054074,3.845761,0.9764969851821661,0.005252263,56500,113,482.79,754.2134068012238,-0.0053369147,5650000,32.0840194605466
8117,0.19073494,0.06484214,0.039150003,3.8097897,0.9697865229099989,0.0042023994,57000,114,492.61,760.6997129917145,-0.0046200515,5700000,35.31810243503885
8211,0.2034235,0.056968167,0.062824,3.7775223,0.9795906860381365,0.0056694834,57500,115,483.59,767.28435754776,-0.004593523,5750000,35.258192767419565
8198,0.19565684,0.05491693,0.050364,3.747296,0.981915881857276,0.005008008,58000,116,482.78,773.7289774417877,-0.004720386,5800000,34.336510494681804
8324,0.2022896,0.060606968,0.035542,3.713777,0.9746117778122425,0.0040711137,58500,117,488.98,780.4226293563843,-0.00487946,5850000,35.1916465008032
8106,0.25872803,0.05570256,0.035929997,3.6777594,0.9709664955735207,0.004057473,59000,118,489.45,786.9942202568054,-0.004370192,5900000,32.53940468088337
7997,0.18369421,0.06507061,0.058935996,3.6411886,0.9700474869459867,0.005414895,59500,119,491.45,793.5942938327789,-0.004734995,5950000,35.96345451695555
8142,0.1806042,0.06358294,0.057488002,3.609097,0.9692279361188412,0.005296224,60000,120,495.11,800.2728464603424,-0.0040151738,6000000,33.7712830544628
8171,0.16917488,0.06473704,0.038067993,3.5781188,0.9710169471800327,0.004135291,60500,121,491.85,806.9724082946777,-0.0048468355,6050000,35.841424116925445
8015,0.26128146,0.05615917,0.03995999,3.546052,0.9697622377425432,0.0042575644,61000,122,489.59,813.5509026050568,-0.0043011387,6100000,32.36908653447943
7957,0.20312576,0.06318963,0.050137997,3.519599,0.9719178415834904,0.004955473,61500,123,490.77,820.157110452652,-0.0042411597,6150000,35.59167580734347
8409,0.2272882,0.06555485,0.038200002,3.4941933,0.9630102254450321,0.00421049,62000,124,490.2,826.9790451526642,-0.0045297714,6200000,36.67714646364077
8021,0.18628405,0.06132179,0.052448004,3.4626818,0.9750737641006708,0.0049214335,62500,125,490.3,833.4687321186066,-0.0046065543,6250000,34.636582265246254
8045,0.5309437,0.05216747,0.058298003,3.4411461,0.9529363997280598,0.005608393,63000,126,486.32,840.28373503685,-0.005743801,6300000,32.583710457906385
8210,0.1409059,0.06929312,0.07516599,3.435694,0.9721155967563391,0.0061928905,63500,127,495.2,847.0381622314453,-0.0041996143,6350000,36.642833847614526
8037,0.16171093,0.06373468,0.07053199,3.4204376,0.977712593972683,0.006020154,64000,128,490.61,853.4032485485077,-0.004674685,6400000,35.83111163129086
