time_elapsed,ep_reward_mean,policy_loss,value_loss,approxkl,total_timesteps,fps,true_reward,n_updates,explained_variance,policy_entropy,serial_timesteps,clipfrac,ep_len_mean
351.62626600265503,1.4411561616140625,-0.0047624107,0.007932617,0.005657872,2650000,7982,0.04122223,53,0.9885342689231038,4.195904,26500,0.064728,33.05
358.1578092575073,0.8329405446199598,-0.0047699185,0.008946374,0.00524539,2700000,8019,0.03979409,54,0.987894426099956,4.164472,27000,0.05630801,26.65
364.9287805557251,1.4014918424802636,-0.005088569,0.008703948,0.00541529,2750000,7731,0.04290937,55,0.9889197014272213,4.1344833,27500,0.060256008,32.14
371.9433162212372,1.2168377013769465,-0.0050027347,0.009535062,0.005665042,2800000,8419,0.04228244,56,0.9875740194693208,4.097625,28000,0.064345986,31.97
378.4079267978668,1.3864781518149585,-0.0041677416,0.009331817,0.0047656284,2850000,8123,0.041548744,57,0.9879556177183986,4.0646377,28500,0.048848003,33.73
385.09528040885925,1.321055549249286,-0.0039732596,0.00984703,0.004543807,2900000,8287,0.040579222,58,0.9870820390060544,4.038088,29000,0.045710005,31.61
391.74101662635803,1.5843140604987547,-0.0044030305,0.010743797,0.0048159515,2950000,8078,0.041067187,59,0.9860200770199299,4.0114064,29500,0.048603993,34.58
398.51051139831543,1.3662162174002332,-0.004475459,0.010940536,0.0049872994,3000000,8172,0.04106927,60,0.985783027485013,3.9768047,30000,0.052305993,33.01
405.1178369522095,1.4561055990040312,-0.003401053,0.011083254,0.0047716475,3050000,8185,0.04179632,61,0.9857240281999111,3.9494543,30500,0.048728004,33.44
411.72651743888855,1.354781281880846,-0.0041815923,0.010716524,0.004855329,3100000,7886,0.042027682,62,0.9860654659569263,3.9257214,31000,0.05066,31.32
418.6547887325287,1.7292900311150334,-0.0041963947,0.011073505,0.0046353657,3150000,7813,0.043874003,63,0.9864527182653546,3.898649,31500,0.046992,34.8
425.661896944046,1.5591486178639502,-0.0042534485,0.012697947,0.0049474076,3200000,7834,0.04148543,64,0.9840195756405592,3.8739767,32000,0.052632004,34.3
432.4123442173004,1.2439859622588347,-0.004599809,0.011685418,0.0050834245,3250000,7690,0.042424362,65,0.9846421740949154,3.8526123,32500,0.05539801,29.73
439.16306710243225,1.3983323072162421,-0.003860265,0.012676823,0.0043612984,3300000,7951,0.042517602,66,0.9840300567448139,3.828261,33000,0.04334,33.27
445.9942469596863,1.5348358789305712,-0.0042756186,0.010947477,0.00496995,3350000,8008,0.04413283,67,0.9860116522759199,3.796412,33500,0.052077997,34.74
452.59460401535034,1.5284082725536792,-0.0041316645,0.013542391,0.004635458,3400000,8153,0.042968515,68,0.9831055533140898,3.7787223,34000,0.048618004,32.83
459.3470437526703,1.2800171365553614,-0.003916709,0.013123393,0.004849339,3450000,8214,0.04176581,69,0.9829530827701092,3.7590837,34500,0.050643988,33.46
465.995187997818,1.5284566371905384,-0.0046360265,0.0126161445,0.0052122492,3500000,8034,0.041511655,70,0.9835756625980139,3.7245886,35000,0.055991992,34.08
472.866188287735,1.4132496021320002,-0.0041511874,0.012122495,0.004792286,3550000,8199,0.04279435,71,0.9846934583038092,3.6968088,35500,0.049533997,32.56
479.5218527317047,1.412168953704786,-0.0045323134,0.011644657,0.0054674004,3600000,8244,0.043112524,72,0.9854527981951833,3.6718578,36000,0.061745998,31.3
485.9632806777954,1.5045710252539857,-0.0039610565,0.012218278,0.0049781837,3650000,7816,0.045166396,73,0.9845140678808093,3.6393814,36500,0.05273,32.44
492.9546871185303,1.3521626121157715,-0.004090426,0.013364882,0.004995109,3700000,7833,0.044307925,74,0.9826344605535269,3.613452,37000,0.05382601,29.02
499.92202949523926,1.3488834999996198,-0.0040856358,0.012765305,0.0047631287,3750000,7775,0.044164542,75,0.9839719068259001,3.5952604,37500,0.050616007,35.95
506.9667410850525,1.5814159878818919,-0.0038085785,0.0127338795,0.0046361615,3800000,8189,0.044984344,76,0.9838632065802813,3.58328,38000,0.048234,36.95
513.5636796951294,1.5381750808455807,-0.0044443053,0.013028214,0.0051862146,3850000,8033,0.043941803,77,0.9834399372339249,3.5610955,38500,0.056166,33.48
520.3155937194824,1.3177589705598893,-0.0046970416,0.01196525,0.005451245,3900000,7884,0.046220668,78,0.984076701104641,3.5283124,39000,0.060023993,30.73
527.2279982566833,1.5538521573273647,-0.005196337,0.01225388,0.0054557617,3950000,8178,0.045019567,79,0.983970133587718,3.4998014,39500,0.06120799,34.42
533.7723305225372,1.2717072272159045,-0.0042708623,0.013435253,0.004799329,4000000,7984,0.04601042,80,0.9832205567508936,3.487381,40000,0.05037401,28.84
540.5309612751007,1.3555520620640482,-0.00447204,0.012260741,0.005203289,4050000,8343,0.045942057,81,0.9839520994573832,3.4673426,40500,0.057528008,29.47
546.9462049007416,1.2513130165279336,-0.004098647,0.013938562,0.0049514617,4100000,8145,0.04668415,82,0.9825581535696983,3.4430354,41000,0.05252799,29.0
553.4913878440857,1.3636020801075575,-0.0047868537,0.012574225,0.0051770364,4150000,7799,0.04635721,83,0.9843849930912256,3.424466,41500,0.057519995,29.63
560.4874565601349,1.3577875957119159,-0.0044767954,0.013003714,0.005185842,4200000,7968,0.046875004,84,0.9839969668537378,3.4077287,42000,0.057452,35.45
567.2845752239227,1.2749784428750082,-0.004069959,0.012649949,0.004869948,4250000,8162,0.04629395,85,0.9838929232209921,3.3968093,42500,0.052270006,34.43
573.9232211112976,1.3374047197428445,-0.004223803,0.012524261,0.0047979713,4300000,8235,0.047128312,86,0.9846847113221884,3.3912554,43000,0.050868,32.95
580.5507419109344,1.3678762466705576,-0.004928514,0.013701708,0.005409159,4350000,8192,0.045941688,87,0.9828342702239752,3.3735516,43500,0.060906004,36.54
587.121461391449,1.324181094494536,-0.0042187246,0.015245528,0.005046483,4400000,8295,0.047374174,88,0.9810939002782106,3.3513753,44000,0.05455601,34.29
593.7133765220642,1.251141675748495,-0.004332778,0.013111753,0.004788939,4450000,8229,0.04687353,89,0.9833693988621235,3.3296626,44500,0.049817994,32.91
600.333078622818,1.3799351742227055,-0.005099684,0.014722197,0.005481332,4500000,8158,0.046758145,90,0.9813579991459846,3.3080335,45000,0.061106015,34.91
606.9423439502716,1.337624989137621,-0.00424653,0.014788819,0.004950941,4550000,8290,0.048289523,91,0.9811984654515982,3.2848983,45500,0.051884,29.02
613.5938107967377,1.4127944311248917,-0.004716025,0.012902787,0.005242079,4600000,8061,0.048025988,92,0.9838802218437195,3.2635672,46000,0.05766399,33.39
620.4312899112701,1.1243619569482053,-0.004520155,0.012262064,0.005071621,4650000,7966,0.046031885,93,0.9838146846741438,3.2437265,46500,0.05487,37.18
627.2788832187653,1.3515320095800734,-0.004433809,0.013348142,0.005007351,4700000,8387,0.046799324,94,0.9835237693041563,3.2263381,47000,0.053797994,35.24
633.8437395095825,1.3712511309880029,-0.0039655743,0.01319314,0.004949524,4750000,8036,0.048876867,95,0.9832486175000668,3.2014084,47500,0.051748008,35.75
640.5990252494812,1.4133918065749094,-0.004873867,0.012952481,0.0053395014,4800000,8034,0.04773303,96,0.9834601003676653,3.176812,48000,0.059205998,34.71
647.4130899906158,1.3641434250812337,-0.004257068,0.0123068215,0.0051229466,4850000,8175,0.049514633,97,0.9843723643571138,3.163595,48500,0.056110002,30.98
653.997805595398,1.3606223197545841,-0.0044639413,0.0133403465,0.005033588,4900000,7811,0.048687324,98,0.9830297529697418,3.1522405,49000,0.054678,29.85
660.8792099952698,1.3474455272092747,-0.004657483,0.012728207,0.005389244,4950000,8118,0.04928894,99,0.9838814828544855,3.1269925,49500,0.059638005,32.19
667.7025139331818,1.5645500869641547,-0.004569958,0.01311757,0.004690151,5000000,7819,0.049735624,100,0.9835659880191088,3.117971,50000,0.05057801,38.84
674.6613304615021,1.549222921720916,-0.004737211,0.012245463,0.005220632,5050000,7785,0.049719654,101,0.9843455590307713,3.1129181,50500,0.05766599,39.5
681.6694717407227,1.341248825823227,-0.0049127312,0.013201794,0.0052661775,5100000,7980,0.051447123,102,0.9839230850338936,3.0952003,51000,0.057798006,35.79
688.4336490631104,1.4302979789098935,-0.005117672,0.012058769,0.0054265256,5150000,7949,0.049441822,103,0.9851061403751373,3.0751789,51500,0.060771994,32.96
695.3220298290253,1.3215500151024844,-0.005005095,0.012649118,0.0054250555,5200000,8236,0.049464125,104,0.9838913604617119,3.045174,52000,0.060407985,35.64
701.8941361904144,1.4534118301414582,-0.0043245833,0.011066087,0.005050239,5250000,8117,0.049877666,105,0.9856130508705974,3.0188398,52500,0.053742003,29.93
708.714923620224,1.248608009718066,-0.004813089,0.0124135045,0.0056204046,5300000,8140,0.048883583,106,0.9844056451693177,2.998452,53000,0.064303994,30.76
715.5070917606354,1.6671658967213898,-0.0039720545,0.012127805,0.0049121208,5350000,8118,0.051160704,107,0.9844953957945108,2.9835913,53500,0.052756004,35.33
722.1854510307312,1.3348800351838872,-0.004888234,0.013475563,0.0053448235,5400000,8204,0.050841164,108,0.9824308976531029,2.9703226,54000,0.05865799,36.3
728.9061357975006,1.3960778573085053,-0.0052039255,0.011440767,0.005848416,5450000,8241,0.051898263,109,0.9856612598523498,2.9549456,54500,0.06863599,31.27
735.6139543056488,1.670565257207129,-0.0044261324,0.011331014,0.0054703117,5500000,8198,0.049850576,110,0.9849585732445121,2.9345367,55000,0.062028006,38.58
742.147234916687,1.4786351539211138,-0.0044426667,0.011122857,0.0052058846,5550000,8013,0.05222837,111,0.9860321544110775,2.9139566,55500,0.05758199,38.15
748.7594017982483,1.2343625788193617,-0.0044039357,0.012229912,0.0055595185,5600000,8103,0.05178907,112,0.9841901417821646,2.9017909,56000,0.06346199,32.84
755.4747097492218,1.3374149621428932,-0.0047395914,0.01088686,0.0050062034,5650000,8294,0.049406778,113,0.9861770886927843,2.8900068,56500,0.05389401,39.14
762.0514194965363,1.2057943939815596,-0.004615713,0.010921671,0.005570966,5700000,8211,0.051264517,114,0.9864785969257355,2.8703682,57000,0.064023994,29.92
768.6287553310394,1.375302751282843,-0.004513289,0.008829311,0.0055427174,5750000,8303,0.05431434,115,0.9883866645395756,2.8513043,57500,0.06311799,35.66
775.2241959571838,1.5805128523297298,-0.005289657,0.010915813,0.0056558913,5800000,8061,0.053793654,116,0.9863448925316334,2.842201,58000,0.065908,37.84
782.0342416763306,1.6975274094510495,-0.00481088,0.011022067,0.005511638,5850000,8063,0.052646093,117,0.986175742931664,2.829614,58500,0.06297601,34.8
788.8674764633179,1.3339567911114296,-0.004052954,0.009926065,0.0053252624,5900000,8412,0.05263184,118,0.9869995675981045,2.8167706,59000,0.059626002,35.85
795.1609420776367,1.4492657962881936,-0.004637345,0.011168057,0.0056441557,5950000,8234,0.053722672,119,0.9864308759570122,2.8034482,59500,0.065382,33.48
801.6265730857849,1.3515136414274276,-0.004428536,0.010539906,0.0055555757,6000000,8324,0.05288625,120,0.9864047300070524,2.783151,60000,0.063388,34.66
808.0689878463745,1.270578399500032,-0.0053328127,0.009908895,0.005822235,6050000,8179,0.0524852,121,0.9868144961073995,2.7587,60500,0.068221994,29.67
814.6039414405823,1.4546066047162276,-0.0041595427,0.010769431,0.0054135467,6100000,8140,0.052880503,122,0.9866795120760798,2.7418976,61000,0.06154399,34.28
821.3337013721466,1.3443407386022408,-0.004166111,0.011127242,0.0051881843,6150000,8225,0.051871,123,0.9863598290830851,2.738001,61500,0.058418002,33.01
827.8370718955994,1.3099876447384964,-0.0048387484,0.012143585,0.005501847,6200000,8361,0.051814884,124,0.9843279253691435,2.7371976,62000,0.06320402,32.24
834.3656826019287,1.194443559339361,-0.0041165003,0.010708528,0.005803525,6250000,8459,0.051960938,125,0.9861165974289179,2.7271929,62500,0.067015976,29.84
840.7841346263885,1.3676205974619506,-0.0047832737,0.01103196,0.0057249,6300000,8332,0.05301353,126,0.9861181313171983,2.7036002,63000,0.065774,32.6
847.3534958362579,1.3537001611379764,-0.005408375,0.01098429,0.0064341663,6350000,8286,0.054209515,127,0.9857754744589329,2.6852386,63500,0.078904,29.69
