fps,ep_reward_mean,serial_timesteps,value_loss,time_elapsed,explained_variance,total_timesteps,ep_len_mean,true_reward,n_updates,policy_entropy,approxkl,clipfrac,policy_loss
16959,1.0028068330138922,24000,0.00021762888,157.48614263534546,0.9985470988322049,2400000,27.91,0.037465055,48,3.934335,0.006408706,0.07475401,-0.006337514
17074,0.8880565477907658,24500,0.00023928759,161.0227484703064,0.9983922690153122,2450000,25.1,0.038664956,49,3.8891144,0.0062440783,0.074071996,-0.0055880137
18944,0.8307759792357683,25000,0.00018438944,164.3500053882599,0.9987416985677555,2500000,23.62,0.040129393,50,3.8407137,0.006511876,0.07742,-0.0057472615
20728,0.8908689941465855,25500,0.00017533364,167.39663887023926,0.9987829606980085,2550000,23.5,0.041390635,51,3.785788,0.0068283956,0.08327201,-0.0069352603
17377,0.9797550281882286,26000,0.00015092985,170.30690360069275,0.9989290423691273,2600000,23.98,0.042901803,52,3.7366443,0.006723679,0.081698,-0.006230872
17087,0.6492672407627106,26500,0.00013277895,173.88710379600525,0.9990183403715491,2650000,18.13,0.044724356,53,3.6910522,0.0067078783,0.081812,-0.00580118
16828,0.5850878512114286,27000,0.0001508864,177.49527072906494,0.9988653985783458,2700000,17.46,0.045711655,54,3.640113,0.0072315126,0.08934399,-0.007089886
18131,0.9957391315698624,27500,0.00012118129,180.8510217666626,0.9990752695011906,2750000,24.2,0.047000986,55,3.5897202,0.0070645316,0.088929996,-0.0067593153
15319,1.2024069184064865,28000,9.3756506e-05,184.13802361488342,0.9992631322820671,2800000,26.49,0.048421282,56,3.5461664,0.007146539,0.090048,-0.006549327
17376,0.49618559651076793,28500,0.000120659555,187.77028584480286,0.9990081419236958,2850000,13.24,0.049523804,57,3.5051985,0.006776139,0.08301601,-0.006157845
15417,0.28703125201165675,29000,7.203847e-05,191.2994201183319,0.9994099322357215,2900000,10.75,0.050150685,58,3.4601626,0.0069773956,0.08515198,-0.0065365843
18099,0.5161585068702698,29500,0.00012245303,195.14386105537415,0.998962573823519,2950000,16.81,0.050735753,59,3.4147248,0.0065986156,0.078696005,-0.0060100853
17892,0.8822458028793335,30000,8.862626e-05,198.19402027130127,0.9992609504843131,3000000,21.91,0.051717132,60,3.363164,0.0068238135,0.082441986,-0.006577088
15904,1.1566761368513108,30500,6.285404e-05,201.54891324043274,0.9994652618770488,3050000,25.69,0.052435186,61,3.308621,0.006989025,0.084614,-0.0062047495
18375,1.4084916760027408,31000,6.559293e-05,205.2648470401764,0.9994453196995892,3100000,28.26,0.053217515,62,3.2621768,0.0068062996,0.08215199,-0.0056348545
20616,1.0424247008562089,31500,0.00010211885,208.59843945503235,0.9991310253390111,3150000,20.67,0.05361283,63,3.2191834,0.006464445,0.076276004,-0.005306771
16805,0.46535285338759425,32000,6.5562046e-05,211.58148980140686,0.9994490636745468,3200000,10.69,0.054035235,64,3.1706338,0.0063432516,0.072596006,-0.00519068
19282,0.09034746706485748,32500,6.6585584e-05,215.10713911056519,0.9994444193434902,3250000,5.89,0.05423363,65,3.1272635,0.006080023,0.06912201,-0.005206723
16555,0.17280121132731438,33000,6.544671e-05,218.06720185279846,0.9994533122517169,3300000,8.85,0.05443393,66,3.0872543,0.0065237856,0.076582015,-0.005414818
15490,0.28404963970184327,33500,6.671267e-05,221.7361123561859,0.9994426526827738,3350000,11.9,0.0547213,67,3.047369,0.005527145,0.05792599,-0.004305178
