policy_entropy,approxkl,true_reward,explained_variance,policy_loss,time_elapsed,clipfrac,n_updates,serial_timesteps,fps,ep_len_mean,total_timesteps,value_loss,ep_reward_mean
4.309348,0.005173234,0.010681381,0.9559216685593128,-0.0075125475,467.4055435657501,0.056805987,69,34500,7806,52.57,3450000,0.19476959,1.9209463643190974
4.2822013,0.005151245,0.012510781,0.9618170224130154,-0.0075598825,474.3310236930847,0.056235995,70,35000,7947,43.05,3500000,0.16452889,2.121309259743721
4.2570715,0.005086588,0.00717369,0.9544044956564903,-0.0076247267,481.18650007247925,0.056718007,71,35500,7972,49.2,3550000,0.19743533,1.7853192062812013
4.227034,0.0053964467,0.014688607,0.960212629288435,-0.008183319,487.8740041255951,0.06059601,72,36000,7872,50.11,3600000,0.1726524,1.5976647547699394
4.196868,0.005038415,0.01372893,0.9584280140697956,-0.006820822,494.89757537841797,0.054064002,73,36500,8031,54.19,3650000,0.18546766,1.5766344638333976
4.177599,0.0051562916,0.018082209,0.9638581313192844,-0.007398241,501.6046235561371,0.056582004,74,37000,8260,47.39,3700000,0.17059496,1.499171122982516
4.157926,0.005232468,0.0126358345,0.9616099409759045,-0.007164626,508.1556372642517,0.05719199,75,37500,8073,52.3,3750000,0.1668759,2.414712177692563
4.1244206,0.0053141145,0.018502923,0.9631309621036053,-0.007874853,514.7869534492493,0.058560003,76,38000,8014,50.19,3800000,0.17390297,2.478885380762804
4.0930843,0.005070463,0.016036564,0.9611337967216969,-0.007527687,521.6025819778442,0.05532401,77,38500,7837,53.74,3850000,0.1761931,2.3673334682916174
4.0708528,0.00544375,0.013386142,0.9635351561009884,-0.007955297,528.5100095272064,0.061872005,78,39000,8131,53.42,3900000,0.16923419,1.8825300341888214
4.0429115,0.005485532,0.016752616,0.9621629901230335,-0.0079416465,535.2216484546661,0.060989995,79,39500,8095,61.88,3950000,0.17499727,2.4955218169552973
4.021061,0.0053580506,0.01816878,0.9647975116968155,-0.007833001,541.9609525203705,0.06034799,80,40000,8040,53.74,4000000,0.15921406,2.1013310268931673
3.9921834,0.0054677236,0.020571234,0.9684097729623318,-0.0073443316,548.6824259757996,0.06065401,81,40500,8170,50.38,4050000,0.16145127,2.1813948881690157
3.9540787,0.005615866,0.013970039,0.9663813076913357,-0.0078895865,555.2468099594116,0.06322999,82,41000,7872,56.01,4100000,0.16309944,1.8828922614668409
3.919073,0.005628701,0.018429829,0.9618254490196705,-0.007896871,562.1054961681366,0.064612,83,41500,8335,60.12,4150000,0.1809539,2.639434317261621
3.8884506,0.0055900402,0.019072847,0.9657962918281555,-0.008235779,568.7422275543213,0.062882006,84,42000,8070,64.88,4200000,0.15541773,2.999474856601919
3.8692126,0.005588545,0.01674607,0.9692821446806192,-0.008174537,575.3832168579102,0.063715994,85,42500,7805,53.17,4250000,0.16144092,2.367469991292164
3.8570611,0.0056665633,0.018415062,0.967802383005619,-0.008039067,582.4118542671204,0.066342,86,43000,8102,59.27,4300000,0.17264953,2.435140952465299
3.8554251,0.0052315174,0.017381934,0.9705639388412237,-0.0076252036,589.1795771121979,0.058534004,87,43500,7857,60.46,4350000,0.15175311,2.358184183682024
3.8449917,0.005631262,0.01936787,0.969944566488266,-0.008104747,595.9741060733795,0.06499202,88,44000,8113,54.87,4400000,0.16097368,2.4226504124407073
3.8261862,0.0055994336,0.019620087,0.9665906764566898,-0.007975956,602.6523361206055,0.064544,89,44500,8019,58.47,4450000,0.17547078,2.666566300341947
