value_loss,true_reward,clipfrac,ep_len_mean,time_elapsed,policy_entropy,approxkl,ep_reward_mean,serial_timesteps,total_timesteps,policy_loss,fps,explained_variance,n_updates
0.0015609073,0.08470099,0.30962002,24.17,28864.68114042282,-7.1634216,0.02807284,1.4592914313077927,2217500,221750000,-0.00019288644,8110,0.9977617727126926,4435
0.00024756358,0.084899835,0.25905192,21.36,28871.273879289627,-7.1675663,0.020444632,1.2673479747772216,2218000,221800000,0.00039977412,8364,0.9996400138770696,4436
0.00022295551,0.08570709,0.25794196,21.09,28877.631321191788,-7.1676326,0.020327196,1.2035987985134124,2218500,221850000,0.00011862585,7956,0.9996839765226468,4437
0.0002255002,0.0850063,0.25270206,20.49,28884.47847676277,-7.1713185,0.019923596,1.0055211281776428,2219000,221900000,-0.00023162438,8620,0.9996853591292165,4438
0.003130749,0.08490756,0.38333997,22.24,28890.759517908096,-7.172978,0.050228506,1.1906393080949784,2219500,221950000,0.0045177834,8011,0.9957895120605826,4439
0.0009668759,0.084667034,0.295326,21.6,28897.60302066803,-7.17715,0.027236544,1.1357318562269212,2220000,222000000,0.00044882906,8350,0.998614581185393,4440
0.0002487706,0.086464256,0.26807407,22.78,28904.25680398941,-7.1814203,0.021327442,1.3142136025428772,2220500,222050000,-5.4441494e-05,8283,0.9996390766464174,4441
0.00023664534,0.08540217,0.26859403,20.57,28910.74130821228,-7.18874,0.021303052,1.1269802087545395,2221000,222100000,0.0006732275,8208,0.9996649427921511,4442
0.00022272825,0.08552163,0.25778,22.94,28917.407033205032,-7.194309,0.020637726,1.2396749964356422,2221500,222150000,-0.0009510232,8099,0.999690729950089,4443
0.0023647058,0.08619505,0.378562,19.54,28924.11371064186,-7.1898456,0.05391937,1.0342658200860024,2222000,222200000,0.0018785814,8207,0.9965301398187876,4444
0.0002568363,0.08565401,0.27682,19.57,28930.8821041584,-7.1875563,0.022166932,1.0466001051664353,2222500,222250000,0.0014988622,8405,0.9996012332558166,4445
0.00022593906,0.08613028,0.260526,20.93,28937.341282606125,-7.1916614,0.020643424,1.1985063290596008,2223000,222300000,-0.0007301055,8327,0.9996908433095086,4446
0.00232786,0.085792884,0.39540595,21.61,28943.79785346985,-7.1897054,0.06574641,1.2188778871297836,2223500,222350000,0.0043203994,8202,0.9967280805576593,4447
0.00024195274,0.08664034,0.26810604,20.71,28950.495824575424,-7.1810102,0.021367263,1.0773809695243834,2224000,222400000,0.0013143729,8310,0.9996430363680702,4448
0.00023484037,0.08591688,0.2606181,22.86,28957.148379087448,-7.1863747,0.020707197,1.3523971784114837,2224500,222450000,0.00034269094,8238,0.9996802227105945,4449
0.00021640232,0.085186824,0.26563,21.44,28963.80707550049,-7.192529,0.020982422,1.1187844011187553,2225000,222500000,-0.0001774595,8169,0.9997041343594901,4450
0.00021929921,0.08539244,0.256262,22.57,28970.522072553635,-7.1983733,0.020214206,1.2128833469748497,2225500,222550000,0.00079705345,8018,0.9997122090426274,4451
0.00022615603,0.08568195,0.26196796,21.61,28977.15905547142,-7.1995745,0.020870617,1.185848190486431,2226000,222600000,-7.025842e-05,8148,0.9996920071425848,4452
0.00021383684,0.08521312,0.26735803,21.54,28983.815010786057,-7.204138,0.021367976,1.2373127403855324,2226500,222650000,0.0015647855,8318,0.999704135232605,4453
0.0030733151,0.08586591,0.42828003,21.58,28990.032395124435,-7.2070255,0.09274741,1.2164780315756798,2227000,222700000,0.005829451,7994,0.995634104590863,4454
0.00031914274,0.08490154,0.273328,20.59,28996.93731880188,-7.2150187,0.022149514,1.0990693065524102,2227500,222750000,0.0005001859,8259,0.9994675107300282,4455
0.0002338456,0.08622708,0.26549,22.24,29003.59637570381,-7.214029,0.021236181,1.2938523653149605,2228000,222800000,0.0008854986,8570,0.9996786724950653,4456
0.0017799085,0.08494113,0.38993195,23.0,29009.95581150055,-7.2106657,0.05488065,1.3024381312727928,2228500,222850000,0.0073028165,7975,0.9972940359730273,4457
0.00025140445,0.08559917,0.27064,19.83,29016.8652946949,-7.2061963,0.021718206,1.0181661626696588,2229000,222900000,0.00017303905,8060,0.9996178227011114,4458
0.00022387743,0.08525627,0.26114398,19.95,29023.634885072708,-7.2063274,0.020717358,1.0567436823248864,2229500,222950000,0.00072380586,8050,0.9996748612320516,4459
0.0009242475,0.085832454,0.3704261,23.33,29030.400925397873,-7.212947,0.03889425,1.431611799299717,2230000,223000000,0.0055853315,8692,0.9986404356313869,4460
0.00023271941,0.085864864,0.25403005,20.46,29036.70526242256,-7.217185,0.020175826,1.0900995969772338,2230500,223050000,0.00079262705,8346,0.9996715199085884,4461
0.00021240095,0.08537098,0.26067603,20.11,29043.35807442665,-7.2198033,0.020508546,1.0787882128357886,2231000,223100000,-5.013527e-05,8334,0.9997047861397732,4462
0.0012517612,0.08556699,0.33758396,18.61,29049.755212783813,-7.2283754,0.033568,0.9541920298337936,2231500,223150000,0.0010998263,8241,0.9981476968387142,4463
0.00096458313,0.0858372,0.346038,25.34,29056.387825727463,-7.232686,0.03339474,1.2902588215470314,2232000,223200000,0.0015495995,8462,0.9983870662981644,4464
