value_loss,true_reward,clipfrac,explained_variance,total_timesteps,ep_len_mean,time_elapsed,ep_reward_mean,policy_loss,fps,serial_timesteps,approxkl,policy_entropy,n_updates
0.1940977,0.003528694,0.059885997,0.9478413835167885,3150000,48.81,416.95926451683044,1.7977946499908284,-0.007666769,8179,31500,0.0053852815,4.3973722,63
0.19379559,0.005871815,0.05717398,0.9482568465173244,3200000,51.65,423.28733015060425,1.6077407028856396,-0.0077690445,7929,32000,0.005192227,4.368341,64
0.16795962,0.012058206,0.053723995,0.9525753669440746,3250000,50.54,430.06916999816895,2.0882754432357613,-0.0074760835,7974,32500,0.0049855364,4.3416166,65
0.18669122,0.010438183,0.046696004,0.9564237929880619,3300000,54.17,436.76055431365967,2.455853837172326,-0.006680054,7704,33000,0.0045882645,4.315944,66
0.18196937,0.0040668864,0.05534601,0.9540985524654388,3350000,47.18,443.83356523513794,1.5957636389232357,-0.0074076396,7919,33500,0.005074805,4.2907124,67
0.18751465,0.011415799,0.056672,0.9563485160470009,3400000,55.62,450.7757363319397,2.063172920220968,-0.0074346517,8157,34000,0.0051631867,4.2687697,68
0.17897367,0.009321283,0.063734,0.9573290124535561,3450000,52.08,457.2356894016266,2.2030013600247913,-0.0076345415,7987,34500,0.0055476986,4.242709,69
0.17723337,0.009061254,0.061010018,0.9574573189020157,3500000,56.31,463.83310079574585,2.644889906430981,-0.007889681,8033,35000,0.00544319,4.2154965,70
0.18027887,0.0077313636,0.054328,0.9560170620679855,3550000,54.52,470.5408675670624,2.2187060949220903,-0.0075446363,7834,35500,0.00513533,4.183949,71
0.1750814,0.011108524,0.058086,0.9632029794156551,3600000,54.89,477.23576617240906,1.9879673243563594,-0.0070545445,8345,36000,0.0052459496,4.155433,72
0.16137421,0.0125157675,0.056826007,0.9645712561905384,3650000,54.48,483.728444814682,2.4543114284462355,-0.007554207,7896,36500,0.00517458,4.1283784,73
0.17849773,0.015004411,0.05336401,0.9603591598570347,3700000,52.31,490.60984921455383,2.150382153835744,-0.006877065,8213,37000,0.004946698,4.1049414,74
0.1800441,0.014383484,0.056948002,0.957100261002779,3750000,52.87,497.23465371131897,1.7600268223050808,-0.0072839316,7934,37500,0.0052198423,4.07504,75
0.1540183,0.013988577,0.06509,0.9676106348633766,3800000,49.88,504.01826786994934,1.9661212800036447,-0.0080224285,7963,38000,0.0056976276,4.0526485,76
0.18059313,0.014426933,0.058581997,0.9623045288026333,3850000,51.62,510.8015835285187,2.364520542607934,-0.007829229,7852,38500,0.005316205,4.0336328,77
0.16265012,0.015029165,0.063526005,0.9643122851848602,3900000,57.5,517.7366046905518,2.1377012438540985,-0.008203178,8098,39000,0.005521085,4.0125937,78
0.16508041,0.016597271,0.063014,0.964138351380825,3950000,61.37,524.483473777771,2.4816342259813973,-0.007816467,7961,39500,0.0055811913,3.9861937,79
0.17025957,0.014746271,0.054894,0.9626363702118397,4000000,50.91,531.0915920734406,2.4319295204158697,-0.0073870514,8088,40000,0.0050995923,3.9519534,80
0.15539737,0.020369578,0.060930002,0.9670980051159859,4050000,57.79,537.7332289218903,2.237800531617395,-0.007964382,7896,40500,0.005491821,3.916127,81
0.16273975,0.01892879,0.056094006,0.9676234312355518,4100000,58.45,544.6190280914307,2.5901963229998,-0.006949691,8112,41000,0.0051051043,3.8885334,82
0.15363288,0.015865497,0.06598199,0.9675681293010712,4150000,66.14,551.2948803901672,3.4350211662505172,-0.00784951,8180,41500,0.0056872745,3.8663733,83
