true_reward,value_loss,policy_loss,fps,approxkl,ep_reward_mean,n_updates,policy_entropy,explained_variance,time_elapsed,clipfrac,ep_len_mean,serial_timesteps,total_timesteps
0.1520832,0.0011330202,0.0014574447,8326,0.02691796,5.8785698011034695,8370,-8.04638,0.9998134545894573,56157.377779483795,0.30869004,52.19,4185000,418500000
0.15175499,0.0010541428,0.0011230165,8168,0.027245216,5.033573480752848,8371,-8.053816,0.999815896662767,56163.901252985,0.31027007,47.59,4185500,418550000
0.15017983,0.004979206,0.00030465686,8360,0.08687245,5.130632277523073,8372,-8.04942,0.9992348603555001,56170.46086335182,0.362568,53.14,4186000,418600000
0.14935142,0.004059906,0.00014979701,8023,0.044987515,5.137169683647644,8373,-8.051833,0.9993330537690781,56176.873134851456,0.33892596,49.61,4186500,418650000
0.1512075,0.0011336659,0.0027406951,8341,0.028979005,4.086740687719175,8374,-8.054009,0.9998086194682401,56183.62374353409,0.321046,44.98,4187000,418700000
0.14744681,0.0014172394,0.004218252,8028,0.02872823,5.00434922975498,8375,-8.0531645,0.9997573057335103,56190.04809308052,0.322526,49.42,4187500,418750000
0.15204214,0.0010462146,0.0020272373,8153,0.028113095,5.700628028354499,8376,-8.053235,0.9998281606531236,56196.87287259102,0.31851596,53.2,4188000,418800000
0.15075453,0.0012203121,0.00078658166,7871,0.027128655,3.885579175075718,8377,-8.046551,0.9997850442741765,56203.445239305496,0.3092419,40.77,4188500,418850000
0.14829569,0.0011638772,7.2011186e-05,8387,0.026779667,4.919863101358151,8378,-8.045079,0.9997999038023409,56210.340517520905,0.30586997,49.06,4189000,418900000
0.1492838,0.0011767034,0.00082820246,8084,0.028057251,4.794706305816407,8379,-8.045296,0.9998018804908497,56216.92940282822,0.31617203,46.84,4189500,418950000
0.15130895,0.0013817069,0.0018774394,8216,0.026061902,4.781805643030266,8380,-8.047159,0.9997671212913701,56223.574227809906,0.30090398,47.0,4190000,419000000
0.15242304,0.001038098,0.0018978971,7726,0.026893353,4.944631792846549,8381,-8.0515785,0.9998253907106118,56230.16954231262,0.30657196,49.39,4190500,419050000
0.1521279,0.0011334437,0.0020764398,7874,0.026242476,5.705951051752116,8382,-8.053937,0.9998060019279364,56237.02662920952,0.30477396,49.91,4191000,419100000
0.14796633,0.0011404735,0.00053137314,8281,0.025936067,4.751234485356708,8383,-8.058839,0.9997985848604003,56243.76453995705,0.29948395,49.41,4191500,419150000
0.15045112,0.0010929785,0.0014894397,7856,0.027877606,5.114542464698097,8384,-8.065361,0.9998125144338701,56250.301871061325,0.313746,47.55,4192000,419200000
0.15165201,0.0010538251,0.0010826789,8002,0.026339542,5.605358240410651,8385,-8.067593,0.999819579126779,56257.24298143387,0.30513602,52.83,4192500,419250000
0.15030958,0.0012268454,0.0014154003,7800,0.027593113,5.0715758808542475,8386,-8.067528,0.9997905920463381,56263.97232222557,0.31452802,50.51,4193000,419300000
0.14884292,0.0013119827,0.0024205733,8087,0.02953166,5.30020629871713,8387,-8.075071,0.9997750022157561,56270.85015940666,0.32633996,50.78,4193500,419350000
