policy_entropy,value_loss,serial_timesteps,n_updates,total_timesteps,policy_loss,clipfrac,explained_variance,ep_len_mean,ep_reward_mean,time_elapsed,approxkl,fps,true_reward
5.491828,0.8626903,25000,50,2500000,-0.00073939783,0.0063040005,-0.13569092750549316,29.48,-3.492545385790072,216.39783692359924,0.0014744515,11499,-0.3684216
5.4739447,0.8711603,25500,51,2550000,-0.0013837523,0.014598,-0.1262441873550415,27.16,-3.312948589570951,220.80849885940552,0.0021228981,11110,-0.3700405
5.458974,0.83246976,26000,52,2600000,-0.0010993244,0.010912,-0.07121467590332031,29.6,-3.9372529025582117,225.37865781784058,0.0018825773,11587,-0.368247
5.446045,0.8254083,26500,53,2650000,-0.0011877356,0.011175999,-0.04748427867889404,28.03,-3.0846519290106333,229.754301071167,0.0019739359,11022,-0.36300644
5.4297795,0.7735808,27000,54,2700000,-0.0012189498,0.015634,-0.03156304359436035,28.0,-3.1464328509027655,234.35356616973877,0.0021494692,10830,-0.36192262
5.4162836,0.7840081,27500,55,2750000,-0.0012501382,0.019212,-0.021675705909729004,27.8,-3.258689250662974,239.03086876869202,0.0024486238,11415,-0.36211327
5.4046874,0.8115163,28000,56,2800000,-0.0007517948,0.00709,-0.026444673538208008,26.4,-3.153819675385821,243.48784685134888,0.0017001998,11338,-0.36052376
5.395906,0.76642925,28500,57,2850000,-0.0011002343,0.014443999,0.011473238468170166,26.81,-3.119362466329912,247.98522567749023,0.0021167041,11715,-0.3622418
5.3902917,0.73036754,29000,58,2900000,-0.0011408321,0.01218,0.009591758251190186,28.41,-3.02115192335541,252.31943774223328,0.002120559,11749,-0.35638207
5.3762655,0.7586986,29500,59,2950000,-0.0009544937,0.011008,0.004562854766845703,24.89,-2.790240609523098,256.66930866241455,0.0019497862,11399,-0.36088875
5.363446,0.6914144,30000,60,3000000,-0.0012851239,0.017549999,0.016048848628997803,27.87,-2.930189187997207,261.144091129303,0.002275715,12281,-0.35377494
5.3543234,0.7197994,30500,61,3050000,-0.0009614071,0.011804,0.019195556640625,27.02,-3.202787328409613,265.2815475463867,0.002038821,12400,-0.3496714
5.3421984,0.73102057,31000,62,3100000,-0.0011024347,0.008273999,0.037030816078186035,24.25,-2.829658603339685,269.38571405410767,0.0015197325,11015,-0.35659206
5.33287,0.6903882,31500,63,3150000,-0.0015470167,0.021019999,0.05686593055725098,26.68,-3.420202434977473,273.9852719306946,0.0026692294,11715,-0.3538214
5.3239303,0.698841,32000,64,3200000,-0.0012145287,0.023776,0.05939650535583496,28.29,-2.93921943017398,278.3130946159363,0.0027331037,12503,-0.35192698
5.32197,0.68562716,32500,65,3250000,-0.0011839968,0.018884,0.053987205028533936,26.61,-2.593540320414886,282.3710720539093,0.0025045704,12525,-0.34345353
5.3148394,0.67717695,33000,66,3300000,-0.0010621788,0.018776001,0.07739114761352539,29.24,-2.1994931612574558,286.42651081085205,0.0025608186,11769,-0.3436825
5.303991,0.6679136,33500,67,3350000,-0.0011069858,0.015824,0.07804518938064575,25.42,-2.5959476709045703,290.73712825775146,0.002328921,10884,-0.35066503
5.2930293,0.67601496,34000,68,3400000,-0.0012698058,0.018976,0.0983167290687561,26.71,-2.7213182344480265,295.4011914730072,0.0025628316,11315,-0.346532
5.2815843,0.69676906,34500,69,3450000,-0.0015296018,0.024988,0.10429823398590088,28.2,-2.8772361283136343,299.9030272960663,0.002953976,11739,-0.34497198
5.2709055,0.6352896,35000,70,3500000,-0.0010804036,0.0136319995,0.12141948938369751,29.62,-3.4035097686963853,304.2234671115875,0.0021131537,11545,-0.3397096
5.2610426,0.62345624,35500,71,3550000,-0.001219277,0.015538001,0.13741976022720337,26.05,-2.7757416536132222,308.6219494342804,0.002160258,11360,-0.3411254
5.2524858,0.62029845,36000,72,3600000,-0.0011569409,0.017088,0.11822038888931274,24.62,-2.3409155188414843,313.084716796875,0.0023820694,11603,-0.34100792
5.2413435,0.5952633,36500,73,3650000,-0.0014324667,0.020089999,0.15390831232070923,23.85,-2.521319180784776,317.4646952152252,0.0025748594,11428,-0.33716446
5.233847,0.56927794,37000,74,3700000,-0.0008575376,0.00976,0.15176314115524292,22.25,-2.101287451768003,321.89897084236145,0.0018840625,11272,-0.3348927
5.2265706,0.5954212,37500,75,3750000,-0.0011001027,0.016994,0.17107266187667847,26.92,-2.326107462033091,326.403888463974,0.002294567,11181,-0.33369786
5.2236247,0.60995543,38000,76,3800000,-0.0007479891,0.00536,0.18241983652114868,25.27,-2.352652474054579,330.9436526298523,0.0015846111,10865,-0.33325332
5.2150626,0.5643583,38500,77,3850000,-0.0015000672,0.025231998,0.1948755979537964,25.24,-2.349003470973112,335.6118423938751,0.0028631433,11871,-0.33343312
5.206695,0.57756865,39000,78,3900000,-0.0009903476,0.014683999,0.2096959948539734,24.55,-2.2237361523305297,339.8865330219269,0.0022364268,10611,-0.3328609
5.199272,0.5704768,39500,79,3950000,-0.0011624119,0.015012001,0.20428287982940674,25.71,-2.4755920037066788,344.6588661670685,0.0021769947,11511,-0.3308153
5.191699,0.5378445,40000,80,4000000,-0.0010985372,0.01295,0.20619499683380127,23.98,-2.067791433868915,349.0614478588104,0.0020275875,10797,-0.3250355
5.183402,0.54009295,40500,81,4050000,-0.001186279,0.017819999,0.21918851137161255,24.64,-2.335868200368277,353.75156569480896,0.0025067688,11687,-0.32751155
5.1691713,0.50074637,41000,82,4100000,-0.0013056479,0.017686,0.2538036108016968,26.92,-2.436426417494786,358.10168075561523,0.0024394174,10686,-0.3197186
5.154214,0.50738764,41500,83,4150000,-0.0013935647,0.019776,0.2702327370643616,24.21,-1.934735662695057,362.84314608573914,0.0026334561,12666,-0.3253873
5.140729,0.4703292,42000,84,4200000,-0.0012986432,0.019067999,0.28352463245391846,21.23,-1.882929060375609,366.8668692111969,0.0025228192,12661,-0.31989253
5.130393,0.5268857,42500,85,4250000,-0.0011660012,0.017924,0.2786359190940857,25.59,-1.9280273834419495,370.8768699169159,0.0024880301,10648,-0.32054058
5.1220107,0.45926505,43000,86,4300000,-0.0012882408,0.018046001,0.31278151273727417,25.5,-2.3547734919773937,375.64050221443176,0.0025627068,11753,-0.31767684
5.113192,0.4356574,43500,87,4350000,-0.0010538098,0.017708,0.3443290591239929,22.67,-1.4438930544132744,379.9579985141754,0.002517768,11193,-0.315854
5.10604,0.4475003,44000,88,4400000,-0.0013453873,0.018412,0.3408515453338623,24.11,-1.9258072254100989,384.486510515213,0.0023863933,11622,-0.31513178
