approxkl,fps,n_updates,ep_len_mean,clipfrac,total_timesteps,serial_timesteps,value_loss,ep_reward_mean,policy_loss,explained_variance,true_reward,time_elapsed,policy_entropy
0.00543464,8142,55,44.79,0.05897001,2750000,27500,0.0040885503,2.0240027415007353,-0.003907204,0.9994419863796793,0.20839466,353.7233316898346,4.5812235
0.006107143,8436,56,45.72,0.06963799,2800000,28000,0.004141228,2.303535213582218,-0.005039696,0.9995466288528405,0.20866291,360.281023979187,4.5274143
0.006160662,8268,57,47.69,0.07083401,2850000,28500,0.0034525946,2.787889853660017,-0.005232211,0.9996742664661724,0.21007489,366.73452830314636,4.469397
0.0066113113,8471,58,50.67,0.07927,2900000,29000,0.0030344331,3.6239996730163693,-0.005780899,0.9997258710500319,0.21176642,373.04456877708435,4.415135
0.0072798925,8625,59,54.77,0.09052998,2950000,29500,0.0028211474,4.887499963194132,-0.006387544,0.9997355256055016,0.21416195,379.5123951435089,4.3603115
0.0069180275,8516,60,54.15,0.08544599,3000000,30000,0.0027133224,4.750478906705975,-0.0058989227,0.9997498099692166,0.21411982,385.73866605758667,4.310866
0.006310758,8635,61,55.87,0.07369199,3050000,30500,0.0022407842,5.334839362483471,-0.0050123287,0.9997995946323499,0.21577223,392.0867373943329,4.2593074
0.0066107283,8571,62,57.85,0.07838999,3100000,31000,0.0021881547,6.010405209511519,-0.004774187,0.9998019647027832,0.21724698,398.3514266014099,4.2038956
0.0070908535,8316,63,59.93,0.09012,3150000,31500,0.0020490903,6.6856056407094,-0.0043339976,0.9998055254545761,0.21884674,404.4090664386749,4.155967
0.006503435,8505,64,62.46,0.078684,3200000,32000,0.001855481,7.569985102694481,-0.0030804097,0.9998344844789244,0.2208319,410.79453706741333,4.1165557
0.006865934,8472,65,63.13,0.084905975,3250000,32500,0.0016783543,7.803508406449109,-0.004583813,0.9998364491038956,0.22136223,416.9468774795532,4.07088
0.0064724777,8427,66,65.74,0.077544,3300000,33000,0.0016258382,8.794436993319541,-0.0035537735,0.9998549646261381,0.22337382,423.2939941883087,4.0269456
0.006032536,8543,67,66.59,0.069312006,3350000,33500,0.0014430796,9.12232421034947,-0.003324233,0.9998553007026203,0.22368592,429.48588252067566,3.9887972
0.0064086975,8372,68,67.22,0.07755401,3400000,34000,0.0015117802,9.37679947381839,-0.0037582205,0.9998624092695536,0.22450605,435.81909584999084,3.9567008
0.006080338,8355,69,69.85,0.069666006,3450000,34500,0.0014686872,10.419652242548764,-0.003424703,0.9998608136811526,0.2265442,442.22692465782166,3.9201245
0.006704249,8031,70,70.11,0.08146201,3500000,35000,0.0011993978,10.539042465798557,-0.0041962746,0.9998867581598461,0.22679226,448.62040281295776,3.877395
0.0068763155,8155,71,71.78,0.08436199,3550000,35500,0.0011183876,11.213248870782554,-0.0033661837,0.9998976555361878,0.22827317,455.33617520332336,3.8330712
0.006356997,8156,72,73.35,0.07274201,3600000,36000,0.0010668063,11.899572404492647,-0.0039229365,0.9999023554846644,0.22971545,461.94375228881836,3.7838814
0.007205452,8332,73,74.34,0.08960601,3650000,36500,0.0011344963,12.338460103776306,-0.0025006188,0.9998972790199332,0.23055016,468.43887162208557,3.7388034
0.006090133,8076,74,75.45,0.07167798,3700000,37000,0.0009945253,12.813336628358812,-0.003357737,0.9999072036298458,0.23147793,474.89123463630676,3.6955254
0.0071027456,8538,75,76.88,0.088134006,3750000,37500,0.0009110318,13.483216308653354,-0.0037087365,0.999916424138064,0.23268743,481.66135597229004,3.6502173
0.005981052,8350,76,78.12,0.06932601,3800000,38000,0.0008873608,14.067066164277493,-0.0024360921,0.9999205190106295,0.23382613,488.04645919799805,3.604744
0.0064130784,8107,77,78.99,0.076654,3850000,38500,0.0008697524,14.44866938168183,-0.0037379689,0.9999199228186626,0.2344214,494.43091773986816,3.5681787
0.006501796,8130,78,80.04,0.076455995,3900000,39000,0.00084212003,14.982158444002271,-0.0041319914,0.9999243629426928,0.23555668,501.0953288078308,3.5258877
0.0071676774,8502,79,80.75,0.090282,3950000,39500,0.0007936318,15.294451499599964,-0.0022411044,0.9999286287857103,0.23620912,507.84779381752014,3.4818585
0.006909945,8261,80,80.63,0.086632006,4000000,40000,0.00089892716,15.264552246388048,-0.001991384,0.9999198302466539,0.23637834,514.2461647987366,3.4506283
0.0072893463,8094,81,81.67,0.09218399,4050000,40500,0.0008317431,15.771332401763647,-0.0030158437,0.9999227112493827,0.23754285,520.8649277687073,3.425909
0.0066680466,8117,82,81.83,0.081904024,4100000,41000,0.0008670713,15.861715591158719,-0.0021972088,0.9999203620754997,0.23755813,527.6544413566589,3.3947754
0.006569664,8365,83,81.26,0.080029994,4150000,41500,0.00084353075,15.638921826388687,-0.0020931677,0.9999226534564514,0.2371822,534.271341085434,3.3560214
0.006925463,8299,84,82.41,0.08583003,4200000,42000,0.0008265844,16.144745951890947,-0.0021197284,0.9999248482126859,0.23831882,540.7791578769684,3.3206108
0.0070806397,8200,85,82.64,0.09029999,4250000,42500,0.0007959623,16.282848321627824,-0.0019333595,0.9999291953063221,0.23865949,547.3882300853729,3.2864664
0.0070666154,8478,86,83.57,0.08864002,4300000,43000,0.0007615779,16.771185982562603,-0.0020508687,0.9999318546178984,0.23951535,554.0682170391083,3.2543838
0.00709049,8389,87,83.89,0.08890199,4350000,43500,0.0008152365,16.92261658605188,-0.0022608307,0.9999307133839466,0.23969646,560.4800653457642,3.2209988
0.006323185,8081,88,84.84,0.07601598,4400000,44000,0.0007907169,17.444996305443347,-0.0021247,0.9999255911534419,0.240745,566.9380860328674,3.1982963
0.007152717,8361,89,84.65,0.08977201,4450000,44500,0.0007335514,17.35145991280675,-0.0021857833,0.9999344180905609,0.2407068,573.7064299583435,3.1741214
0.0070313816,8114,90,85.44,0.088870004,4500000,45000,0.00071846874,17.754980079550297,-0.0030890566,0.9999354157189373,0.24142781,580.1522779464722,3.1468766
0.007327753,8097,91,86.36,0.09402998,4550000,45500,0.00068725744,18.2490046617575,-0.0011956211,0.9999391024794022,0.24236937,586.7955403327942,3.1153421
0.0070347292,8356,92,87.34,0.08684199,4600000,46000,0.00080752966,18.80203280504793,-0.0015671763,0.9999422920700454,0.24338941,593.5991258621216,3.077797
0.007253117,8199,93,87.33,0.08859799,4650000,46500,0.00066988147,18.76770787086338,-0.0013969488,0.9999418895786221,0.24339943,600.0450663566589,3.032568
0.007176376,8186,94,87.1,0.091148004,4700000,47000,0.000649131,18.678732488900422,-0.00082104385,0.999942234459013,0.24325028,606.6769487857819,2.9889774
0.0074262857,8396,95,87.33,0.094084,4750000,47500,0.0006022209,18.838816557228565,-0.001541479,0.9999457713565789,0.243585,613.2250063419342,2.9531286
0.008690679,8404,96,88.12,0.11447004,4800000,48000,0.000703842,19.230932521931827,-8.948108e-05,0.9999437893311551,0.2443423,619.7351222038269,2.9208825
0.0072411294,8134,97,88.01,0.09328201,4850000,48500,0.00062352227,19.222171011976897,-0.0016391792,0.9999361452501034,0.24440943,626.030699968338,2.8932955
0.0077281417,8406,98,88.36,0.099054,4900000,49000,0.00069522415,19.40903315326199,-0.0009327512,0.9999423826266138,0.24478,632.4521248340607,2.8676424
0.0076780124,8220,99,88.83,0.098770015,4950000,49500,0.0006832863,19.652614526972176,-0.0005004265,0.9999316819375963,0.24518962,638.6417601108551,2.83711
0.0071052867,8349,100,88.84,0.08891602,5000000,50000,0.00079550117,19.672042311429976,-0.0013702353,0.9999316238900064,0.24539728,645.2519705295563,2.810438
0.0075274133,8215,101,88.47,0.09493598,5050000,50500,0.0009258802,19.50630798920989,-0.0006543554,0.9999476107768714,0.24486318,651.7384037971497,2.7798994
0.0069538946,8233,102,89.2,0.087945975,5100000,51000,0.00073531247,19.872151549570262,-0.0009764215,0.9999223818886094,0.24566299,658.3070425987244,2.752389
0.008108255,8395,103,89.23,0.10716199,5150000,51500,0.00068701216,19.905567522495986,-0.00093370205,0.999935786210699,0.24576575,664.9126482009888,2.726673
0.0071843676,8902,104,89.22,0.089747995,5200000,52000,0.00070271053,19.908825750034303,-0.0013232119,0.9999388470532722,0.24572387,671.1996612548828,2.6947186
0.0076377513,8621,105,88.97,0.098907985,5250000,52500,0.000727861,19.787904639169575,-0.0009789194,0.9999349841018557,0.24565487,677.0476350784302,2.660296
0.0068194545,8271,106,89.43,0.08456601,5300000,53000,0.0007096038,20.00020238293335,-0.0009799537,0.9999349464851548,0.24590537,683.269689321518,2.6323206
0.008890612,8347,107,88.7,0.11842802,5350000,53500,0.0006774542,19.659798808228224,-0.00037654903,0.9999406663628179,0.24526228,689.7775409221649,2.6128323
0.007091424,8289,108,88.55,0.08976197,5400000,54000,0.00067763036,19.583499116636812,-0.00072167336,0.9999419978739752,0.24532722,696.1271698474884,2.5925727
0.008452896,8560,109,88.46,0.11124201,5450000,54500,0.00090254063,19.575865755770355,-0.00052606815,0.9999422630680783,0.24534394,702.6742315292358,2.5640204
0.0060786577,8529,110,88.66,0.073648006,5500000,55000,0.0012334028,19.676339932940902,8.748117e-06,0.9998597461089958,0.24549139,708.8986043930054,2.5405357
0.0075525255,8488,111,88.67,0.095472,5550000,55500,0.0006767097,19.68728580482304,0.00070246466,0.9999212268012343,0.24543267,715.0483348369598,2.523488
0.005978957,8862,112,88.87,0.069207996,5600000,56000,0.0005479485,19.80736228680238,-0.0014525013,0.9999415729325847,0.24560319,721.4245355129242,2.5016167
0.0066444688,8472,113,88.99,0.082676,5650000,56500,0.0006143729,19.878637040462344,-0.00085352897,0.9999425101086672,0.24572748,727.56427693367,2.481586
0.007351267,8389,114,88.67,0.09515199,5700000,57000,0.0006162954,19.717143037114294,-0.00049409294,0.9999450563591381,0.24552,733.9602589607239,2.4570074
0.0069176746,8431,115,88.8,0.085793994,5750000,57500,0.0006034776,19.77865531105548,-0.00087057287,0.9999486381129827,0.24577612,740.4275894165039,2.4294753
0.006776643,8480,116,89.07,0.08367599,5800000,58000,0.0006094351,19.93781924871728,-0.00092145236,0.9999509692534048,0.24598187,746.839156627655,2.3977168
0.0074273758,8414,117,88.83,0.094134,5850000,58500,0.0006117368,19.81233956830576,-0.0007701375,0.9999483454266738,0.24570148,753.1803004741669,2.3571966
