serial_timesteps,policy_loss,approxkl,ep_reward_mean,n_updates,fps,ep_len_mean,explained_variance,true_reward,total_timesteps,clipfrac,value_loss,policy_entropy,time_elapsed
1234500,-0.0032440382,3.4240568,37.83448184516132,2469,9931,470.42,0.9304720833897591,0.0469401,123450000,0.33107007,1.612284,-4.0017757,13623.00511264801
1235000,0.0031935775,0.1203035,36.99407834933432,2470,9933,469.08,0.9879780486226082,0.049381647,123500000,0.445488,0.20382252,-4.0312366,13628.568449735641
1235500,-2.4105613e-05,0.13577029,35.079406329000065,2471,9906,473.74,0.9793361742049456,0.048321776,123550000,0.36589995,0.3546787,-4.0241647,13634.16110754013
1236000,0.003637912,0.2321676,35.88875321194782,2472,9940,471.15,0.9882247848436236,0.04916699,123600000,0.41486606,0.20202638,-4.018951,13639.665165185928
1236500,-0.0004845324,0.08701767,34.69824632267867,2473,9843,458.74,0.985642178915441,0.036299616,123650000,0.3554919,0.33554798,-3.9998367,13645.128627061844
1237000,0.00023260267,0.10255593,37.00610962565912,2474,9885,468.34,0.9897339753806591,0.047297798,123700000,0.34980193,0.19617838,-4.016378,13650.8082549572
1237500,-0.0009881738,0.103671685,36.013603951874,2475,9895,459.46,0.9778620395809412,0.043436475,123750000,0.4999501,0.45057854,-4.044119,13656.384911060333
1238000,0.00020160452,0.3113117,36.466607170484714,2476,9928,457.66,0.9756156653165817,0.04301166,123800000,0.45024794,0.5318138,-4.0480123,13661.794680833817
1238500,0.0010303167,0.16184242,35.437014265235376,2477,9870,466.15,0.9815801847726107,0.0424235,123850000,0.42095393,0.39524552,-4.031733,13667.433792829514
1239000,0.0047788983,0.076534025,32.94774484621894,2478,9904,447.47,0.9435583129525185,0.04606313,123900000,0.504628,1.0598305,-4.0311584,13673.049254894257
1239500,-0.0013386512,0.08983854,34.80523337464412,2479,9938,452.11,0.9730637706816196,0.03619474,123950000,0.4776461,0.6376767,-4.033926,13678.690688610077
1240000,-0.0048704864,0.70486856,36.74592107519316,2480,9883,477.21,0.9780757427215576,0.052955054,124000000,0.2867441,0.37195945,-4.058838,13683.945967197418
1240500,0.0022603185,0.075351976,36.72098654696041,2481,9852,474.33,0.9938619206659496,0.05414957,124050000,0.43944794,0.08022694,-4.109466,13689.540038108826
1241000,-0.0068285596,1.731509,35.70395599444218,2482,9780,467.85,0.895647443830967,0.035767246,124100000,0.29811993,2.795297,-4.132679,13695.032754182816
1241500,0.004924532,0.09268968,37.42474529349154,2483,9906,475.42,0.990791262127459,0.055159364,124150000,0.44043395,0.12934636,-4.135547,13700.733120441437
1242000,0.0025364477,1.1190789,36.647137745297286,2484,9921,461.74,0.9739697519689798,0.0419293,124200000,0.3364,0.551669,-4.1285796,13706.238720178604
1242500,0.0018003264,0.102453165,36.38491898031505,2485,9852,467.04,0.9920380720868707,0.04645951,124250000,0.39726394,0.13805133,-4.132773,13711.791299581528
1243000,0.004692372,0.12945434,36.147827114134955,2486,9922,473.23,0.9862433429807425,0.050360005,124300000,0.42769593,0.22730482,-4.1524534,13717.313930988312
1243500,0.0028031573,0.20393278,36.07945213504501,2487,9931,462.69,0.9815219268202782,0.042075634,124350000,0.38870403,0.36524525,-4.119764,13722.827756643295
1244000,0.0020798868,0.0957379,37.203693453333365,2488,9947,472.14,0.9929459332488477,0.052708007,124400000,0.40581605,0.10369171,-4.104599,13728.233930587769
1244500,0.0018184453,0.1259183,37.306545304354366,2489,9931,471.31,0.9815089851617813,0.050677843,124450000,0.461032,0.31546298,-4.078288,13733.753848552704
1245000,-0.0010668588,0.113745175,35.35206113659803,2490,9912,459.63,0.9798532053828239,0.038523182,124500000,0.37877998,0.44089258,-4.0800805,13739.160162448883
1245500,0.0047494904,0.19630107,38.01056929293891,2491,9950,466.07,0.9789717309176922,0.0476596,124550000,0.416044,0.41688186,-4.047627,13744.807707548141
1246000,-0.0016399203,0.23425059,34.716300097628576,2492,9938,464.77,0.975544011220336,0.04066653,124600000,0.37259194,0.5169545,-4.04913,13750.208572626114
