approxkl,policy_entropy,n_updates,clipfrac,value_loss,fps,explained_variance,policy_loss,total_timesteps,ep_reward_mean,serial_timesteps,time_elapsed,true_reward,ep_len_mean
0.0052573043,4.557067,77,0.057987995,0.09182412,8490,0.9865147350355983,-0.007427187,3850000,10.411766590098996,38500,495.1136350631714,0.03452085,278.23
0.005508271,4.5299873,78,0.061164,0.08059185,8369,0.9858406139537692,-0.0074689705,3900000,11.0211004145477,39000,501.6335611343384,0.03271191,330.26
0.0052869474,4.502539,79,0.058795992,0.06767226,8334,0.9872799227014184,-0.0074817296,3950000,11.784729632541175,39500,508.11084485054016,0.033446074,362.6
0.0048769778,4.4901657,80,0.051971998,0.08014603,8115,0.9857881544157863,-0.0069616865,4000000,12.240273729241789,40000,514.715939283371,0.03537318,346.79
0.0047824085,4.472891,81,0.051313993,0.06893314,8103,0.9875553632155061,-0.007458936,4050000,13.119722327952218,40500,521.4009535312653,0.03665773,370.18
0.0048824577,4.449682,82,0.051004,0.07228021,8336,0.9873725976794958,-0.0072830375,4100000,11.955120003465108,41000,527.8952360153198,0.03628416,328.79
0.0052248873,4.4216833,83,0.057320014,0.064848095,8099,0.987693683244288,-0.007194257,4150000,13.00478287579093,41500,534.4133412837982,0.03864728,339.22
0.0049147154,4.4039516,84,0.05342998,0.06653308,7848,0.9879208477213979,-0.0073853564,4200000,12.540819351559222,42000,540.9347975254059,0.039331716,324.42
0.0047900737,4.3810945,85,0.050221995,0.06710196,8144,0.9854412488639355,-0.0075287437,4250000,12.387302624004842,42500,547.8170580863953,0.03634729,350.85
0.0047083693,4.351058,86,0.048510004,0.06346662,8514,0.9879895448684692,-0.0071138386,4300000,13.36551489458885,43000,554.4292833805084,0.039837755,337.09
0.0046116672,4.3214774,87,0.045994,0.053394426,8196,0.9878366459161043,-0.0070997663,4350000,13.119894995018853,43500,560.6897027492523,0.037605625,354.69
0.004881831,4.2934384,88,0.052281998,0.05471367,8169,0.9883657172322273,-0.007440709,4400000,12.468999053921452,44000,567.2538154125214,0.038438946,324.56
0.004956329,4.2548356,89,0.051659986,0.051065806,8428,0.9890126064419746,-0.0076399427,4450000,13.255618396460184,44500,573.949236869812,0.040344726,331.97
0.0048328256,4.214627,90,0.050018,0.046290673,8128,0.9897236526012421,-0.007908961,4500000,12.92445524404593,45000,580.2999773025513,0.040004734,309.4
0.004798825,4.178322,91,0.051505994,0.044075932,8456,0.989431275986135,-0.007923709,4550000,11.277270442555219,45500,586.7918632030487,0.038708758,306.24
0.004856154,4.148258,92,0.050036,0.053883232,8393,0.9878284763544798,-0.0070966645,4600000,12.77733247276531,46000,593.0847866535187,0.04060779,327.25
0.004859648,4.113626,93,0.051094003,0.033852894,7918,0.9915687739849091,-0.0073247463,4650000,12.934919850319401,46500,599.2574143409729,0.03994665,315.87
0.0048155347,4.0779943,94,0.051029995,0.032781962,8122,0.9925227514468133,-0.008159242,4700000,13.297092191947838,47000,606.0525243282318,0.040461615,332.73
0.004570328,4.0467086,95,0.04707799,0.03474069,8486,0.9918055022135377,-0.0074864356,4750000,13.35133741200606,47500,612.5806179046631,0.042135373,313.68
0.0054193134,4.0082493,96,0.059559997,0.029937003,8082,0.9930163649842143,-0.008226849,4800000,12.433569866345676,48000,618.9882531166077,0.039781842,320.14
0.004770222,3.984677,97,0.0508,0.038425792,8161,0.9917016765102744,-0.0075046355,4850000,13.137923874150092,48500,625.450599193573,0.04490979,285.99
0.005602135,3.960946,98,0.06370201,0.04050721,8350,0.9910897156223655,-0.0075412155,4900000,13.986988221226374,49000,632.1883175373077,0.041450236,329.61
0.0046970826,3.9416242,99,0.04887399,0.046873074,8260,0.9912001555785537,-0.006710715,4950000,12.390914245530567,49500,638.4639248847961,0.045069464,265.19
0.0047019743,3.925479,100,0.048998002,0.045221284,8278,0.9905608333647251,-0.0072349603,5000000,13.116015515841896,50000,644.8693222999573,0.04266964,310.59
0.0045071268,3.9058845,101,0.046701994,0.039499316,8026,0.9918996328487992,-0.0072860317,5050000,13.107177556648548,50500,651.5262954235077,0.04432144,300.95
0.005123384,3.889541,102,0.056689996,0.04388729,8122,0.9918968230485916,-0.007686363,5100000,13.493865212906785,51000,658.3963227272034,0.04625607,275.02
0.004889597,3.8656757,103,0.051032,0.023188168,8179,0.9945278917439282,-0.006857035,5150000,11.701400337494686,51500,665.0904760360718,0.040884163,287.77
0.004844477,3.8543007,104,0.05192801,0.046641078,8436,0.9918404407799244,-0.008638487,5200000,12.349456595434003,52000,671.3952474594116,0.046931352,244.23
0.0047534644,3.8399267,105,0.049179997,0.041686397,8401,0.9918313072994351,-0.0071537835,5250000,12.797882275279326,52500,677.7691061496735,0.046893533,243.94
0.004856688,3.8190558,106,0.051926002,0.042589013,8170,0.9921122463420033,-0.0071610794,5300000,12.687580950293578,53000,684.3081471920013,0.04660014,255.59
0.004791487,3.7955427,107,0.051658,0.032714985,8157,0.9938693339936435,-0.007866534,5350000,12.744389492860442,53500,690.9345028400421,0.04739485,246.67
0.0047034225,3.772548,108,0.04930999,0.04056689,8148,0.9921219004318118,-0.007304462,5400000,12.527949968373768,54000,697.6619069576263,0.04436574,268.63
0.005026355,3.7528367,109,0.054023992,0.032969724,8608,0.9940366912633181,-0.007550972,5450000,12.929420448381789,54500,704.2411813735962,0.04759952,269.49
0.0047842916,3.7372808,110,0.049232006,0.04871729,8540,0.9907354330644011,-0.007305824,5500000,13.603220372627856,55000,710.4617693424225,0.045542426,281.09
0.0044702254,3.7308433,111,0.04577601,0.027823787,8667,0.9946209681220353,-0.0072286534,5550000,13.209303684853003,55500,716.9313161373138,0.045555662,281.44
0.00502659,3.7277207,112,0.054387998,0.03366706,8239,0.9937699614092708,-0.0071369424,5600000,13.069623941152605,56000,723.1396601200104,0.04776155,268.43
0.005011352,3.707553,113,0.053778004,0.032974083,8413,0.994330617133528,-0.007429924,5650000,13.666862427557671,56500,729.7740178108215,0.050498407,264.56
0.005048614,3.68304,114,0.053864006,0.02804242,8496,0.9949042713269591,-0.007056496,5700000,12.95066186744338,57000,736.1868269443512,0.048794396,253.48
0.0048659244,3.6642208,115,0.050962,0.03627844,8126,0.9936317321844399,-0.0072769737,5750000,12.304714646128069,57500,742.3142380714417,0.04898552,224.7
0.005078618,3.6548307,116,0.055137992,0.023554666,8577,0.9957634541206062,-0.007152102,5800000,13.917380860496623,58000,748.9713091850281,0.05229088,256.34
0.0047256346,3.6518252,117,0.050361995,0.033533942,8094,0.9938494116067886,-0.0063635693,5850000,12.718153464434872,58500,755.3682787418365,0.047923516,236.4
0.004778685,3.6401365,118,0.04933001,0.049817193,8154,0.9916795063763857,-0.0066442504,5900000,12.55612561805694,59000,762.1403708457947,0.050499707,225.3
0.0051018856,3.6222887,119,0.054542,0.036442492,8388,0.9940673410892487,-0.0070567406,5950000,13.106202002330829,59500,768.8180968761444,0.05360604,213.24
0.0049700765,3.5961947,120,0.053215995,0.021050928,8181,0.9961870163679123,-0.0075314236,6000000,13.052478318247928,60000,775.2060503959656,0.050758686,230.73
0.00526794,3.5740778,121,0.05852399,0.024406264,8295,0.9954005870968103,-0.007356614,6050000,13.78072216581877,60500,781.6819276809692,0.050483864,258.2
0.004960351,3.560937,122,0.053313993,0.0525302,8123,0.9922095648944378,-0.006742972,6100000,13.350148857678832,61000,788.266674041748,0.056491703,201.99
0.0051694685,3.5427117,123,0.05691799,0.03337267,8243,0.9943862841464579,-0.0075533446,6150000,13.00181139555365,61500,794.9765753746033,0.054371823,228.71
0.005157223,3.5206966,124,0.055748,0.032540746,8375,0.994452178478241,-0.0059780884,6200000,13.059147427605135,62000,801.2601089477539,0.05403497,198.64
0.0051953853,3.4967587,125,0.056982003,0.029172013,8120,0.9954655938781798,-0.007781407,6250000,13.017113681549999,62500,807.8075242042542,0.05534533,225.79
0.005474351,3.481059,126,0.060583994,0.033777338,8188,0.9943088055588305,-0.007716535,6300000,13.608354669718064,63000,814.5178978443146,0.0526765,250.74
0.0048893993,3.4731228,127,0.05214001,0.034220427,8443,0.9942377046681941,-0.0056333877,6350000,12.496033280155999,63500,821.1034119129181,0.052626852,228.85
0.0046905857,3.4676979,128,0.049815994,0.028091662,8338,0.9954322655685246,-0.0076234126,6400000,13.301096060255492,64000,827.5990438461304,0.05570382,208.42
0.004759489,3.462698,129,0.05008001,0.021480264,8327,0.9961977517232299,-0.0076073534,6450000,13.177027061541121,64500,833.9834921360016,0.053650215,215.2
0.0054528015,3.4466398,130,0.061465997,0.016401757,8326,0.9968056858051568,-0.00825037,6500000,11.91133942625829,65000,840.432030916214,0.050154332,215.63
0.005354568,3.421501,131,0.060220014,0.016833887,8276,0.997025711927563,-0.007966105,6550000,12.436058543060607,65500,846.9840779304504,0.054645855,197.95
0.0057507576,3.3862348,132,0.06496602,0.020094113,8265,0.9967179994564503,-0.00830401,6600000,12.536925740721708,66000,853.6232390403748,0.0573337,195.04
0.004997012,3.3658042,133,0.053507995,0.02113655,8309,0.9963040908332914,-0.007379061,6650000,12.104622125455553,66500,860.1723494529724,0.055357162,196.0
0.0055365283,3.3484855,134,0.06279,0.02202092,8552,0.9962890686001629,-0.007892177,6700000,13.024981033835429,67000,866.6346478462219,0.055190973,215.51
0.0051259017,3.3355706,135,0.057254,0.024629068,8348,0.9961278114933521,-0.0073205004,6750000,13.710579246371642,67500,872.9577219486237,0.056141395,220.93
0.0053136433,3.3196094,136,0.059585996,0.025004106,8298,0.9959246120415628,-0.0074116816,6800000,12.53727828541545,68000,879.4429280757904,0.054538917,216.28
0.005307644,3.2951438,137,0.059183992,0.023148313,8708,0.9964153035543859,-0.0068797823,6850000,12.827742119590148,68500,885.8334565162659,0.05777356,201.55
0.005234195,3.275632,138,0.057126,0.01739916,8308,0.9973198377992958,-0.007081334,6900000,13.033295530474561,69000,892.0975334644318,0.058911886,182.46
0.0049833227,3.273046,139,0.054967985,0.01603283,8273,0.9971934841014445,-0.0073182797,6950000,12.55822749135491,69500,898.7231140136719,0.05573229,189.52
0.0050174017,3.271028,140,0.055098005,0.023340449,8525,0.9963040556758642,-0.006692245,7000000,12.674069754137717,70000,905.2128825187683,0.057277076,211.0
0.0054475893,3.2583408,141,0.061942004,0.021608746,8020,0.9964212169870734,-0.007906948,7050000,12.549510962077312,70500,911.2801244258881,0.056322582,213.33
0.0053497064,3.2496722,142,0.059714008,0.023999548,8222,0.9960766518488526,-0.0081938235,7100000,13.210449365250215,71000,918.0523028373718,0.05722893,210.23
0.0048228507,3.2475293,143,0.050970003,0.04218198,8122,0.9935123245231807,-0.0052324645,7150000,12.93614196419689,71500,924.6691689491272,0.059700456,180.25
0.0054998402,3.2426078,144,0.06296801,0.0211754,8395,0.9966003082226962,-0.007958085,7200000,12.86850213230392,72000,931.1994314193726,0.059339102,188.72
0.005078505,3.228565,145,0.055842005,0.042816833,8132,0.9938600496388972,-0.006171355,7250000,11.915581609683299,72500,937.7780394554138,0.06110058,172.8
0.005189577,3.2250364,146,0.058537994,0.03497103,8117,0.994867357891053,-0.00657631,7300000,13.329277797453488,73000,944.3456943035126,0.060612027,186.4
0.0053071342,3.2260604,147,0.059715986,0.033459045,8340,0.9951687818393111,-0.006865934,7350000,13.252198588500278,73500,951.0526487827301,0.060622714,184.24
0.0051077865,3.2209442,148,0.056514006,0.023400193,8236,0.9964714664965868,-0.0075119035,7400000,12.26993985184341,74000,957.3274004459381,0.060303003,185.07
0.0050822026,3.2050748,149,0.054286,0.03614249,8547,0.9945112909190357,-0.00630751,7450000,11.880011905263974,74500,963.8786635398865,0.0584293,185.35
0.0052936757,3.1844409,150,0.057516,0.026520364,8314,0.9956371267326176,-0.008069044,7500000,10.913419097329697,75000,970.1979901790619,0.05668998,171.26
0.0054806946,3.1757402,151,0.062269997,0.02907817,8351,0.9958465998061001,-0.007096603,7550000,13.017266964756413,75500,976.7484087944031,0.062701456,179.59
0.0051936377,3.1699624,152,0.057238005,0.039871227,8368,0.9939531721174717,-0.005641286,7600000,11.723173866191173,76000,983.2634332180023,0.059020825,179.84
0.005581783,3.1533835,153,0.063995995,0.01193804,8446,0.9981477493420243,-0.0076451027,7650000,13.483846533833265,76500,989.7669622898102,0.06226475,209.23
0.0050929463,3.1444464,154,0.055924002,0.032332707,8313,0.9952318533323705,-0.0074753733,7700000,13.312287329211612,77000,996.1232352256775,0.0625988,181.44
0.0049778353,3.1368802,155,0.053602,0.013312435,8599,0.9979332524817437,-0.007577488,7750000,12.625065753533727,77500,1002.7616155147552,0.062790096,164.86
0.005262093,3.1180232,156,0.05835,0.024744844,8351,0.9962571545038372,-0.0076384163,7800000,12.615136718295762,78000,1008.8748555183411,0.057819907,193.97
0.005561651,3.1052527,157,0.062548,0.029368607,8195,0.9955983841791749,-0.007246864,7850000,13.878519399096184,78500,1015.3764846324921,0.06284833,192.89
0.005203672,3.0798957,158,0.056746006,0.017359072,8153,0.9972570009995252,-0.0072309147,7900000,13.12544522576511,79000,1021.9199800491333,0.06316553,197.83
0.005263345,3.050885,159,0.058410004,0.010459593,8158,0.9983013368910179,-0.007626524,7950000,12.149446724205678,79500,1028.5985321998596,0.06368894,168.99
0.0048181904,3.0339315,160,0.051643997,0.028962292,8123,0.9957963796332479,-0.007048218,8000000,12.351339985731066,80000,1035.312622308731,0.061308764,166.24
0.005173773,3.0367234,161,0.05784,0.019813268,8439,0.9971289096865803,-0.007585543,8050000,13.261324938514587,80500,1041.9645283222198,0.065962456,170.16
0.0056194635,3.0275261,162,0.06408001,0.015150696,8190,0.9977413390297443,-0.0074424976,8100000,12.581390703994382,81000,1048.2673108577728,0.06385493,175.79
0.0054688565,3.0116193,163,0.061814,0.01902087,8337,0.9971855524927378,-0.0072490503,8150000,12.916491174436688,81500,1054.8293285369873,0.06394224,187.43
0.005380545,2.9976285,164,0.059848,0.017322399,8309,0.9974716014694422,-0.007902479,8200000,12.09245290545341,82000,1061.196513414383,0.066060685,169.18
0.0055255513,2.9724379,165,0.061457995,0.016037423,8010,0.9975994359701872,-0.007567743,8250000,12.783914662116631,82500,1067.5802903175354,0.064330086,191.8
0.0054760175,2.958503,166,0.062702,0.01838483,8214,0.9970947245601565,-0.007678261,8300000,12.360706222931613,83000,1074.3454883098602,0.06244528,172.95
0.005490743,2.9519577,167,0.06084001,0.041647553,8109,0.994516521692276,-0.0063567595,8350000,13.671798255837082,83500,1080.9655730724335,0.06592775,195.64
0.0054284525,2.9534185,168,0.061669998,0.042347077,8465,0.9945960594341159,-0.006318609,8400000,12.660485268549818,84000,1087.6230788230896,0.06681811,163.58
0.005725707,2.9439008,169,0.065192,0.01441626,8299,0.997935019666329,-0.0068572136,8450000,12.428843477843893,84500,1094.083389043808,0.06707418,155.83
0.0061062006,2.9217026,170,0.072286,0.02628701,8387,0.9962381848599762,-0.008009251,8500000,12.51847625256727,85000,1100.3598420619965,0.06699617,155.01
0.00531758,2.9151735,171,0.058609985,0.028588472,8397,0.9958219467662275,-0.006100651,8550000,11.077787405935123,85500,1106.8435361385345,0.06343484,162.08
0.0057616634,2.9082284,172,0.067260005,0.01632292,8278,0.9977015936747193,-0.007982332,8600000,12.522985029133434,86000,1113.23885679245,0.07139503,146.4
0.004907081,2.9053082,173,0.053452,0.045729328,8036,0.9938425677828491,-0.0059608426,8650000,11.67365289807116,86500,1119.781229019165,0.06892842,136.6
0.0058179307,2.8916063,174,0.066425994,0.018284328,8542,0.9975116287823766,-0.008077757,8700000,11.6159621612487,87000,1126.3956415653229,0.0698357,138.52
