serial_timesteps,clipfrac,ep_len_mean,n_updates,true_reward,total_timesteps,value_loss,ep_reward_mean,approxkl,policy_entropy,policy_loss,explained_variance,fps,time_elapsed
1740000,0.43487602,493.97,3480,0.073767245,174000000,0.23031737,40.16269340776729,0.20377797,-5.707317,0.0045129173,0.9641649052500725,8291,22766.09050965309
1740500,0.41160992,496.1,3481,0.0761862,174050000,0.15662985,40.06097917419327,0.3621986,-5.7102356,0.015750693,0.9648328609764576,8447,22772.537455558777
1741000,0.46773607,496.69,3482,0.078129865,174100000,0.12542276,40.87246010838873,0.3749692,-5.712104,0.005234356,0.9680284596979618,8106,22779.015483140945
1741500,0.51818204,498.05,3483,0.08107445,174150000,0.08800233,41.515243393977556,0.23382488,-5.6997957,0.006004213,0.9663240313529968,8252,22785.42684483528
1742000,0.34911597,494.44,3484,0.0755329,174200000,0.2047521,40.411149386047526,0.41889596,-5.7007265,-0.0010275033,0.9626935161650181,8020,22791.888756513596
1742500,0.443318,496.06,3485,0.076786734,174250000,0.14928962,40.32393592254484,0.26056796,-5.70903,0.004983011,0.9665660001337528,7932,22798.698973178864
1743000,0.423072,495.84,3486,0.07799322,174300000,0.07795769,40.899123977922066,0.21986735,-5.6871834,0.0064511276,0.9810585342347622,8297,22805.538405656815
1743500,0.44882804,497.01,3487,0.0789341,174350000,0.09817027,41.089878393786655,0.29720104,-5.671295,0.006195453,0.9713559169322252,7948,22811.89235305786
1744000,0.350032,494.46,3488,0.07231682,174400000,0.21475306,38.90349082233137,0.23820129,-5.632128,0.0020053315,0.963860247284174,8324,22818.690870285034
1744500,0.3636261,493.15,3489,0.072135046,174450000,0.21390983,39.45385789689178,0.25207478,-5.6141677,0.0041782605,0.9694813899695873,8170,22825.045241832733
1745000,0.3479759,493.16,3490,0.07135084,174500000,0.22910123,39.0462298115902,0.5004886,-5.596976,0.001021189,0.9691524785012007,8106,22831.49913907051
1745500,0.53561413,496.99,3491,0.08135336,174550000,0.075855926,42.161865810992985,0.1861556,-5.6012087,0.0063042874,0.975949015468359,8230,22838.13638305664
1746000,0.40127194,490.7,3492,0.07296052,174600000,0.2398908,41.107707187309124,0.20594865,-5.5895185,0.00078660215,0.9670984782278538,8141,22844.782274007797
1746500,0.4646779,494.62,3493,0.074904494,174650000,0.18317235,40.21520778270744,0.14650635,-5.6023574,0.0026668722,0.9697139319032431,8092,22851.295560359955
1747000,0.5142041,494.78,3494,0.076354705,174700000,0.17842077,40.783790174889525,0.18820764,-5.6137404,0.00095981837,0.9657762125134468,8329,22857.95983338356
