n_updates,policy_loss,policy_entropy,total_timesteps,approxkl,clipfrac,explained_variance,true_reward,ep_reward_mean,fps,value_loss,time_elapsed,ep_len_mean,serial_timesteps
94,-0.008307411,3.648514,4700000,0.0055978955,0.063252,0.9462455250322819,0.046545174,3.5055090439962804,8031,0.3479812,628.2388572692871,56.2,47000
95,-0.008274735,3.6137648,4750000,0.005691618,0.065644,0.9451480098068714,0.051254466,3.386351436943369,8408,0.32374194,635.0444571971893,60.98,47500
96,-0.0075831087,3.587842,4800000,0.0052469964,0.05756801,0.9440079405903816,0.0552094,2.6118337969347705,7974,0.3451497,641.3127262592316,50.96,48000
97,-0.008948651,3.570255,4850000,0.0056739957,0.06668,0.9513205252587795,0.056438822,3.6457063705359176,7925,0.32527444,648.182843208313,57.02,48500
98,-0.007994993,3.5557523,4900000,0.0052536465,0.057855994,0.9494623504579067,0.049820352,2.2082607965524947,8201,0.32536292,655.073340177536,49.19,49000
99,-0.008376872,3.535192,4950000,0.0056874435,0.065994,0.9477244354784489,0.04976766,2.578565429814771,8223,0.33430472,661.7430965900421,49.92,49500
100,-0.007977547,3.5105407,5000000,0.005591343,0.06419799,0.9483600966632366,0.057042316,2.9590339273730932,8225,0.31820095,668.0432708263397,52.33,50000
101,-0.008181305,3.488703,5050000,0.0057594692,0.067891985,0.957438763231039,0.057156544,3.784076861935464,8427,0.2779519,674.8020985126495,58.47,50500
102,-0.008061595,3.4737444,5100000,0.005672941,0.06545402,0.9538468047976494,0.057518102,2.7947232735632133,7872,0.3042676,681.2696690559387,54.56,51000
103,-0.008950232,3.4560447,5150000,0.005819846,0.06942399,0.9556462503969669,0.060425118,2.6127013301692203,8120,0.3011834,688.1359965801239,53.07,51500
104,-0.0077916933,3.4355514,5200000,0.0059838267,0.071155995,0.9545386768877506,0.059210785,3.2131166042997212,8150,0.30652305,694.6977846622467,57.9,52000
105,-0.00854084,3.409932,5250000,0.0060871947,0.07264201,0.9525372162461281,0.056209162,3.4297371671377914,8417,0.31097457,701.4368124008179,61.41,52500
106,-0.008116708,3.387508,5300000,0.0055270637,0.06289599,0.9553467407822609,0.06363054,3.247912347287929,8206,0.3142844,707.8860745429993,55.0,53000
107,-0.008408764,3.3652835,5350000,0.006203607,0.075032,0.9560869075357914,0.061955724,4.18260217629635,8326,0.30062953,714.4496200084686,64.33,53500
108,-0.008317368,3.341165,5400000,0.0059960443,0.071270004,0.9585510492324829,0.061727762,3.2370723600193743,7952,0.27234265,720.9859297275543,54.93,54000
109,-0.00844794,3.3216236,5450000,0.0058811433,0.068859994,0.960632361471653,0.058307286,2.5384920975437852,8406,0.29352924,727.841634273529,56.9,54500
110,-0.0084601985,3.3099496,5500000,0.0058262306,0.069294,0.956219594925642,0.059588227,2.5845950921547773,8338,0.2889911,734.3219261169434,52.7,55000
111,-0.00876559,3.2932959,5550000,0.0057356535,0.06715199,0.9595702216029167,0.06284862,3.3720167206186304,8213,0.29753694,740.8212277889252,58.05,55500
112,-0.008301484,3.2812786,5600000,0.0057358523,0.067436,0.9556503109633923,0.06234039,3.176604766808887,7832,0.31713048,747.4540581703186,56.51,56000
113,-0.008097896,3.2672675,5650000,0.005881361,0.06912401,0.9597947560250759,0.068442166,2.8284256285360607,7657,0.28360474,754.2219507694244,50.66,56500
114,-0.008357448,3.240266,5700000,0.00609078,0.072182,0.9584666676819324,0.062328354,4.354872171727475,8070,0.2895559,761.2574999332428,62.72,57000
115,-0.0083565125,3.2211945,5750000,0.006018243,0.07187,0.9590515159070492,0.066340536,3.3636478700331645,7985,0.28333104,767.9745993614197,57.23,57500
116,-0.008983117,3.2014346,5800000,0.0061179334,0.073922,0.9626459181308746,0.061180815,2.5701547754040437,8140,0.2852046,774.7242670059204,48.58,58000
117,-0.008170417,3.1778357,5850000,0.005755656,0.06665999,0.957447849214077,0.061518922,3.2743004036270578,7896,0.28797314,781.3488168716431,56.0,58500
118,-0.0083224885,3.1521654,5900000,0.0058774324,0.06881999,0.9618733413517475,0.06703609,3.628133068523457,7919,0.28824306,788.2165305614471,55.33,59000
119,-0.0089406865,3.1318958,5950000,0.0063501657,0.078034,0.9625896140933037,0.067318,3.2290775871144435,8602,0.26933578,795.166374206543,54.06,59500
120,-0.008317949,3.1112041,6000000,0.006070326,0.071652,0.9614388793706894,0.06864952,4.655858380695354,8224,0.2759488,801.5409913063049,65.67,60000
121,-0.008162573,3.085885,6050000,0.005856435,0.068097994,0.9577531740069389,0.066511914,3.6372283022804184,7881,0.28991038,808.1304371356964,58.17,60500
122,-0.008241641,3.063595,6100000,0.006015786,0.071513996,0.9622487276792526,0.07183799,2.7713658065935305,7765,0.26416913,814.9903790950775,50.57,61000
123,-0.008789548,3.044689,6150000,0.0059529124,0.070532,0.963362205773592,0.074545756,4.319783664188581,8095,0.26014403,822.0628464221954,56.76,61500
124,-0.008452687,3.0284414,6200000,0.006150091,0.07352,0.9600449241697788,0.07859143,4.32260302831688,8002,0.28077075,828.7620439529419,57.89,62000
125,-0.008599489,3.0064013,6250000,0.006628507,0.08143799,0.9625496342778206,0.07104224,3.5618547548852804,7982,0.27119103,835.6637353897095,53.91,62500
126,-0.008015403,2.9831972,6300000,0.0059780166,0.070516,0.9601866751909256,0.06999378,4.476484944752374,8082,0.28605676,842.4470479488373,63.79,63000
127,-0.008964938,2.962764,6350000,0.006346832,0.078166,0.9642734192311764,0.07223066,3.2915850731603857,8248,0.27317944,849.1441068649292,56.58,63500
128,-0.008980931,2.9515324,6400000,0.0062282155,0.075628005,0.9599155150353909,0.07523024,4.347281578703915,7899,0.28929493,855.6754128932953,57.7,64000
129,-0.008939405,2.9262404,6450000,0.006348933,0.07593399,0.9632820300757885,0.07442027,2.876619998445094,7958,0.27281725,862.2221901416779,55.01,64500
130,-0.008853986,2.901751,6500000,0.0067226226,0.08340001,0.9591370150446892,0.07267431,3.323682531194463,8122,0.27937013,868.8685119152069,51.37,65000
131,-0.008096611,2.8808756,6550000,0.0060464498,0.071827985,0.9628487378358841,0.07329398,3.3662262004541117,7782,0.27676994,875.5880994796753,54.02,65500
132,-0.009276596,2.8596137,6600000,0.0062694442,0.07572601,0.9631833247840405,0.073184475,3.4210168125628115,7822,0.27260667,882.6400172710419,56.6,66000
133,-0.008791726,2.8416414,6650000,0.0063125277,0.075847976,0.9611985273659229,0.07449874,4.141461625872762,8259,0.30652577,889.3724095821381,57.44,66500
134,-0.008706581,2.818763,6700000,0.006510005,0.07958,0.964367937296629,0.07417674,3.2199733797925,8232,0.253635,896.0199756622314,56.46,67000
135,-0.009084545,2.7950468,6750000,0.006304981,0.07674399,0.962148692458868,0.08044336,4.612442944475915,8009,0.28399608,902.4976305961609,56.18,67500
136,-0.009196832,2.7698636,6800000,0.006439495,0.07728,0.9645738266408443,0.07997157,3.9245112280709145,7778,0.2630929,909.2833061218262,57.08,68000
137,-0.008330715,2.7520492,6850000,0.005729949,0.067746,0.9631485790014267,0.07597735,3.8351203252792767,7915,0.2715477,916.1991858482361,58.73,68500
138,-0.008450758,2.7418685,6900000,0.006099593,0.07327001,0.9639525972306728,0.074872606,3.4654208441862284,8014,0.25705564,922.7822375297546,60.53,69000
139,-0.008979322,2.7258432,6950000,0.0066472776,0.08164999,0.9649506956338882,0.0812222,3.8992456964710436,8310,0.23741128,929.5869541168213,60.33,69500
140,-0.007983803,2.7073073,7000000,0.0065013533,0.079554,0.9656064249575138,0.07796384,3.3483729601120285,7936,0.24789372,936.0520877838135,55.23,70000
141,-0.0088858325,2.6903214,7050000,0.005998975,0.071547985,0.965278685092926,0.07367141,3.8892079285018553,8170,0.2503566,942.6829526424408,57.67,70500
142,-0.008393777,2.671211,7100000,0.00637433,0.07786401,0.9674807079136372,0.08186285,3.4618029992858648,8280,0.23136924,949.2240214347839,57.28,71000
143,-0.009640176,2.6442327,7150000,0.006972799,0.086574,0.9665496461093426,0.081692815,3.7495936319634895,8170,0.25206858,955.7590005397797,58.14,71500
144,-0.008267081,2.6159163,7200000,0.006653996,0.081424005,0.9660813361406326,0.081089914,3.791889121890417,7988,0.2305456,962.2336168289185,60.83,72000
145,-0.009165629,2.5955405,7250000,0.006783487,0.08457399,0.9691472370177507,0.08311885,3.7791422402726313,8070,0.233618,969.1419751644135,58.22,72500
146,-0.008659802,2.5814548,7300000,0.0065351594,0.080142,0.9640775956213474,0.083245315,3.62265091892943,8338,0.2308983,975.7289288043976,56.62,73000
147,-0.009342501,2.5700045,7350000,0.0067965155,0.08518001,0.96573081985116,0.07890884,3.323876007003273,7911,0.24112424,982.4226841926575,52.09,73500
148,-0.008609845,2.553123,7400000,0.0064747687,0.078821994,0.9659023247659206,0.08729017,3.8576584742832347,7755,0.22431526,989.259400844574,56.04,74000
