serial_timesteps,explained_variance,approxkl,ep_reward_mean,policy_entropy,value_loss,true_reward,policy_loss,fps,total_timesteps,time_elapsed,ep_len_mean,n_updates,clipfrac
447500,0.9136380404233932,0.010355316,42.89708715689456,-0.16879697,0.2539931,0.0829645,-0.005055975,8527,44750000,5844.871095657349,497.25,895,0.11832401
448000,0.9357154443860054,0.0132297715,41.34172060152456,-0.15726095,0.12933685,0.08184001,-0.0047244243,8159,44800000,5851.216712713242,498.9,896,0.13854799
448500,0.9355601891875267,0.01064035,41.069886200153526,-0.15222974,0.2775382,0.078628875,-0.0051507927,8436,44850000,5857.863939285278,497.29,897,0.11785198
449000,0.9412102662026882,0.010661125,43.34844225049154,-0.13818264,0.097710505,0.08555287,-0.0048094983,8107,44900000,5864.388301610947,498.77,898,0.112738
449500,0.9545723460614681,0.010585624,41.50739445786036,-0.13674335,0.103838235,0.08169318,-0.0054144515,8374,44950000,5870.843563556671,498.99,899,0.110255994
450000,0.9502492360770702,0.012323845,43.61068941447849,-0.13458203,0.10299271,0.08505604,-0.004863558,8238,45000000,5877.373445749283,498.25,900,0.14754802
450500,0.9275480732321739,0.011317386,42.53193113502917,-0.14004426,0.15998001,0.0838108,-0.005036861,8050,45050000,5884.017554521561,498.76,901,0.13809004
451000,0.9460698887705803,0.0085693,41.67026153328392,-0.124551095,0.16975878,0.08110745,-0.0061995494,8320,45100000,5890.779078960419,498.25,902,0.088395976
451500,0.9554494135081768,0.014898812,42.096669354575425,-0.12022457,0.0854768,0.08318123,-0.005006795,8351,45150000,5897.281506538391,498.93,903,0.186982
452000,0.9588829688727856,0.009529449,42.87733529599027,-0.12925695,0.060198173,0.0848255,-0.0043999003,8541,45200000,5903.769435882568,499.41,904,0.120396025
452500,0.9481977187097073,0.009208139,42.75427216467202,-0.13390765,0.07789231,0.08550855,-0.0042579714,8816,45250000,5910.236377954483,500.0,905,0.11085799
453000,0.9685684852302074,0.011378986,43.14295605416751,-0.14036165,0.024818994,0.08628592,-0.0048471014,8218,45300000,5916.496729850769,500.0,906,0.15430199
453500,0.9745917152613401,0.009699179,42.742140198034555,-0.14383818,0.035630483,0.084607385,-0.004771935,8264,45350000,5922.826729059219,499.48,907,0.11822202
454000,0.9248965308070183,0.010885226,42.36735509306689,-0.15124936,0.13548686,0.08415051,-0.005452886,8097,45400000,5929.322779178619,499.38,908,0.130128
454500,0.9273927584290504,0.009731048,43.01875611323896,-0.1501057,0.19995217,0.08371254,-0.004983852,8165,45450000,5935.735015869141,498.21,909,0.112044
455000,0.9436488151550293,0.011883703,42.802219795707714,-0.14118493,0.10238273,0.0846811,-0.0049533215,7867,45500000,5942.440464258194,499.39,910,0.134426
455500,0.9257065951824188,0.010493135,42.367156505140244,-0.12873058,0.17096715,0.08284203,-0.0051637352,8316,45550000,5949.4517414569855,498.23,911,0.121388
456000,0.9456336610019207,0.018109988,42.22641628440273,-0.1269197,0.08567967,0.08370376,-0.0051121027,8322,45600000,5956.048194646835,499.23,912,0.23695005
456500,0.9431355185806751,0.016803034,43.870443226515015,-0.12631261,0.082415864,0.086101495,-0.00077258964,8374,45650000,5962.4362251758575,498.36,913,0.19319002
457000,0.9628543555736542,0.02277289,41.877144866700675,-0.12425003,0.0635712,0.083754286,-0.0024287463,8106,45700000,5969.015580892563,500.0,914,0.29405394
457500,0.9473698176443577,0.010087564,41.842985164138064,-0.1267306,0.112919606,0.08223122,-0.0049552596,7986,45750000,5975.874849796295,498.27,915,0.12127799
458000,0.9501841999590397,0.01159533,43.06012362310308,-0.13431847,0.082176715,0.08474452,-0.004247685,8159,45800000,5982.696681261063,498.94,916,0.149162
458500,0.9673398174345493,0.009849761,43.26801923817411,-0.13376743,0.039562136,0.08559154,-0.00575465,8604,45850000,5989.502827644348,498.94,917,0.124586
459000,0.9455167278647423,0.012058199,42.29992855576345,-0.12986833,0.094019964,0.08349958,-0.0041643707,8312,45900000,5995.863594293594,498.82,918,0.15771799
459500,0.9574165642261505,0.011686597,43.01035776435081,-0.13875036,0.07056857,0.084793136,-0.0058628065,8574,45950000,6002.3099246025085,498.89,919,0.14257202
460000,0.9620091468095779,0.016127044,43.08947248463846,-0.15020287,0.06762492,0.08463556,-0.0050327946,8297,46000000,6008.704558134079,498.33,920,0.21652608
460500,0.9401581063866615,0.012300516,41.35313447425289,-0.1524555,0.2761672,0.078241035,-0.007568621,8266,46050000,6015.216229200363,496.43,921,0.113282
461000,0.9441949278116226,0.010803075,41.99425037147852,-0.15291826,0.1504864,0.08204418,-0.0054509128,8406,46100000,6021.821339607239,498.19,922,0.13040002
461500,0.9455427341163158,0.011259365,43.72417262618565,-0.14864141,0.11764227,0.08519863,-0.0050920574,8135,46150000,6028.194484472275,498.27,923,0.13703604
462000,0.9502344205975533,0.022531161,42.459528903822154,-0.15687762,0.055889454,0.084919065,-0.0035981664,8518,46200000,6034.925416231155,500.0,924,0.28029397
462500,0.9428702294826508,0.012467875,42.168386204176606,-0.15254559,0.09213539,0.08384079,-0.0049234703,8167,46250000,6041.368497371674,499.47,925,0.15152198
463000,0.9890872593969107,0.009955237,43.084453484853164,-0.15476911,0.007966297,0.08616891,-0.0063008624,8238,46300000,6047.903893709183,500.0,926,0.13210002
463500,0.9427510388195515,0.0108871935,43.04503909179783,-0.14653552,0.074321054,0.08555184,-0.002967943,8439,46350000,6054.594213247299,499.42,927,0.13902001
464000,0.9623079337179661,0.008249922,42.50623331879098,-0.12564668,0.06975021,0.084377855,-0.005479005,8229,46400000,6060.995190382004,499.41,928,0.100048006
464500,0.9385309740900993,0.010777277,43.180788457678794,-0.12434461,0.1373138,0.08424699,-0.004654142,8230,46450000,6067.579501867294,498.39,929,0.13035399
465000,0.9584291353821754,0.01005831,42.58724352536106,-0.13549562,0.07704892,0.0837418,-0.0055813896,8396,46500000,6074.189422369003,498.75,930,0.11244001
465500,0.9664190895855427,0.012627006,43.47599888480256,-0.14098394,0.041860428,0.086257584,-0.0052021863,8126,46550000,6080.511346101761,499.49,931,0.15665199
466000,0.9570251330733299,0.011004151,43.0255654631636,-0.14703323,0.062900074,0.08493846,-0.0042971116,7998,46600000,6087.274598121643,499.01,932,0.14444602
466500,0.9242847561836243,0.010070575,43.317690955551114,-0.1438313,0.12961532,0.08516023,-0.0047047506,8323,46650000,6093.9790942668915,498.59,933,0.12440601
467000,0.9658426083624363,0.0092141135,41.86725525726015,-0.14664812,0.06686642,0.08296357,-0.005339124,8216,46700000,6100.605120897293,499.39,934,0.10381004
467500,0.9494877569377422,0.01467374,42.99223002596733,-0.16150562,0.05861883,0.08532415,-0.00471288,8081,46750000,6107.267892599106,499.4,935,0.19592792
468000,0.9675407037138939,0.01269333,41.746957517475806,-0.16224255,0.049630526,0.08349392,-0.004466623,8526,46800000,6114.01854467392,500.0,936,0.17073599
468500,0.9494080506265163,0.011848978,41.65572933116546,-0.15162814,0.080759734,0.08268922,-0.006064901,8236,46850000,6120.454379320145,499.42,937,0.15362202
469000,0.9328182935714722,0.014480281,40.446291593974856,-0.14744571,0.14601597,0.079670906,-0.0037267227,8389,46900000,6127.036355018616,498.76,938,0.18897808
469500,0.9296225681900978,0.020782394,40.99091295811715,-0.15744856,0.12744156,0.08198182,-0.0024880718,7979,46950000,6133.33953666687,500.0,939,0.26642796
470000,0.9763692729175091,0.0089961495,42.40814401357522,-0.17654207,0.021719925,0.0848163,-0.0054573924,8520,47000000,6140.132043123245,500.0,940,0.11606196
470500,0.9691237863153219,0.0131327035,43.31095760663718,-0.18148811,0.03581086,0.08588422,-0.004953182,8159,47050000,6146.596163511276,499.25,941,0.164302
471000,0.9603588692843914,0.011583814,41.91523784034196,-0.19154084,0.071824476,0.082716726,-0.004394507,8052,47100000,6153.40194773674,498.78,942,0.14913799
471500,0.9602482058107853,0.009254355,43.01880802227232,-0.19655007,0.056279227,0.08487563,-0.004953508,8381,47150000,6160.248338222504,498.74,943,0.10141199
472000,0.9566993527114391,0.009876027,42.558018523701264,-0.20319396,0.06871151,0.084023215,-0.004722031,8173,47200000,6166.718854427338,498.96,944,0.127214
472500,0.9659822322428226,0.015980458,42.45450732260602,-0.21995722,0.040677853,0.08490902,-0.0027632741,8188,47250000,6173.458682060242,500.0,945,0.20860398
473000,0.9284367635846138,0.013292491,42.45130887648142,-0.23129348,0.15044773,0.083263405,-0.007159767,8100,47300000,6180.084863901138,498.76,946,0.132524
473500,0.9181949496269226,0.016010478,41.90129370010731,-0.23761266,0.1472973,0.08312401,-0.0042608697,8436,47350000,6186.663377761841,499.37,947,0.21165602
474000,0.9546865373849869,0.008003204,42.37528314296258,-0.2425198,0.090659656,0.08409709,-0.004925695,8310,47400000,6193.236230373383,499.32,948,0.09041799
474500,0.9393378123641014,0.012132049,41.05286039991206,-0.2555668,0.19942522,0.08047046,-0.0052832947,8519,47450000,6199.7816433906555,498.67,949,0.15635198
475000,0.9477121010422707,0.013395812,42.64494083245125,-0.24039502,0.09949049,0.08460673,-0.0043965615,8421,47500000,6206.026544570923,499.39,950,0.17260401
475500,0.9868736062198877,0.008997154,43.01842441007595,-0.2464718,0.0108436225,0.086036846,-0.005002317,8315,47550000,6212.520196676254,500.0,951,0.11694598
476000,0.9794683139771223,0.011097031,41.78478704927224,-0.26885268,0.025079345,0.08356957,-0.003007359,8056,47600000,6219.162228822708,500.0,952,0.146244
476500,0.9626540429890156,0.010849655,42.321138426598864,-0.26922616,0.05242959,0.08402372,-0.0033500276,8324,47650000,6225.741454839706,499.45,953,0.13874999
477000,0.9509782828390598,0.010872675,42.609772693475755,-0.26860383,0.115965635,0.083197355,-0.0033911718,8334,47700000,6232.055465936661,498.14,954,0.13529801
477500,0.9647201560437679,0.0096618,42.27164957125238,-0.2556239,0.055287752,0.0845433,-0.0046549016,8533,47750000,6238.476967334747,500.0,955,0.117668
478000,0.9549389183521271,0.013567874,42.55930375954588,-0.2544092,0.073948376,0.08453617,-0.0044620098,8106,47800000,6244.832115650177,499.44,956,0.17376398
478500,0.966156892478466,0.011793828,40.94735271471043,-0.25523794,0.07092796,0.08134698,-0.0051466646,8200,47850000,6251.5108070373535,499.37,957,0.15938799
479000,0.9555616490542889,0.017870264,41.5538908782685,-0.24581935,0.0811949,0.08211785,-0.004806538,8369,47900000,6258.200167417526,499.43,958,0.23554602
479500,0.9672918654978275,0.0090038935,42.8491422743617,-0.24716951,0.06575657,0.08404482,-0.0056329407,8261,47950000,6264.629055738449,498.46,959,0.09554999
480000,0.9672893919050694,0.008865793,42.83081038602402,-0.25399032,0.044486187,0.08566163,-0.005374445,7921,48000000,6271.3031368255615,500.0,960,0.10055197
480500,0.9467343650758266,0.008844608,42.679132395331216,-0.24823613,0.14007066,0.082556084,-0.0056888824,8057,48050000,6278.2129538059235,497.39,961,0.090568
481000,0.9312308728694916,0.01279495,44.21972421887887,-0.24713856,0.05526807,0.087818526,-0.0025846174,7922,48100000,6285.031119823456,499.36,962,0.17498004
481500,0.9665958471596241,0.017625045,43.16978903437459,-0.25771776,0.038350545,0.08633957,-0.004557458,8104,48150000,6291.89571595192,500.0,963,0.23571394
