n_updates,clipfrac,true_reward,total_timesteps,value_loss,explained_variance,time_elapsed,approxkl,fps,ep_reward_mean,policy_entropy,policy_loss,serial_timesteps,ep_len_mean
2721,0.35351998,0.086398944,136050000,0.033795133,0.9614153541624546,17765.309309244156,0.04749931,8173,43.19947656386925,-5.9132423,-0.00059470703,1360500,500.0
2722,0.39556998,0.08431843,136100000,0.06697466,0.9590695053339005,17772.027381896973,0.08315689,8083,42.738339034056224,-5.9011664,-0.00016805745,1361000,498.88
2723,0.24158794,0.08468621,136150000,0.07992019,0.9610707573592663,17778.63248872757,0.057337083,8605,43.58430304900083,-5.886932,-0.0015188748,1361500,497.27
2724,0.23374794,0.083955556,136200000,0.096575595,0.9574683867394924,17785.00218653679,0.7179606,8578,42.49442246341212,-5.8700013,-0.0011513411,1362000,498.86
2725,0.40597212,0.08662294,136250000,0.013172195,0.9843609351664782,17791.1677236557,0.05187239,8178,43.31147060402898,-5.8696575,0.0004274034,1362500,500.0
2726,0.36138204,0.084177956,136300000,0.06671941,0.9556438475847244,17797.88216304779,0.056830324,8584,42.413686429773676,-5.8693027,-0.002317769,1363000,499.28
2727,0.39603207,0.08562757,136350000,0.060386807,0.9620013348758221,17804.046108961105,0.07979748,8414,43.12330679450566,-5.873973,-0.000936668,1363500,499.4
2728,0.27181193,0.08310332,136400000,0.08770864,0.9626731052994728,17810.426781654358,0.056150578,8155,42.49414156524461,-5.8822117,-0.0006755881,1364000,498.25
2729,0.23678397,0.08299967,136450000,0.11019887,0.9610725827515125,17817.026970386505,0.06640158,8425,42.791372345582566,-5.8768907,-0.0041834577,1364500,497.3
2730,0.37610397,0.085424766,136500000,0.043753535,0.9637222103774548,17823.248315811157,0.056687046,8187,42.990037780314964,-5.8868,0.00054058613,1365000,499.41
2731,0.24850994,0.084027536,136550000,0.028785244,0.9795632287859917,17829.759403705597,0.03739451,8058,42.28929892051397,-5.890131,-0.0017629811,1365500,499.41
2732,0.35559204,0.08434581,136600000,0.116149604,0.9450146034359932,17836.402157068253,0.06789088,8008,42.86301974446824,-5.9005833,-0.0004681153,1366000,498.41
2733,0.49131,0.08641987,136650000,0.04923051,0.9550162777304649,17843.108753442764,0.08796874,8054,43.50279064297738,-5.903277,0.0017261951,1366500,499.38
2734,0.37656605,0.08478522,136700000,0.025521552,0.9763750582933426,17849.759075641632,0.04937184,8226,42.3926154095359,-5.8940496,0.001047069,1367000,500.0
2735,0.312374,0.084623076,136750000,0.08527694,0.9532654285430908,17856.199361801147,0.06981409,8385,42.92716626489855,-5.895728,-0.0007960253,1367500,498.88
2736,0.29676604,0.08267913,136800000,0.08061795,0.9703344702720642,17862.736065626144,0.049771994,8056,42.63947099342908,-5.8925104,-0.00047501593,1368000,497.45
2737,0.30493602,0.08342131,136850000,0.09088089,0.9602211080491543,17869.475422859192,0.065013096,8411,42.37269397020711,-5.8890486,-0.0041707284,1368500,498.7
2738,0.28730208,0.08298462,136900000,0.073879406,0.9630369879305363,17875.88074707985,0.037919648,8109,42.01925529018228,-5.8908796,-0.0040629185,1369000,498.62
2739,0.35594204,0.08729068,136950000,0.056717366,0.9530788697302341,17882.566828012466,0.05291213,8158,44.19750939587044,-5.8936586,-0.0010994293,1369500,498.84
2740,0.33757594,0.085013136,137000000,0.03810632,0.9737841170281172,17889.194585084915,0.044022713,8302,42.997883341079685,-5.876962,7.126561e-05,1370000,499.14
2741,0.51012594,0.08485347,137050000,0.042599197,0.9622521325945854,17895.618258953094,0.14002441,8109,42.697571770036554,-5.8693957,0.009098029,1370500,499.41
2742,0.46590012,0.084700294,137100000,0.118195474,0.9319100379943848,17902.25782752037,0.09603195,8237,43.02327130350781,-5.8603106,-0.00016744852,1371000,498.77
2743,0.33800805,0.08432328,137150000,0.047274806,0.9680769257247448,17908.81761574745,0.052085575,8193,42.701278873794166,-5.8556776,-0.002167226,1371500,498.59
2744,0.37283793,0.08480167,137200000,0.09665184,0.9379680119454861,17915.396619796753,0.046602253,8192,42.93625957203214,-5.8473997,-0.0012620938,1372000,499.01
2745,0.41960606,0.084928766,137250000,0.110869795,0.9326602593064308,17921.84351015091,0.04680507,8257,43.10838374793726,-5.845262,-0.0020805392,1372500,498.71
2746,0.35147193,0.08250702,137300000,0.08415355,0.9592740349471569,17928.439072608948,0.043661814,8224,41.762588151584566,-5.850993,0.0001332594,1373000,499.1
2747,0.24116203,0.08362558,137350000,0.092325695,0.9593368582427502,17935.058040380478,0.07105818,8313,42.81061681644052,-5.836384,-0.0024495083,1373500,498.2
2748,0.30750203,0.08360933,137400000,0.047599893,0.9761651381850243,17941.69406604767,0.051639766,8705,42.354342562615145,-5.8357263,-0.0013490728,1374000,498.81
2749,0.29229203,0.084082425,137450000,0.07815182,0.95940176025033,17947.911996126175,0.041721288,8487,42.55347838617463,-5.836445,-0.0016696947,1374500,498.69
2750,0.3064981,0.08391731,137500000,0.08393978,0.9506179541349411,17954.267287492752,0.08823408,8238,42.50215479607768,-5.837113,-0.0021036784,1375000,499.01
2751,0.3667,0.08429225,137550000,0.07043817,0.958713211119175,17960.83549952507,0.051894933,8241,42.660277956974134,-5.8357716,-0.00063559756,1375500,498.91
2752,0.26769,0.08298528,137600000,0.13687779,0.950745202600956,17967.47628903389,0.27379513,8169,42.48392584840549,-5.831259,-0.0026239476,1376000,498.01
2753,0.39383993,0.083196566,137650000,0.105571486,0.9544570110738277,17974.072726249695,0.07483745,8157,42.693424288352254,-5.8412275,-0.0014002043,1376500,497.47
2754,0.5694081,0.083823055,137700000,0.052639652,0.967359647154808,17980.82955646515,0.10908857,8536,42.38480282970455,-5.8337517,0.0024198748,1377000,499.15
2755,0.42575398,0.08485594,137750000,0.08797042,0.94416793435812,17987.202395677567,0.07655196,8290,42.88594174278118,-5.8221893,-0.001181254,1377500,499.11
2756,0.24701601,0.08434148,137800000,0.087762184,0.957554429769516,17993.72141599655,0.18166684,8247,42.87520397492408,-5.8225856,-0.0032851167,1378000,498.76
2757,0.383284,0.08670676,137850000,0.044329982,0.956602331250906,18000.294201612473,0.047353245,7913,43.35337875976782,-5.8232007,-0.00026889142,1378500,500.0
2758,0.4358381,0.085337356,137900000,0.08734795,0.9535767026245594,18007.191205739975,0.06620113,8167,43.70912522673425,-5.8171067,-0.0015953508,1379000,497.91
2759,0.30564004,0.08521435,137950000,0.06608686,0.9561677686870098,18013.669851779938,0.037532732,8738,43.19196290296752,-5.8296165,-0.002860182,1379500,498.95
2760,0.25964797,0.084956184,138000000,0.057699107,0.9693599212914705,18019.866701602936,0.041640367,8298,43.075462641847935,-5.832077,-0.0021378302,1380000,498.82
2761,0.36628,0.08428715,138050000,0.05652302,0.9637902863323689,18026.31070947647,0.05021492,8309,42.7110200652128,-5.8407106,0.0007710487,1380500,498.87
2762,0.3486199,0.08419735,138100000,0.07151043,0.950513456016779,18032.77786540985,0.045272283,8044,42.341701724131184,-5.842511,-0.002473428,1381000,499.32
2763,0.357058,0.08249312,138150000,0.07295456,0.9671798646450043,18039.27768611908,0.051182315,8346,41.83991270484177,-5.846903,-0.0010333816,1381500,498.61
2764,0.35622185,0.08100838,138200000,0.1452319,0.9577513635158539,18045.874958753586,0.049866248,8290,42.34316793213502,-5.8504305,-0.0028870106,1382000,496.39
2765,0.42771995,0.08282097,138250000,0.09333814,0.9507293961942196,18052.50362586975,0.070556015,8287,42.21109425335733,-5.849106,0.00084902847,1382500,498.67
2766,0.22989199,0.0853302,138300000,0.020890715,0.9832689817994833,18059.010029792786,0.055789948,8122,42.96113529495557,-5.834643,-0.0006639257,1383000,499.46
2767,0.354932,0.084165744,138350000,0.048213392,0.9703451339155436,18065.78767132759,0.056956407,8034,42.382428338678274,-5.831805,-0.0011359126,1383500,499.48
