ep_len_mean,time_elapsed,true_reward,policy_loss,clipfrac,approxkl,policy_entropy,total_timesteps,value_loss,serial_timesteps,explained_variance,ep_reward_mean,fps,n_updates
45.17,365.4772310256958,-12.64,-0.004568547,0.026328001,0.0032222923,6.082144,2750000,47555.03,27500,0.0007378458976745605,-45.17,8187,55
38.58,372.162073135376,-12.8,-0.005222044,0.028542006,0.0032590255,6.1009884,2800000,48148.625,28000,0.00038045644760131836,-38.58,8111,56
46.04,378.7805745601654,-12.28,-0.005349606,0.029689994,0.0034155706,6.112097,2850000,45975.61,28500,0.0005166530609130859,-46.04,7941,57
44.1,385.7011294364929,-12.62,-0.0052036033,0.029636009,0.0034962543,6.115591,2900000,47302.926,29000,0.0003619194030761719,-44.1,8083,58
45.66,392.32174015045166,-12.48,-0.0049479315,0.029636001,0.0034556747,6.1157613,2950000,46674.99,29500,0.00036340951919555664,-45.66,8059,59
46.61,398.9841995239258,-12.66,-0.004520434,0.024672,0.0030582065,6.119431,3000000,47338.836,30000,0.0004385709762573242,-46.61,7879,60
42.06,405.7204306125641,-12.24,-0.005064415,0.028471999,0.0033265904,6.121929,3050000,45588.92,30500,0.00030797719955444336,-42.06,8003,61
45.75,412.56804394721985,-12.5,-0.0054897834,0.031450003,0.003490331,6.123756,3100000,46577.52,31000,0.0003342628479003906,-45.75,8177,62
50.66,419.15658831596375,-12.02,-0.004942922,0.023589997,0.0029688657,6.1313734,3150000,44586.37,31500,0.000306546688079834,-50.66,8179,63
46.49,425.7055640220642,-12.62,-0.0051790792,0.027888002,0.0032686896,6.1320744,3200000,46945.254,32000,0.0002498030662536621,-46.49,8146,64
47.03,432.31492280960083,-12.48,-0.0057312297,0.031250004,0.0034464307,6.1408653,3250000,46311.02,32500,0.00024700164794921875,-47.03,8343,65
44.1,438.73812079429626,-12.48,-0.00509816,0.027056003,0.0033076988,6.144571,3300000,46249.684,33000,0.000387728214263916,-44.1,7696,66
56.44,445.76428294181824,-11.96,-0.005684993,0.028155997,0.003283177,6.1415477,3350000,44106.406,33500,0.00023621320724487305,-56.44,8225,67
46.07,452.4620304107666,-12.16,-0.004997042,0.025161996,0.003139371,6.1411676,3400000,44845.83,34000,0.0002567172050476074,-46.07,8038,68
53.68,459.09789848327637,-11.92,-0.0048730336,0.025141997,0.0031276224,6.1394973,3450000,43831.645,34500,0.00028437376022338867,-53.68,8011,69
43.0,465.82794284820557,-12.26,-0.005300883,0.027665999,0.0032369453,6.1484423,3500000,45127.17,35000,0.00012320280075073242,-43.0,7943,70
53.26,472.39848589897156,-11.96,-0.0053571677,0.029897999,0.0034112132,6.163511,3550000,43866.33,35500,0.00022608041763305664,-53.26,8065,71
48.23,479.0688636302948,-12.12,-0.0048844246,0.02489,0.003076725,6.1746635,3600000,44445.32,36000,0.0001773238182067871,-48.23,8035,72
46.0,485.873685836792,-12.28,-0.0051694093,0.028237993,0.003307432,6.1885657,3650000,45022.42,36500,0.00021284818649291992,-46.0,7777,73
48.19,492.70568656921387,-12.28,-0.005401073,0.027946,0.0032737416,6.204169,3700000,44964.57,37000,0.0001418590545654297,-48.19,7954,74
44.97,499.5163609981537,-11.96,-0.005255672,0.027658002,0.003300374,6.2129574,3750000,43634.2,37500,0.00013554096221923828,-44.97,8125,75
47.09,506.22645592689514,-12.36,-0.0054341485,0.026825998,0.0031261453,6.2238255,3800000,45155.65,38000,0.00014203786849975586,-47.09,7872,76
51.99,513.0697515010834,-12.04,-0.0054234015,0.028444001,0.003262112,6.2359943,3850000,43840.953,38500,0.00013309717178344727,-51.99,7963,77
50.39,520.0050127506256,-12.18,-0.005018079,0.029354,0.0033358606,6.237734,3900000,44340.113,39000,0.00013774633407592773,-50.39,8094,78
47.73,526.400233745575,-12.24,-0.005240521,0.026274003,0.0032000404,6.2387176,3950000,44514.01,39500,0.00011771917343139648,-47.73,8234,79
46.48,532.9170219898224,-12.0,-0.0051753246,0.024217999,0.0029937846,6.248344,4000000,43508.63,40000,0.0001430511474609375,-46.48,8001,80
51.72,539.6162476539612,-11.7,-0.00505609,0.027207997,0.0031801076,6.2592053,4050000,42276.797,40500,0.0002046823501586914,-51.72,8066,81
47.35,546.0851495265961,-12.24,-0.0059012747,0.032401998,0.0036444964,6.266096,4100000,44340.5,41000,0.00011086463928222656,-47.35,8221,82
47.17,552.6412663459778,-12.1,-0.0054341517,0.026681997,0.0031883358,6.277224,4150000,43728.926,41500,0.00012123584747314453,-47.17,8047,83
43.08,559.3554973602295,-12.36,-0.0046887933,0.026548002,0.003158996,6.289198,4200000,44685.477,42000,8.791685104370117e-05,-43.08,7767,84
49.48,566.344119310379,-11.98,-0.0021595058,0.01275,0.0023272918,6.292873,4250000,43309.305,42500,0.00010484457015991211,-49.48,7723,85
52.19,573.1482515335083,-12.22,-0.00513526,0.027276004,0.0030894857,6.2975087,4300000,44056.16,43000,0.00011736154556274414,-52.19,8122,86
42.17,579.8563306331635,-12.04,-0.005347205,0.029162,0.0032971026,6.318703,4350000,43300.496,43500,8.350610733032227e-05,-42.17,8207,87
44.65,586.2982420921326,-12.0,-0.005332032,0.029368006,0.0032452631,6.3391786,4400000,43092.785,44000,8.195638656616211e-05,-44.65,8246,88
41.13,592.7370274066925,-12.0,-0.0051595336,0.030044,0.0033206027,6.351962,4450000,43031.406,44500,8.547306060791016e-05,-41.13,7884,89
41.61,599.5459978580475,-11.9,-0.005173644,0.02799,0.0032399832,6.3587837,4500000,42591.305,45000,0.00013399124145507812,-41.61,8218,90
44.28,606.0984756946564,-12.12,-0.0052729677,0.029410006,0.0033043453,6.3734093,4550000,43386.1,45500,8.785724639892578e-05,-44.28,8369,91
42.91,612.694085597992,-12.24,-0.0050015617,0.025695998,0.0031400465,6.3899727,4600000,43800.906,46000,8.863210678100586e-05,-42.91,8108,92
51.86,619.4538843631744,-11.96,-0.004767857,0.023303997,0.0029670075,6.4054875,4650000,42667.8,46500,0.00010031461715698242,-51.86,7766,93
46.57,626.2779395580292,-11.9,-0.0051053655,0.027396005,0.003106643,6.417955,4700000,42378.66,47000,6.35385513305664e-05,-46.57,7972,94
47.3,632.8173534870148,-11.82,-0.0051049488,0.02694,0.003212686,6.426279,4750000,42003.73,47500,6.759166717529297e-05,-47.3,7953,95
44.96,639.6153700351715,-12.24,-0.0045864326,0.026360001,0.003250172,6.4342523,4800000,43579.19,48000,4.9173831939697266e-05,-44.96,7850,96
45.43,646.4432439804077,-12.1,-0.0051949644,0.027271995,0.0032229435,6.4325123,4850000,42982.215,48500,6.288290023803711e-05,-45.43,7997,97
49.77,652.936297416687,-12.1,-0.0053147636,0.026568001,0.0032216834,6.4314775,4900000,42927.72,49000,8.147954940795898e-05,-49.77,8041,98
